member_id,screen_name,name,description,created_at,followers_count,friends_count,statuses_count,favourites_count,listed_count,location,is_blue_verified,protected,default_profile,default_profile_image,profile_description_language
2028842978710876160,Akanthos406,Akanthos,,2026-03-03T16:41:08+02:00,5,90,120,52,2,Greece,False,False,True,False,
2026376754928242688,Anthology2026,Ανθολόγος,Δεν διαβάζεις ανθολόγιο για να μάθεις τα πάντα· το διαβάζεις για να καταλάβεις τι κάποιος θεώρησε σημαντικό να μην πεθάνει.,2026-02-24T21:21:02+02:00,300,2396,244,6912,1,,False,False,True,False,el
2025865204861489152,LosKarabou79397,Los Karabouzoukleros,#ΟΧΙ_ΣΤΑ_ΚΑΛΣΟΝ,2026-02-23T11:28:12+02:00,255,282,869,9933,5,Athens,False,False,True,False,qht
2023789954195922944,phote50529,Thomas Shelby,Αγοραζω Δηλωσεις Μετανοιας.,2026-02-17T18:02:33+02:00,364,337,2307,2599,7,Γραμμος-Τσουκα Πετσικ 2.520μ.,False,False,True,False,el
2021262618581762048,Tyrion_88,Τύριον_Λαννιστερόπουλος,Χρούσης Μιχαήλ-Ιωάννης.                 .                       .\nΈλλην εθνικοσοσιαλιστής.                       .                 .\nΒαθιά αντιδημοκράτης.,2026-02-10T18:39:04+02:00,401,937,2398,8671,12,,False,False,True,False,el
2016079270544568320,alexpretti1312,Αλέξανδρος Χαριτωμένος🍉,"οπλοφορώ. πολύ αστείο, πέθανα",2026-01-27T11:22:24+02:00,177,292,1581,2724,6,,False,False,True,False,el
2015894607653896192,PITT1742510,Pitt Gr,,2026-01-26T23:08:37+02:00,82,283,2169,3408,1,"Kastelli, Greece",False,False,True,False,
2015798844395864065,Tiramolas_,Tiramolas_,"Επαγγελματίας κατακεφαλιστης ζαιων, κομμουνιστών, και ψεκασμενων. Πελουσιος επενδυτής στα UAE . Τελευταίο account το εριξαν με 7,000 followers, θα το ξαναφτασω",2026-01-26T16:48:39+02:00,88,100,979,1486,9,UAE الامارات العربية المتحدة,False,False,True,False,el
2015303266850975744,Apstolos14616,Απόστολος,Στρατηγός της Γαλάζιας Στρατιάς,2026-01-25T07:58:40+02:00,142,168,2079,45354,10,,True,False,True,True,el
2004228192908070914,Aristerotsolis,Gardasi 🚧,Εξειδικευμένος Αναλυτής Συμπεριφοράς Αριστερών τζαμπατζήδων / University of Essex / Κοπέλι και Σαλονικιός,2025-12-25T18:31:03+02:00,663,1132,5899,6783,13,"Θεσσαλονίκη, Ελλάς",False,False,True,False,el
