tweet_id,author_handle,author_name,posted_at,source_client,text,canonical_text,is_retweet,is_quote,content_tweet_id,content_author_handle,content_author_name,content_created_at,content_text,content_canonical_text,hashtags_raw,hashtags,mentions_raw,mentions
2044369074805690811,n_palaiopanou,Nena Palaiopanou,2026-04-15T10:55:44+00:00,Twitter for Android,"Η κακοψυχιά, η μικροψυχία, ο φθόνος & τα κομπλεξ, όσο μασκάρεμα & αν κάνεις να τα κρύψεις, όσο & αν πλασάρεις την ψεύτικη εικόνα του ""καλού παιδιού"", κάποιες στιγμές θα βγαίνουν πάντα στην επιφάνεια για να δείχνουν σε όλους ποιος πραγματικά είναι είναι ο καθένας.

Η αλήθεια έχει μια εγγενή δύναμη: ο,τι & αν κάνεις για να την κρύψεις ΠΑΝΤΑ θα υπερισχύσει.
Magna est veritas et praevalebit.

Ο Μήτσος @DimitrisSavvid4 λοιπόν, σας δείχνει την αλήθεια του & το ποιος ΠΡΆΓΜΑΤΙΚΑ είναι, σε αυτό του το κείμενο που ακολουθεί στο σκριν👇
Μην γίνετε ΠΟΤΕ στην ζωή σας ""Μήτσος"".

Και κάτι τελευταίο: ΔΕΝ ΕΙΝΑΙ ΟΛΑ ΠΟΛΙΤΙΚΗ.","η κακοψυχιά, η μικροψυχία, ο φθόνοσ & τα κομπλεξ, όσο μασκάρεμα & αν κάνεισ να τα κρύψεισ, όσο & αν πλασάρεισ την ψεύτικη εικόνα του ""καλού παιδιού"", κάποιεσ στιγμέσ θα βγαίνουν πάντα στην επιφάνεια για να δείχνουν σε όλουσ ποιοσ πραγματικά είναι είναι ο καθένασ. η αλήθεια έχει μια εγγενή δύναμη: ο,τι & αν κάνεισ για να την κρύψεισ παντα θα υπερισχύσει. magna est veritas et praevalebit. ο μήτσοσ @dimitrissavvid4 λοιπόν, σασ δείχνει την αλήθεια του & το ποιοσ πράγματικα είναι, σε αυτό του το κείμενο που ακολουθεί στο σκριν👇 μην γίνετε ποτε στην ζωή σασ ""μήτσοσ"". και κάτι τελευταίο: δεν ειναι ολα πολιτικη.",False,True,2044369074805690811,n_palaiopanou,Nena Palaiopanou,2026-04-15T10:55:44+00:00,"Η κακοψυχιά, η μικροψυχία, ο φθόνος & τα κομπλεξ, όσο μασκάρεμα & αν κάνεις να τα κρύψεις, όσο & αν πλασάρεις την ψεύτικη εικόνα του ""καλού παιδιού"", κάποιες στιγμές θα βγαίνουν πάντα στην επιφάνεια για να δείχνουν σε όλους ποιος πραγματικά είναι είναι ο καθένας.

Η αλήθεια έχει μια εγγενή δύναμη: ο,τι & αν κάνεις για να την κρύψεις ΠΑΝΤΑ θα υπερισχύσει.
Magna est veritas et praevalebit.

Ο Μήτσος @DimitrisSavvid4 λοιπόν, σας δείχνει την αλήθεια του & το ποιος ΠΡΆΓΜΑΤΙΚΑ είναι, σε αυτό του το κείμενο που ακολουθεί στο σκριν👇
Μην γίνετε ΠΟΤΕ στην ζωή σας ""Μήτσος"".

Και κάτι τελευταίο: ΔΕΝ ΕΙΝΑΙ ΟΛΑ ΠΟΛΙΤΙΚΗ.","η κακοψυχιά, η μικροψυχία, ο φθόνοσ & τα κομπλεξ, όσο μασκάρεμα & αν κάνεισ να τα κρύψεισ, όσο & αν πλασάρεισ την ψεύτικη εικόνα του ""καλού παιδιού"", κάποιεσ στιγμέσ θα βγαίνουν πάντα στην επιφάνεια για να δείχνουν σε όλουσ ποιοσ πραγματικά είναι είναι ο καθένασ. η αλήθεια έχει μια εγγενή δύναμη: ο,τι & αν κάνεισ για να την κρύψεισ παντα θα υπερισχύσει. magna est veritas et praevalebit. ο μήτσοσ @dimitrissavvid4 λοιπόν, σασ δείχνει την αλήθεια του & το ποιοσ πράγματικα είναι, σε αυτό του το κείμενο που ακολουθεί στο σκριν👇 μην γίνετε ποτε στην ζωή σασ ""μήτσοσ"". και κάτι τελευταίο: δεν ειναι ολα πολιτικη.",[],[],"[""DimitrisSavvid4""]","[""dimitrissavvid4""]"
2044374385717367153,HFirstpriest,"Κυρά Ζαχάροβα, η πεθερά σας",2026-04-15T11:16:50+00:00,Twitter Web App,@n_palaiopanou Για τα σκουπίδια τους ζαίους όλα είναι πολιτική.,@n_palaiopanou για τα σκουπίδια τουσ ζαίουσ όλα είναι πολιτική.,False,False,2044374385717367153,HFirstpriest,"Κυρά Ζαχάροβα, η πεθερά σας",2026-04-15T11:16:50+00:00,@n_palaiopanou Για τα σκουπίδια τους ζαίους όλα είναι πολιτική.,@n_palaiopanou για τα σκουπίδια τουσ ζαίουσ όλα είναι πολιτική.,[],[],"[""n_palaiopanou""]","[""n_palaiopanou""]"
2044375760102650090,myga_tse,Myga Tse,2026-04-15T11:22:18+00:00,Twitter for Android,@n_palaiopanou Να τον χαίρονται εκεί στην Ολλανδία και όσο λιγότεροι υπάνθρωποι μένουν εδώ τόσο καλύτερα.,@n_palaiopanou να τον χαίρονται εκεί στην ολλανδία και όσο λιγότεροι υπάνθρωποι μένουν εδώ τόσο καλύτερα.,False,False,2044375760102650090,myga_tse,Myga Tse,2026-04-15T11:22:18+00:00,@n_palaiopanou Να τον χαίρονται εκεί στην Ολλανδία και όσο λιγότεροι υπάνθρωποι μένουν εδώ τόσο καλύτερα.,@n_palaiopanou να τον χαίρονται εκεί στην ολλανδία και όσο λιγότεροι υπάνθρωποι μένουν εδώ τόσο καλύτερα.,[],[],"[""n_palaiopanou""]","[""n_palaiopanou""]"
2044389249319878750,christoskostaki,christos kostakis,2026-04-15T12:15:54+00:00,Twitter for Android,@n_palaiopanou Πάρε και ένα από το σιχαμα του Βελόπουλου https://t.co/B3GLYvSWI2,@n_palaiopanou πάρε και ένα από το σιχαμα του βελόπουλου,False,False,2044389249319878750,christoskostaki,christos kostakis,2026-04-15T12:15:54+00:00,@n_palaiopanou Πάρε και ένα από το σιχαμα του Βελόπουλου https://t.co/B3GLYvSWI2,@n_palaiopanou πάρε και ένα από το σιχαμα του βελόπουλου,[],[],"[""n_palaiopanou""]","[""n_palaiopanou""]"
2044398016333811850,n_palaiopanou,Nena Palaiopanou,2026-04-15T12:50:44+00:00,Twitter for Android,@christoskostaki ...δεν έχω λόγια!,@christoskostaki ...δεν έχω λόγια!,False,False,2044398016333811850,n_palaiopanou,Nena Palaiopanou,2026-04-15T12:50:44+00:00,@christoskostaki ...δεν έχω λόγια!,@christoskostaki ...δεν έχω λόγια!,[],[],"[""christoskostaki""]","[""christoskostaki""]"
2044457326208246001,maus_miny,Miny maus-Γιωτα Τρανου,2026-04-15T16:46:25+00:00,Twitter for Android,@n_palaiopanou Κατάντια.,@n_palaiopanou κατάντια.,False,False,2044457326208246001,maus_miny,Miny maus-Γιωτα Τρανου,2026-04-15T16:46:25+00:00,@n_palaiopanou Κατάντια.,@n_palaiopanou κατάντια.,[],[],"[""n_palaiopanou""]","[""n_palaiopanou""]"
2044462333435502924,n_palaiopanou,Nena Palaiopanou,2026-04-15T17:06:19+00:00,Twitter for Android,@maus_miny Πραγματικά.,@maus_miny πραγματικά.,False,False,2044462333435502924,n_palaiopanou,Nena Palaiopanou,2026-04-15T17:06:19+00:00,@maus_miny Πραγματικά.,@maus_miny πραγματικά.,[],[],"[""maus_miny""]","[""maus_miny""]"
2044513248351846790,johnblandos,JOHN BLANDOS,2026-04-15T20:28:38+00:00,Twitter for iPhone,"RT @nikolaosderes: Αναφορά στην ψυχολογική πίεση που δεχόταν ο Γιώργος Μυλωνάκης έκανε ο Άρης Πορτοσάλτε.
Συνδέοντας την κατάσταση των τελε…",rt @nikolaosderes: αναφορά στην ψυχολογική πίεση που δεχόταν ο γιώργοσ μυλωνάκησ έκανε ο άρησ πορτοσάλτε. συνδέοντασ την κατάσταση των τελε...,True,False,2044426280100102596,nikolaosderes,@nikolaosderes,2026-04-15T14:43:03+00:00,"Αναφορά στην ψυχολογική πίεση που δεχόταν ο Γιώργος Μυλωνάκης έκανε ο Άρης Πορτοσάλτε.
Συνδέοντας την κατάσταση των τελευταίων ωρών με δημοσίευμα που τον ενέπλεκε σε υπόθεση την οποία ο ίδιος είχε διαψεύσει.
Ο δημοσιογράφος σημείωσε ότι ο κ. Μυλωνάκης βρισκόταν σε έντονη πίεση, καθώς το συγκεκριμένο δημοσίευμα είχε δημιουργήσει ένα επιβαρυμένο κλίμα γύρω από το πρόσωπό του, παρά τις διαψεύσεις που είχαν δοθεί..!","αναφορά στην ψυχολογική πίεση που δεχόταν ο γιώργοσ μυλωνάκησ έκανε ο άρησ πορτοσάλτε. συνδέοντασ την κατάσταση των τελευταίων ωρών με δημοσίευμα που τον ενέπλεκε σε υπόθεση την οποία ο ίδιοσ είχε διαψεύσει. ο δημοσιογράφοσ σημείωσε ότι ο κ. μυλωνάκησ βρισκόταν σε έντονη πίεση, καθώσ το συγκεκριμένο δημοσίευμα είχε δημιουργήσει ένα επιβαρυμένο κλίμα γύρω από το πρόσωπό του, παρά τισ διαψεύσεισ που είχαν δοθεί..!",[],[],[],[]
2044513266768937216,AnAthenianToLDN,Leonidas ToEat ♎☘🇬🇷🇬🇧,2026-04-15T20:28:42+00:00,Twitter Web App,"RT @SkyNews: BREAKING: Two people have been arrested over an attempted synagogue arson attack in Finchley

https://t.co/PAiZ4D1jU3

📺 Sky 5…",rt @skynews: breaking: two people have been arrested over an attempted synagogue arson attack in finchley 📺 sky 5...,True,False,2044505659832459673,SkyNews,Sky News,2026-04-15T19:58:29+00:00,"BREAKING: Two people have been arrested over an attempted synagogue arson attack in Finchley

https://t.co/PAiZ4D1jU3

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/EWPDOaRhRt","breaking: two people have been arrested over an attempted synagogue arson attack in finchley 📺 sky 501, virgin 602, freeview 233 and youtube",[],[],[],[]
2044513284603163098,moonshinegr,Moonshine Festival,2026-04-15T20:28:46+00:00,Twitter for iPhone,"RT @GeorghyZhukov: Το «ρεπορτάζ» του Καλλέργη για το BBC στηρίζεται σε στοιχεία του Lighthouse Reports, τα οποία εμφανίζονται στο κείμενο μ…","rt @georghyzhukov: το «ρεπορτάζ» του καλλέργη για το bbc στηρίζεται σε στοιχεία του lighthouse reports, τα οποία εμφανίζονται στο κείμενο μ...",True,True,2044331944318534005,GeorghyZhukov,Georghy Zhukov,2026-04-15T08:28:12+00:00,"Το «ρεπορτάζ» του Καλλέργη για το BBC στηρίζεται σε στοιχεία του Lighthouse Reports, τα οποία εμφανίζονται στο κείμενο με ενεργό λινκ. Πατώντας πάνω, βλέπουμε ότι βασικός συντελεστής της «έρευνας» είναι ο γνωστός Χρηστίδης που εφύηρε τη «μικρή νεκρή Μαρία» στον Έβρο, ρεπορτάζ για το οποίο το Spiegel ζήτησε γονατιστό συγγνώμη από τη χώρα μας και απέλυσε κλωτσηδόν τον επί 25ετία αρχισυντάκτη του.","το «ρεπορτάζ» του καλλέργη για το bbc στηρίζεται σε στοιχεία του lighthouse reports, τα οποία εμφανίζονται στο κείμενο με ενεργό λινκ. πατώντασ πάνω, βλέπουμε ότι βασικόσ συντελεστήσ τησ «έρευνασ» είναι ο γνωστόσ χρηστίδησ που εφύηρε τη «μικρή νεκρή μαρία» στον έβρο, ρεπορτάζ για το οποίο το spiegel ζήτησε γονατιστό συγγνώμη από τη χώρα μασ και απέλυσε κλωτσηδόν τον επί 25ετία αρχισυντάκτη του.",[],[],[],[]
