id,screen_name,name,description,profile_image_url,profile_banner_url,followers_count,friends_count,statuses_count,favourites_count,listed_count,location,website,birthdate,verified_type,is_blue_verified,following,followed_by,can_dm,protected,created_at,url,metadata
"2028842978710876160","Akanthos406","Akanthos","","https://pbs.twimg.com/profile_images/2028851763227615232/MjMmujzs_normal.jpg",,5,90,120,52,2,"Greece",,,,false,false,false,false,false,"2026-03-03 16:41:08 +02:00","https://twitter.com/Akanthos406","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2028851763227615232/MjMmujzs_normal.jpg""},""core"":{""created_at"":""Tue Mar 03 14:41:08 +0000 2026"",""name"":""Akanthos"",""screen_name"":""Akanthos406""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDI4ODQyOTc4NzEwODc2MTYw"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":"""",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":52,""follow_request_sent"":false,""followers_count"":5,""friends_count"":90,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":2,""media_count"":1,""normal_followers_count"":5,""notifications"":false,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_interstitial_type"":"""",""statuses_count"":120,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""Greece""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""""},""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2028842978710876160"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1772548868000,""updated_at"":1776293315549}}"
"2026376754928242688","Anthology2026","Ανθολόγος","Δεν διαβάζεις ανθολόγιο για να μάθεις τα πάντα· το διαβάζεις για να καταλάβεις τι κάποιος θεώρησε σημαντικό να μην πεθάνει.","https://pbs.twimg.com/profile_images/2043162382608846848/AwxjGxQG_normal.jpg","https://pbs.twimg.com/profile_banners/2026376754928242688/1775962452",300,2396,244,6912,1,"",,,,false,false,false,false,false,"2026-02-24 21:21:02 +02:00","https://twitter.com/Anthology2026","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2043162382608846848/AwxjGxQG_normal.jpg""},""core"":{""created_at"":""Tue Feb 24 19:21:02 +0000 2026"",""name"":""Ανθολόγος"",""screen_name"":""Anthology2026""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDI2Mzc2NzU0OTI4MjQyNjg4"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":""Δεν διαβάζεις ανθολόγιο για να μάθεις τα πάντα· το διαβάζεις για να καταλάβεις τι κάποιος θεώρησε σημαντικό να μην πεθάνει."",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":6912,""follow_request_sent"":false,""followers_count"":300,""friends_count"":2396,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":1,""media_count"":63,""normal_followers_count"":300,""notifications"":false,""pinned_tweet_ids_str"":[""2043074300198985880""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/2026376754928242688/1775962452"",""profile_interstitial_type"":"""",""statuses_count"":244,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""Δεν διαβάζεις ανθολόγιο για να μάθεις τα πάντα· το διαβάζεις για να καταλάβεις τι κάποιος θεώρησε σημαντικό να μην πεθάνει.""},""profile_description_language"":""el"",""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2026376754928242688"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1771960862000,""updated_at"":1776293315549}}"
"2025865204861489152","LosKarabou79397","Los Karabouzoukleros","#ΟΧΙ_ΣΤΑ_ΚΑΛΣΟΝ","https://pbs.twimg.com/profile_images/2025867826091757569/ggeeWKR4_normal.jpg",,255,282,869,9933,5,"Athens",,,,false,false,false,false,false,"2026-02-23 11:28:12 +02:00","https://twitter.com/LosKarabou79397","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2025867826091757569/ggeeWKR4_normal.jpg""},""core"":{""created_at"":""Mon Feb 23 09:28:12 +0000 2026"",""name"":""Los Karabouzoukleros"",""screen_name"":""LosKarabou79397""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDI1ODY1MjA0ODYxNDg5MTUy"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":""#ΟΧΙ_ΣΤΑ_ΚΑΛΣΟΝ"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":9933,""follow_request_sent"":false,""followers_count"":255,""friends_count"":282,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":5,""media_count"":85,""normal_followers_count"":255,""notifications"":false,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_interstitial_type"":"""",""statuses_count"":869,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""Athens""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""#ΟΧΙ_ΣΤΑ_ΚΑΛΣΟΝ""},""profile_description_language"":""qht"",""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2025865204861489152"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1771838892000,""updated_at"":1776293315549}}"
"2023789954195922944","phote50529","Thomas Shelby","Αγοραζω Δηλωσεις Μετανοιας.","https://pbs.twimg.com/profile_images/2023799631251918855/LLnri7Gi_normal.jpg","https://pbs.twimg.com/profile_banners/2023789954195922944/1772045426",364,337,2307,2599,7,"Γραμμος-Τσουκα Πετσικ 2.520μ.",,,,false,false,false,false,false,"2026-02-17 18:02:33 +02:00","https://twitter.com/phote50529","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2023799631251918855/LLnri7Gi_normal.jpg""},""core"":{""created_at"":""Tue Feb 17 16:02:33 +0000 2026"",""name"":""Thomas Shelby"",""screen_name"":""phote50529""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDIzNzg5OTU0MTk1OTIyOTQ0"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":""Αγοραζω Δηλωσεις Μετανοιας."",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":2599,""follow_request_sent"":false,""followers_count"":364,""friends_count"":337,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":7,""media_count"":743,""normal_followers_count"":364,""notifications"":false,""pinned_tweet_ids_str"":[""2023807440488189995""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/2023789954195922944/1772045426"",""profile_interstitial_type"":"""",""statuses_count"":2307,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""Γραμμος-Τσουκα Πετσικ 2.520μ.""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""Αγοραζω Δηλωσεις Μετανοιας.""},""profile_description_language"":""el"",""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2023789954195922944"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1771344153000,""updated_at"":1776293315549}}"
"2021262618581762048","Tyrion_88","Τύριον_Λαννιστερόπουλος","Χρούσης Μιχαήλ-Ιωάννης.                 .                       .\nΈλλην εθνικοσοσιαλιστής.                       .                 .\nΒαθιά αντιδημοκράτης.","https://pbs.twimg.com/profile_images/2021267364772446209/3naA0Syi_normal.jpg","https://pbs.twimg.com/profile_banners/2021262618581762048/1774394087",401,937,2398,8671,12,"",,,,false,false,false,false,false,"2026-02-10 18:39:04 +02:00","https://twitter.com/Tyrion_88","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2021267364772446209/3naA0Syi_normal.jpg""},""core"":{""created_at"":""Tue Feb 10 16:39:04 +0000 2026"",""name"":""Τύριον_Λαννιστερόπουλος"",""screen_name"":""Tyrion_88""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDIxMjYyNjE4NTgxNzYyMDQ4"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":""Χρούσης Μιχαήλ-Ιωάννης.                 .                       .\nΈλλην εθνικοσοσιαλιστής.                       .                 .\nΒαθιά αντιδημοκράτης."",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":8671,""follow_request_sent"":false,""followers_count"":401,""friends_count"":937,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":12,""media_count"":504,""normal_followers_count"":401,""notifications"":false,""pinned_tweet_ids_str"":[""2041980557622473162""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/2021262618581762048/1774394087"",""profile_interstitial_type"":"""",""statuses_count"":2398,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""Χρούσης Μιχαήλ-Ιωάννης.                 .                       .\nΈλλην εθνικοσοσιαλιστής.                       .                 .\nΒαθιά αντιδημοκράτης.""},""profile_description_language"":""el"",""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2021262618581762048"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1770741544000,""updated_at"":1776293315549}}"
"2016079270544568320","alexpretti1312","Αλέξανδρος Χαριτωμένος🍉","οπλοφορώ. πολύ αστείο, πέθανα","https://pbs.twimg.com/profile_images/2016079667808059392/Hok1ECU0_normal.jpg","https://pbs.twimg.com/profile_banners/2016079270544568320/1770229912",177,292,1581,2724,6,"",,,,false,false,false,false,false,"2026-01-27 11:22:24 +02:00","https://twitter.com/alexpretti1312","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2016079667808059392/Hok1ECU0_normal.jpg""},""core"":{""created_at"":""Tue Jan 27 09:22:24 +0000 2026"",""name"":""Αλέξανδρος Χαριτωμένος🍉"",""screen_name"":""alexpretti1312""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDE2MDc5MjcwNTQ0NTY4MzIw"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":""οπλοφορώ. πολύ αστείο, πέθανα"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":2724,""follow_request_sent"":false,""followers_count"":177,""friends_count"":292,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":6,""media_count"":133,""normal_followers_count"":177,""notifications"":false,""pinned_tweet_ids_str"":[""2022309731180630044""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/2016079270544568320/1770229912"",""profile_interstitial_type"":"""",""statuses_count"":1581,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""οπλοφορώ. πολύ αστείο, πέθανα""},""profile_description_language"":""el"",""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2016079270544568320"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1769505744000,""updated_at"":1776293315549}}"
"2015894607653896192","PITT1742510","Pitt Gr","","https://pbs.twimg.com/profile_images/2016247746336899072/y73Dcqak_normal.jpg","https://pbs.twimg.com/profile_banners/2015894607653896192/1769692331",82,283,2169,3408,1,"Kastelli, Greece",,,,false,false,false,false,false,"2026-01-26 23:08:37 +02:00","https://twitter.com/PITT1742510","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2016247746336899072/y73Dcqak_normal.jpg""},""core"":{""created_at"":""Mon Jan 26 21:08:37 +0000 2026"",""name"":""Pitt Gr"",""screen_name"":""PITT1742510""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDE1ODk0NjA3NjUzODk2MTky"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":"""",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":3408,""follow_request_sent"":false,""followers_count"":82,""friends_count"":283,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":1,""media_count"":243,""normal_followers_count"":82,""notifications"":false,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/2015894607653896192/1769692331"",""profile_interstitial_type"":"""",""statuses_count"":2169,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""Kastelli, Greece""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""""},""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2015894607653896192"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1769461717000,""updated_at"":1776293315549}}"
"2015798844395864065","Tiramolas_","Tiramolas_","Επαγγελματίας κατακεφαλιστης ζαιων, κομμουνιστών, και ψεκασμενων. Πελουσιος επενδυτής στα UAE . Τελευταίο account το εριξαν με 7,000 followers, θα το ξαναφτασω","https://pbs.twimg.com/profile_images/2015804913746595840/NPzEpSrq_normal.jpg",,88,100,979,1486,9,"  UAE الامارات العربية المتحدة","https://t.co/7me2JDEZXD",,,false,false,false,false,false,"2026-01-26 16:48:39 +02:00","https://twitter.com/Tiramolas_","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2015804913746595840/NPzEpSrq_normal.jpg""},""core"":{""created_at"":""Mon Jan 26 14:48:39 +0000 2026"",""name"":""Tiramolas_"",""screen_name"":""Tiramolas_""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDE1Nzk4ODQ0Mzk1ODY0MDY1"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":""Επαγγελματίας κατακεφαλιστης ζαιων, κομμουνιστών, και ψεκασμενων. Πελουσιος επενδυτής στα UAE . Τελευταίο account το εριξαν με 7,000 followers, θα το ξαναφτασω"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""plousioskaiwraios.com"",""expanded_url"":""http://www.plousioskaiwraios.com"",""indices"":[0,23],""url"":""https://t.co/7me2JDEZXD""}]}},""fast_followers_count"":0,""favourites_count"":1486,""follow_request_sent"":false,""followers_count"":88,""friends_count"":100,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":9,""media_count"":144,""normal_followers_count"":88,""notifications"":false,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_interstitial_type"":"""",""statuses_count"":979,""translator_type"":""none"",""url"":""https://t.co/7me2JDEZXD"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""  UAE الامارات العربية المتحدة""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""Επαγγελματίας κατακεφαλιστης ζαιων, κομμουνιστών, και ψεκασμενων. Πελουσιος επενδυτής στα UAE . Τελευταίο account το εριξαν με 7,000 followers, θα το ξαναφτασω""},""profile_description_language"":""el"",""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2015798844395864065"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1769438919000,""updated_at"":1776293315549}}"
"2015303266850975744","Apstolos14616","Απόστολος","Στρατηγός της Γαλάζιας Στρατιάς","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",,142,168,2079,45354,10,"",,,,true,false,false,false,false,"2026-01-25 07:58:40 +02:00","https://twitter.com/Apstolos14616","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png""},""core"":{""created_at"":""Sun Jan 25 05:58:40 +0000 2026"",""name"":""Απόστολος"",""screen_name"":""Apstolos14616""},""dm_permissions"":{""can_dm"":false},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDE1MzAzMjY2ODUwOTc1NzQ0"",""is_blue_verified"":true,""legacy"":{""default_profile"":true,""default_profile_image"":true,""description"":""Στρατηγός της Γαλάζιας Στρατιάς"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":45354,""follow_request_sent"":false,""followers_count"":142,""friends_count"":168,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":10,""media_count"":110,""normal_followers_count"":142,""notifications"":false,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_interstitial_type"":"""",""statuses_count"":2079,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""Στρατηγός της Γαλάζιας Στρατιάς""},""profile_description_language"":""el"",""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2015303266850975744"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1769320720000,""updated_at"":1776293315549}}"
"2004228192908070914","Aristerotsolis","Gardasi 🚧","Εξειδικευμένος Αναλυτής Συμπεριφοράς Αριστερών τζαμπατζήδων / University of Essex / Κοπέλι και Σαλονικιός","https://pbs.twimg.com/profile_images/2004415043538919424/fUHWvPMQ_normal.jpg","https://pbs.twimg.com/profile_banners/2004228192908070914/1769675436",663,1132,5899,6783,13,"Θεσσαλονίκη, Ελλάς",,,,false,false,false,true,false,"2025-12-25 18:31:03 +02:00","https://twitter.com/Aristerotsolis","{""__typename"":""User"",""affiliates_highlighted_label"":{},""avatar"":{""image_url"":""https://pbs.twimg.com/profile_images/2004415043538919424/fUHWvPMQ_normal.jpg""},""core"":{""created_at"":""Thu Dec 25 16:31:03 +0000 2025"",""name"":""Gardasi 🚧"",""screen_name"":""Aristerotsolis""},""dm_permissions"":{""can_dm"":true},""follow_request_sent"":false,""has_graduated_access"":true,""id"":""VXNlcjoyMDA0MjI4MTkyOTA4MDcwOTE0"",""is_blue_verified"":false,""legacy"":{""default_profile"":true,""default_profile_image"":false,""description"":""Εξειδικευμένος Αναλυτής Συμπεριφοράς Αριστερών τζαμπατζήδων / University of Essex / Κοπέλι και Σαλονικιός"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":6783,""follow_request_sent"":false,""followers_count"":663,""friends_count"":1132,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":13,""media_count"":208,""normal_followers_count"":663,""notifications"":false,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/2004228192908070914/1769675436"",""profile_interstitial_type"":"""",""statuses_count"":5899,""translator_type"":""none"",""want_retweets"":false,""withheld_in_countries"":[]},""location"":{""location"":""Θεσσαλονίκη, Ελλάς""},""media_permissions"":{""can_media_tag"":true},""parody_commentary_fan_label"":""None"",""privacy"":{""protected"":false},""profile_bio"":{""description"":""Εξειδικευμένος Αναλυτής Συμπεριφοράς Αριστερών τζαμπατζήδων / University of Essex / Κοπέλι και Σαλονικιός""},""profile_description_language"":""el"",""profile_image_shape"":""Circle"",""relationship_perspectives"":{""blocked_by"":false,""blocking"":false,""followed_by"":false,""following"":false,""muting"":false},""rest_id"":""2004228192908070914"",""super_follow_eligible"":false,""super_followed_by"":false,""super_following"":false,""verification"":{""verified"":false},""twe_private_fields"":{""created_at"":1766680263000,""updated_at"":1776293315549}}"
