account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
angelikitsakani,True,96,96,0,26,1.0,42,96,60,46,0.4792,AgelisDimitris,8,0.0833,20,20,3158,3849,131115,2012-01-13T21:02:45+02:00,True,False,False,el,83.02
ABCHeckles,True,47,47,0,8,1.0,36,47,33,20,0.4255,AnAthenianToLDN,5,0.1064,3,6,5954,4329,205489,2012-11-16T21:25:29+02:00,True,False,False,el,82.45
46spiros,True,213,213,0,35,1.0,105,213,127,83,0.3897,ellada24,9,0.0423,89,81,1111,385,261422,2013-04-24T11:55:26+03:00,True,False,False,und,81.27
chrysib11,True,102,102,0,19,1.0,42,102,77,38,0.3725,K_Sav215,6,0.0588,14,36,3810,5556,464576,2014-02-18T00:30:27+02:00,True,False,False,und,81.18
economi94461498,True,22,22,0,1,1.0,19,22,22,10,0.4545,washington_EY,1,0.0455,1,24,1353,327,225220,2019-12-15T14:25:21+02:00,True,False,False,,81.02
Catps66,True,51,51,0,5,1.0,26,51,34,17,0.3333,ellada24,4,0.0784,12,9,1051,2643,31963,2022-02-26T11:26:03+02:00,True,False,False,en,80.78
MasenkaMm230158,True,59,59,0,15,1.0,27,59,36,14,0.2373,KatKatPt,6,0.1017,5,3,599,392,32758,2021-03-25T02:06:02+02:00,True,False,False,,79.58
Myrtilo01,True,39,39,0,1,1.0,19,39,29,11,0.2821,ellada24,4,0.1026,8,11,305,338,19496,2011-06-22T23:17:59+03:00,False,False,False,en,79.01
NikosVsdl8,True,25,25,0,14,1.0,21,25,22,5,0.2,__darcelX__,2,0.08,2,16,491,1407,38610,2024-11-30T20:05:13+02:00,True,False,False,,78.8
angie22gr,True,22,22,0,7,1.0,18,22,15,7,0.3182,Lalunaromantico,3,0.1364,7,6,24421,15652,508753,2012-05-16T18:56:38+03:00,False,False,False,el,78.64
galex1908,True,82,82,0,1,1.0,63,82,58,12,0.1463,tomanifesto,5,0.061,15,14,16219,17338,592338,2012-09-22T21:24:05+03:00,False,False,False,el,77.8
paliakaravana59,True,110,110,0,2,1.0,89,110,87,13,0.1182,isaacrrr7,4,0.0364,12,28,1698,203,342083,2019-12-14T18:11:51+02:00,True,False,False,,77.14
dinoskonstantin,True,32,32,0,2,1.0,29,32,24,2,0.0625,RadioGenoa,3,0.0938,11,1,2763,4998,78786,2013-10-16T08:33:24+03:00,False,False,False,,76.88
madonnamaniac,True,38,38,0,1,1.0,38,38,30,0,0.0,MDNASW1FT,6,0.1579,7,16,3195,846,88357,2010-11-15T23:36:06+02:00,False,False,False,en,76.58
DonConsclavios,True,30,30,0,3,1.0,17,30,16,7,0.2333,AdonisGeorgiadi,5,0.1667,8,15,304,817,6564,2023-07-03T17:57:03+03:00,True,False,True,el,76.42
michael_exc,True,21,21,0,0,1.0,21,21,19,0,0.0,Jvnior,2,0.0952,3,1,729,2075,11267,2013-10-27T13:08:54+02:00,False,False,False,und,75.95
Loxagos_Mark,True,36,36,0,2,1.0,15,36,32,9,0.25,omadaalithias,3,0.0833,13,8,7001,7423,301680,2013-02-17T16:08:28+02:00,True,False,True,el,73.33
Valiadistinct,True,5,5,0,0,1.0,5,5,3,3,0.6,Valiadistinct,3,0.6,1,0,1214,383,76939,2018-04-28T09:23:45+03:00,True,False,True,,71.25
Aaagiiisss,True,26,26,0,7,1.0,15,26,22,2,0.0769,realMaalouf,3,0.1154,7,0,711,1390,49428,2017-07-11T22:42:25+03:00,True,False,False,el,71.06
Track11John,True,224,219,5,75,0.9777,143,219,78,123,0.5616,Briassulis,66,0.3014,43,44,886,734,193494,2022-04-29T21:44:29+03:00,True,False,False,el,70.66
