account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
nickthegreek5,2,89,0.6372,1,7.609,11.9493,-1.0791,64.38,0.9858,740
Rena_Rethymno,2,89,0.6316,2,9.1091,2.8325,-8.5326,46.66,0.8571,31
Track11John,2,89,0.6309,3,8.0484,11.6054,-1.6936,70.66,0.9777,223
46spiros,2,89,0.6291,4,7.3042,11.377,-1.8374,81.27,1.0,490
K_Sav215,2,89,0.6094,5,9.4999,8.7105,-2.4388,45.44,0.4636,131
n_palaiopanou,1,218,0.5837,6,8.5302,-4.5462,-7.7348,0.0,0.0,0
AgelisDimitris,2,89,0.5743,7,6.6829,10.7501,-1.5756,60.36,0.8791,371
Anthology2026,2,89,0.5696,8,4.6818,4.4018,-2.858,54.38,0.8143,22
GiotaPapapetrou,2,89,0.5634,9,5.0511,9.0607,-0.2285,61.85,0.9845,73
aggelikiME25,2,89,0.563,10,4.6775,5.7268,0.5008,59.39,0.9533,2
angelikitsakani,2,89,0.556,11,5.1926,9.5244,-0.5557,83.02,1.0,318
Briassulis,2,89,0.5546,12,6.1486,9.7743,-1.6175,56.63,0.7462,211
hatz_patty,2,89,0.5499,13,4.9493,9.1145,-0.086,66.53,0.957,171
JtfYiannis,1,218,0.5486,14,5.0657,0.3567,0.9762,55.0,1.0,6
ScroogeKifissia,2,89,0.5486,15,5.5536,2.5814,1.7675,59.0,0.9,0
chrysib11,2,89,0.5479,16,5.3266,9.6207,-0.3445,81.18,1.0,279
NodarasSpiros,2,89,0.5467,17,5.7634,1.7001,0.7496,14.13,0.1538,9
G4Heron,2,89,0.5462,18,4.2773,3.6479,1.4409,61.62,0.9545,2
giannMak,2,89,0.5452,19,4.7061,8.93,-0.4198,64.65,0.954,231
madonnamaniac,2,89,0.5451,20,5.905,2.1377,0.8726,76.58,1.0,0
EAdamopoulou,1,218,0.5448,21,5.4886,-1.6394,2.2345,33.75,0.25,0
DvsDvs60195368,1,218,0.5438,22,6.1547,-2.0411,0.6612,0.0,0.0,0
