account_handle,role_label,role_confidence,is_member,signals,followers_count,friends_count,followers_friends_ratio,listed_count,description_language,description_length,is_blue_verified,default_profile,account_age_days,retweet_ratio,original_count,cohort_ids
2PAzkjh6oFRW77D,source_hub,0.9,True,default_profile,4579,2281,2.0075,35,el,48,False,True,2358,0.0,3,
Apstolos14616,source_hub,0.9,True,blue_verified|default_profile|default_profile_image,143,169,0.8462,10,el,31,True,True,82,0.0,3,
AstyMpekas,source_hub,0.9,True,default_profile,311,153,2.0327,15,qst,6,False,True,555,0.0,3,
Dv500x,source_hub,0.9,True,default_profile,575,322,1.7857,5,,6,False,True,1799,0.25,3,
DvsDvs60195368,source_hub,0.9,True,blue_verified|default_profile,3470,3429,1.012,24,el,107,True,True,1194,0.0,32,
EAdamopoulou,source_hub,0.9,True,blue_verified,8669,1792,4.8376,30,,126,True,False,5438,0.25,3,
Greekprn,source_hub,0.9,True,listed_count>=50(99),6049,3860,1.5671,99,en,32,False,False,5322,0.125,7,
HRessed,source_hub,0.9,True,default_profile,437,435,1.0046,8,el,111,False,True,181,0.25,3,
Jan__Sobieski,source_hub,0.9,True,default_profile|first_retweeter_count>=3(6),1147,814,1.4091,7,el,88,False,True,2138,0.2045,35,
John_Fletcher70,source_hub,0.9,True,listed_count>=50(69),4247,955,4.4471,69,en,78,False,False,4663,0.0,5,
MAVROJOHN,source_hub,0.9,True,default_profile,262,382,0.6859,4,,27,False,True,5175,0.2857,5,
MoudilosV,source_hub,0.9,True,blue_verified,1880,1739,1.0811,8,el,108,True,False,6065,0.0,7,
NodarasSpiros,source_hub,0.9,True,listed_count>=50(104)|default_profile,8696,2447,3.5537,104,el,145,False,True,4980,0.1538,22,
ObserverGr71726,source_hub,0.9,True,default_profile,460,358,1.2849,17,,0,False,True,1060,0.0,5,
RXRqdEgogik2Z9P,source_hub,0.9,True,listed_count>=50(52)|default_profile,3534,1052,3.3593,52,el,158,False,True,2459,0.25,3,
Wwwwww42362442,source_hub,0.9,True,default_profile,1978,3158,0.6263,48,el,159,False,True,3123,0.0,4,
agnwstos_x_,source_hub,0.9,True,default_profile,4249,1617,2.6277,14,en,6,False,True,4414,0.2,4,
bobidion,source_hub,0.9,True,,5710,2893,1.9737,38,en,81,False,False,5263,0.25,3,
daenerys777777,source_hub,0.9,True,default_profile,703,567,1.2399,9,,115,False,True,445,0.0,3,
ellada24,source_hub,0.9,True,listed_count>=50(133)|blue_verified|default_profile,29791,1448,20.5739,133,,23,True,True,1749,0.0,17,
failosK,source_hub,0.9,True,description_journalist_keyword|listed_count>=50(240)|default_profile,47465,2212,21.458,240,el,137,False,True,5122,0.25,3,
gospodinmedvedd,source_hub,0.9,True,default_profile,340,369,0.9214,10,en,41,False,True,988,0.0,4,
hellasspecial,source_hub,0.9,True,,15885,9906,1.6036,49,el,34,False,False,3752,0.0,3,
melambus,source_hub,0.9,True,default_profile,1486,2282,0.6512,24,el,113,False,True,2220,0.0,3,
n_palaiopanou,source_hub,0.9,False,,,,,,,0,,,,0.0,3,
olofwti_agapi,source_hub,0.9,True,default_profile,348,134,2.597,4,el,92,False,True,1238,0.0,7,
omadaalithias,source_hub,0.9,True,listed_count>=50(225)|followers>=100k(110834)|followers_friends_ratio>=25(190.8)|blue_verified,110834,581,190.7642,225,el,21,True,False,4957,0.0,3,
trescommeilfaut,source_hub,0.9,True,,1736,846,2.052,8,el,16,False,False,3069,0.1111,8,
AthanasiouCccp,media_business,0.7,True,description_media_keyword|listed_count>=50(93)|default_profile|first_retweeter_count>=3(6),6137,5379,1.1409,93,en,48,False,True,4865,0.5625,7,
LitsaXarou,media_business,0.7,True,description_media_keyword|default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(11),13007,12662,1.0272,48,el,103,False,True,4086,1.0,0,
Myrtilo01,media_business,0.7,True,description_media_keyword|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(19)|cohort_member(1),305,338,0.9024,1,en,158,False,False,5412,1.0,0,1
