amplified_author_handle,in_member_list,total_inbound_retweets,unique_amplifier_count,unique_amplified_posts,top_amplifier_handle,top_amplifier_count,top_amplifier_share,amplification_hhi,repeat_crew_overlap,median_first_retweet_lag_sec,fastest_amplifier_handle,cross_component_reach,within_15m_inbound,within_60m_inbound,top_first_retweeter_handle,top_first_retweeter_count,captured_role_mix,amplification_score
Briassulis,True,81,7,73,Track11John,66,0.8148,0.6799,0.7,13526,Briassulis,1,77,79,Track11John,62,mixed_behavior:0.99; media_business:0.01,82.9645
enikos_gr,False,20,1,20,GiotaPapapetrou,20,1.0,1.0,1.0,14154,GiotaPapapetrou,1,20,20,GiotaPapapetrou,20,retail_user:1.00,76.5343
L3naRain,False,6,1,6,LitsaXarou,6,1.0,1.0,1.0,45985867,LitsaXarou,0,6,6,LitsaXarou,6,media_business:1.00,68.3509
MDNASW1FT,False,6,1,6,madonnamaniac,6,1.0,1.0,1.0,3233,madonnamaniac,0,6,6,madonnamaniac,6,amplifier_suspect:1.00,68.3509
MaryMary_1,False,6,1,6,ScroogeKifissia,6,1.0,1.0,1.0,28865,ScroogeKifissia,0,6,6,ScroogeKifissia,6,media_business:1.00,68.3509
starbats_gr,False,9,1,9,anasiropiastos,9,1.0,1.0,1.0,3662,anasiropiastos,1,9,9,anasiropiastos,9,retail_user:1.00,67.631
mikros_prigkipa,False,4,1,4,LitsaXarou,4,1.0,1.0,1.0,5826,LitsaXarou,0,4,4,LitsaXarou,4,media_business:1.00,64.3133
WolfK423510,False,6,1,6,GiotaPapapetrou,6,1.0,1.0,1.0,1756,GiotaPapapetrou,1,6,6,GiotaPapapetrou,6,retail_user:1.00,63.3509
ola_ekso,False,6,1,6,aggelikiME25,6,1.0,1.0,1.0,210,aggelikiME25,1,6,6,aggelikiME25,6,mixed_behavior:1.00,63.3509
MadonnaRecords,False,3,1,3,madonnamaniac,3,1.0,1.0,1.0,23685,madonnamaniac,0,3,3,madonnamaniac,3,amplifier_suspect:1.00,61.6355
Valiadistinct,True,3,1,3,Valiadistinct,3,1.0,1.0,1.0,46115,Valiadistinct,0,3,3,Valiadistinct,3,amplifier_suspect:1.00,61.6355
Wolfman45042900,False,3,1,3,IK25818385,3,1.0,1.0,1.0,23888,IK25818385,0,3,3,IK25818385,3,mixed_behavior:1.00,61.6355
skasselakis,False,3,1,3,B2hBk3gFaa2fH4W,3,1.0,1.0,1.0,12693,B2hBk3gFaa2fH4W,0,3,3,B2hBk3gFaa2fH4W,3,amplifier_suspect:1.00,61.6355
Smerna69,False,5,1,5,GiotaPapapetrou,5,1.0,1.0,1.0,17755,GiotaPapapetrou,1,5,5,GiotaPapapetrou,5,retail_user:1.00,61.5011
Stravoxilo,False,5,1,5,GiotaPapapetrou,5,1.0,1.0,1.0,5616,GiotaPapapetrou,1,5,5,GiotaPapapetrou,5,retail_user:1.00,61.5011
hatz_patty,True,5,1,5,sinakatsarou,5,1.0,1.0,1.0,2723,sinakatsarou,1,5,5,sinakatsarou,5,mixed_behavior:1.00,61.5011
AngelikeManika,False,4,1,4,galex1908,4,1.0,1.0,1.0,7204,galex1908,1,4,4,galex1908,4,amplifier_suspect:1.00,59.3133
OTemPoRaOmOreS7,False,4,1,4,aggelikiME25,4,1.0,1.0,1.0,10229,aggelikiME25,1,4,4,aggelikiME25,4,mixed_behavior:1.00,59.3133
johnafri8,False,4,1,4,GiotaPapapetrou,4,1.0,1.0,1.0,28863,GiotaPapapetrou,1,4,4,GiotaPapapetrou,4,retail_user:1.00,59.3133
BazingaGR,False,2,1,2,matrixneo1979,2,1.0,1.0,1.0,5140,matrixneo1979,0,2,2,matrixneo1979,2,media_business:1.00,58.1833
DaniMayakovski,False,2,1,2,michael_exc,2,1.0,1.0,1.0,47920,michael_exc,0,2,2,michael_exc,2,amplifier_suspect:1.00,58.1833
Hoang_HQ,False,2,1,2,KVagos42117,2,1.0,1.0,1.0,9134,KVagos42117,0,2,2,KVagos42117,2,amplifier_suspect:1.00,58.1833
Jvnior,False,2,1,2,michael_exc,2,1.0,1.0,1.0,44945,michael_exc,0,2,2,michael_exc,2,amplifier_suspect:1.00,58.1833
blackmore_r,False,2,1,2,ScroogeKifissia,2,1.0,1.0,1.0,22067,ScroogeKifissia,0,2,2,ScroogeKifissia,2,media_business:1.00,58.1833
giannis_kalyvas,False,2,1,2,chkls,2,1.0,1.0,1.0,10347,chkls,0,2,2,chkls,2,amplifier_suspect:1.00,58.1833
ips1987,False,2,1,2,ledentiste2,2,1.0,1.0,1.0,272,ledentiste2,0,2,2,ledentiste2,2,mixed_behavior:1.00,58.1833
machiavelli_gr,False,2,1,2,ScroogeKifissia,2,1.0,1.0,1.0,24509,ScroogeKifissia,0,2,2,ScroogeKifissia,2,media_business:1.00,58.1833
mdnaspears_,False,2,1,2,madonnamaniac,2,1.0,1.0,1.0,10796,madonnamaniac,0,2,2,madonnamaniac,2,amplifier_suspect:1.00,58.1833
sihtiria,False,2,1,2,freemindspirits,2,1.0,1.0,1.0,14451,freemindspirits,0,2,2,freemindspirits,2,retail_user:1.00,58.1833
t_valilas,False,2,1,2,tazmanolis,2,1.0,1.0,1.0,1969,tazmanolis,0,2,2,tazmanolis,2,mixed_behavior:1.00,58.1833
panta_tif,False,113,39,44,GiotaPapapetrou,12,0.1062,0.05,0.1576,8112,GiotaPapapetrou,1,51,65,GiotaPapapetrou,10,mixed_behavior:0.38; amplifier_suspect:0.27; media_business:0.17; retail_user:0.17,57.9703
CKontaxake45095,False,3,1,3,GiotaPapapetrou,3,1.0,1.0,1.0,3386,GiotaPapapetrou,1,3,3,GiotaPapapetrou,3,retail_user:1.00,56.6355
Cd_Julian_,False,3,1,3,paliakaravana59,3,1.0,1.0,1.0,67846,paliakaravana59,1,3,3,paliakaravana59,3,amplifier_suspect:1.00,56.6355
Fischerholic,False,3,1,3,aggelikiME25,3,1.0,1.0,1.0,318,aggelikiME25,1,3,3,aggelikiME25,3,mixed_behavior:1.00,56.6355
Flora15376310,False,3,1,3,GiotaPapapetrou,3,1.0,1.0,1.0,3598,GiotaPapapetrou,1,3,3,GiotaPapapetrou,3,retail_user:1.00,56.6355
NAravantinos,False,3,1,3,vythos70,3,1.0,1.0,1.0,359,vythos70,1,3,3,vythos70,3,mixed_behavior:1.00,56.6355
TassosIoannides,False,3,1,3,G4Heron,3,1.0,1.0,1.0,833,G4Heron,1,3,3,G4Heron,3,media_business:1.00,56.6355
WhiteHouse,False,3,1,3,Myrtilo01,3,1.0,1.0,1.0,10388,Myrtilo01,1,3,3,Myrtilo01,3,media_business:1.00,56.6355
akispanagiot,False,3,1,3,aggelikiME25,3,1.0,1.0,1.0,277,aggelikiME25,1,3,3,aggelikiME25,3,mixed_behavior:1.00,56.6355
giannopoulos35,False,3,1,3,DonConsclavios,3,1.0,1.0,1.0,28245,DonConsclavios,1,3,3,DonConsclavios,3,amplifier_suspect:1.00,56.6355
greatmanitou1,False,3,1,3,QuercusLg,3,1.0,1.0,1.0,1653952,QuercusLg,1,3,3,QuercusLg,3,retail_user:1.00,56.6355
marydela_7,False,3,1,3,AgelisDimitris,3,1.0,1.0,1.0,8391,AgelisDimitris,1,3,3,AgelisDimitris,3,mixed_behavior:1.00,56.6355
xanathja,False,3,1,3,RockRock222555,3,1.0,1.0,1.0,36523,RockRock222555,1,3,3,RockRock222555,3,mixed_behavior:1.00,56.6355
ellada24,True,93,32,34,46spiros,9,0.0968,0.0478,0.1468,17670,galex1908,1,36,48,galex1908,5,amplifier_suspect:0.39; mixed_behavior:0.34; media_business:0.20; retail_user:0.05,54.7628
MsLouellaDeVil,False,64,25,25,AgelisDimitris,9,0.1406,0.0708,0.3067,15698,steiger_st28082,1,26,34,AgelisDimitris,5,amplifier_suspect:0.38; mixed_behavior:0.33; media_business:0.19; retail_user:0.08,54.2817
1mp0st3rtuta,False,2,1,2,MKioulafa,2,1.0,1.0,1.0,978,MKioulafa,1,2,2,MKioulafa,2,mixed_behavior:1.00,53.1833
ASYMBIBAST74855,False,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,16164,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
Alinavisooo,False,2,1,2,paliakaravana59,2,1.0,1.0,1.0,33003,paliakaravana59,1,2,2,paliakaravana59,2,amplifier_suspect:1.00,53.1833
Ant_Karaxalios,False,2,1,2,K_Sav215,2,1.0,1.0,1.0,107,K_Sav215,1,2,2,K_Sav215,2,mixed_behavior:1.00,53.1833
Dumlada1926,False,2,1,2,DonConsclavios,2,1.0,1.0,1.0,13887,DonConsclavios,1,2,2,DonConsclavios,2,amplifier_suspect:1.00,53.1833
Eman5695,False,2,1,2,paliakaravana59,2,1.0,1.0,1.0,55642,paliakaravana59,1,2,2,paliakaravana59,2,amplifier_suspect:1.00,53.1833
EvgeniosTzav,False,2,1,2,BananaJoeReload,2,1.0,1.0,1.0,26839,BananaJoeReload,1,2,2,BananaJoeReload,2,mixed_behavior:1.00,53.1833
FanakidiF,False,2,1,2,G4Heron,2,1.0,1.0,1.0,710,G4Heron,1,2,2,G4Heron,2,media_business:1.00,53.1833
Fotinh5,True,2,1,2,sinakatsarou,2,1.0,1.0,1.0,6625,sinakatsarou,1,2,2,sinakatsarou,2,mixed_behavior:1.00,53.1833
G_konstn,False,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,37420,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
GadSaad,False,2,1,2,NikosVsdl8,2,1.0,1.0,1.0,6102,NikosVsdl8,1,2,2,NikosVsdl8,2,amplifier_suspect:1.00,53.1833
GeorgeTzorakas,False,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,26780,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
Handakas1,False,2,1,2,vythos70,2,1.0,1.0,1.0,257,vythos70,1,2,2,vythos70,2,mixed_behavior:1.00,53.1833
KTHopkins,False,2,1,2,johnblandos,2,1.0,1.0,1.0,28431,johnblandos,1,2,2,johnblandos,2,mixed_behavior:1.00,53.1833
Karaflademon,False,2,1,2,aggelikiME25,2,1.0,1.0,1.0,6303242,aggelikiME25,1,2,2,aggelikiME25,2,mixed_behavior:1.00,53.1833
KikiXas,False,2,1,2,galex1908,2,1.0,1.0,1.0,2273,galex1908,1,2,2,galex1908,2,amplifier_suspect:1.00,53.1833
LauraLoomer,False,2,1,2,NikosVsdl8,2,1.0,1.0,1.0,5253,NikosVsdl8,1,2,2,NikosVsdl8,2,amplifier_suspect:1.00,53.1833
LeonPalaiodimos,False,2,1,2,ThanosTzimeros,2,1.0,1.0,1.0,24636,ThanosTzimeros,1,2,2,ThanosTzimeros,2,media_business:1.00,53.1833
Luna_Jones79,False,2,1,2,paliakaravana59,2,1.0,1.0,1.0,47041,paliakaravana59,1,2,2,paliakaravana59,2,amplifier_suspect:1.00,53.1833
Luna_Lunaki,False,2,1,2,GiotaPapapetrou,2,1.0,1.0,1.0,40560,GiotaPapapetrou,1,2,2,GiotaPapapetrou,2,retail_user:1.00,53.1833
MLingou,False,2,1,2,RockRock222555,2,1.0,1.0,1.0,13165,RockRock222555,1,2,2,RockRock222555,2,mixed_behavior:1.00,53.1833
