account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,cohort_count,cohort_max_size,cohort_max_cascade_count,role_retail_user,role_amplifier_suspect,role_media_business,role_journalist_public_figure,role_source_hub,first_retweeter_ratio,propagation_lead_count,coordination_score,analyst_label
angelikitsakani,96,96,0,26,1.0,42,96,60,46,0.4792,8,0.0833,20,20,3158,3849,131115,5207,1,0,0,113,52,318,23,136,27,1,54,177,0,1,0,0,0,0.0156,42,83.02,
ABCHeckles,47,47,0,8,1.0,36,47,33,20,0.4255,5,0.1064,3,6,5954,4329,205489,4899,1,0,0,113,31,104,6,28,13,1,54,177,0,1,0,0,0,0.0133,36,82.45,
46spiros,213,213,0,35,1.0,105,213,127,83,0.3897,9,0.0423,89,81,1111,385,261422,4740,1,0,0,113,72,490,37,203,43,1,54,177,0,1,0,0,0,0.0389,105,81.27,
chrysib11,102,102,0,19,1.0,42,102,77,38,0.3725,6,0.0588,14,36,3810,5556,464576,4441,1,0,0,113,53,279,36,136,26,1,54,177,0,1,0,0,0,0.0156,42,81.18,
economi94461498,22,22,0,1,1.0,19,22,22,10,0.4545,1,0.0455,1,24,1353,327,225220,2314,1,0,0,113,3,13,7,7,7,1,54,177,0,1,0,0,0,0.007,19,81.02,
Catps66,51,51,0,5,1.0,26,51,34,17,0.3333,4,0.0784,12,9,1051,2643,31963,1510,1,0,0,113,31,108,5,36,10,1,54,177,0,1,0,0,0,0.0096,26,80.78,
MasenkaMm230158,59,59,0,15,1.0,27,59,36,14,0.2373,6,0.1017,5,3,599,392,32758,1848,1,0,0,113,25,82,7,35,9,1,54,177,0,1,0,0,0,0.01,27,79.58,
Myrtilo01,39,39,0,1,1.0,19,39,29,11,0.2821,4,0.1026,8,11,305,338,19496,5412,0,0,0,113,23,72,10,21,11,1,54,177,0,0,1,0,0,0.007,19,79.01,
NikosVsdl8,25,25,0,14,1.0,21,25,22,5,0.2,2,0.08,2,16,491,1407,38610,502,1,0,0,113,2,4,0,2,2,0,0,0,0,1,0,0,0,0.0078,21,78.8,
angie22gr,22,22,0,7,1.0,18,22,15,7,0.3182,3,0.1364,7,6,24421,15652,508753,5083,0,0,0,113,10,30,2,11,4,1,54,177,0,1,0,0,0,0.0067,18,78.64,
galex1908,82,82,0,1,1.0,63,82,58,12,0.1463,5,0.061,15,14,16219,17338,592338,4954,0,0,0,113,26,114,12,44,12,1,54,177,0,1,0,0,0,0.0233,63,77.8,
paliakaravana59,110,110,0,2,1.0,89,110,87,13,0.1182,4,0.0364,12,28,1698,203,342083,2315,1,0,0,113,17,75,7,28,14,1,54,177,0,1,0,0,0,0.033,89,77.14,
dinoskonstantin,32,32,0,2,1.0,29,32,24,2,0.0625,3,0.0938,11,1,2763,4998,78786,4565,0,0,0,113,5,14,0,4,4,0,0,0,0,1,0,0,0,0.0107,29,76.88,
madonnamaniac,38,38,0,1,1.0,38,38,30,0,0.0,6,0.1579,7,16,3195,846,88357,5631,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0141,38,76.58,
DonConsclavios,30,30,0,3,1.0,17,30,16,7,0.2333,5,0.1667,8,15,304,817,6564,1018,1,0,1,113,16,51,5,24,5,1,54,177,0,1,0,0,0,0.0063,17,76.42,
michael_exc,21,21,0,0,1.0,21,21,19,0,0.0,2,0.0952,3,1,729,2075,11267,4554,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0078,21,75.95,
Loxagos_Mark,36,36,0,2,1.0,15,36,32,9,0.25,3,0.0833,13,8,7001,7423,301680,4806,1,0,1,113,24,82,1,16,12,1,54,177,0,0,1,0,0,0.0056,15,73.33,
Valiadistinct,5,5,0,0,1.0,5,5,3,3,0.6,3,0.6,1,0,1214,383,76939,2910,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0019,5,71.25,
Aaagiiisss,26,26,0,7,1.0,15,26,22,2,0.0769,3,0.1154,7,0,711,1390,49428,3201,1,0,0,113,9,21,0,11,5,1,54,177,0,1,0,0,0,0.0056,15,71.06,
Track11John,224,219,5,75,0.9777,143,219,78,123,0.5616,66,0.3014,43,44,886,734,193494,1448,1,0,0,113,34,223,33,110,26,1,54,177,0,0,0,0,0,0.053,143,70.66,
PitSpencer,20,20,0,5,1.0,13,20,20,5,0.25,1,0.05,0,1,964,1996,50933,1193,1,0,0,113,13,35,3,9,5,0,0,0,0,1,0,0,0,0.0048,13,70.5,
silaserafim,20,20,0,2,1.0,16,20,20,0,0.0,1,0.05,0,3,40728,2207,449264,5647,0,0,0,113,2,5,1,4,3,0,0,0,0,0,1,0,0,0.0059,16,70.5,
Xeniaxe19580370,21,21,0,0,1.0,15,21,19,0,0.0,2,0.0952,1,0,741,165,16475,1680,1,0,0,113,4,10,1,7,3,1,54,177,0,1,0,0,0,0.0056,15,69.7,
LitsaXarou,12,12,0,0,1.0,11,12,4,0,0.0,6,0.5,0,1,13007,12662,180683,4086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0041,11,68.75,
TsigkaEfi,23,23,0,2,1.0,8,23,19,11,0.4783,2,0.087,16,10,1013,568,25946,1314,1,0,0,113,20,65,4,21,13,1,54,177,0,1,0,0,0,0.003,8,68.04,
VIVITV5,5,5,0,0,1.0,3,5,5,4,0.8,1,0.2,2,1,2012,4242,25135,2893,1,0,0,113,2,4,0,1,2,0,0,0,0,1,0,0,0,0.0011,3,67.75,
teo_ntaleki,15,15,0,3,1.0,12,15,15,2,0.1333,1,0.0667,2,1,700,1666,27294,1088,1,0,0,113,4,8,1,4,2,0,0,0,0,1,0,0,0,0.0044,12,67.67,
Fotinh5,17,17,0,2,1.0,6,17,15,9,0.5294,3,0.1765,2,3,3793,2942,62919,1638,1,0,0,113,12,38,6,23,7,1,54,177,0,1,0,0,0,0.0022,6,67.21,
Fay82776914F,14,14,0,4,1.0,9,14,13,4,0.2857,2,0.1429,2,1,1524,1419,49073,3503,1,0,0,113,12,34,3,11,6,0,0,0,0,1,0,0,0,0.0033,9,66.96,
xariszak2,12,12,0,0,1.0,8,12,10,4,0.3333,2,0.1667,1,2,237,309,16306,2352,1,1,0,113,3,6,1,1,2,0,0,0,0,1,0,0,0,0.003,8,66.67,
hatz_patty,93,89,4,35,0.957,56,89,34,43,0.4831,7,0.0787,7,21,9013,6063,285703,5378,0,0,0,113,38,171,18,82,21,1,54,177,0,0,0,0,0,0.0207,56,66.53,
cavodoro,11,11,0,1,1.0,5,11,10,6,0.5455,2,0.1818,3,3,805,1061,19563,5911,1,0,0,113,7,19,0,2,5,0,0,0,0,1,0,0,0,0.0019,5,66.25,
