account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
46spiros,nickthegreek5,45,0.0976,7,19
AgelisDimitris,nickthegreek5,44,0.1053,3,18
46spiros,angelikitsakani,34,0.0974,5,17
MenoEdo,nickthegreek5,31,0.0854,1,6
angelikitsakani,nickthegreek5,31,0.076,1,8
46spiros,AgelisDimitris,29,0.0769,1,18
chrysib11,nickthegreek5,27,0.0667,4,17
giannMak,nickthegreek5,26,0.0769,6,20
Briassulis,Track11John,26,0.0781,2,18
Track11John,nickthegreek5,25,0.0526,11,20
AgelisDimitris,angelikitsakani,24,0.0762,2,5
nickthegreek5,sinakatsarou,23,0.0625,4,15
46spiros,chrysib11,23,0.0652,2,17
hatz_patty,nickthegreek5,21,0.0602,3,9
46spiros,MenoEdo,20,0.0629,0,6
Track11John,giannMak,19,0.0671,4,10
angelikitsakani,chrysib11,19,0.0655,1,16
nickthegreek5,vythos70,19,0.0486,1,6
46spiros,Briassulis,19,0.0549,0,8
MariaDecokeke,chrysib11,18,0.0783,5,11
46spiros,mpantazo,18,0.0629,2,8
chrysib11,mpantazo,18,0.0849,2,9
Briassulis,nickthegreek5,17,0.0421,0,3
angelikitsakani,giannMak,17,0.0759,0,1
46spiros,Track11John,16,0.0374,0,7
MariaDecokeke,angelikitsakani,16,0.0669,0,7
MenoEdo,angelikitsakani,16,0.0627,0,7
mpantazo,nickthegreek5,16,0.0465,0,4
MariaDecokeke,nickthegreek5,15,0.0413,3,12
Briassulis,chrysib11,15,0.0543,1,6
LGkvas,nickthegreek5,15,0.0508,1,8
MenoEdo,Myrtilo01,15,0.0829,1,4
RockRock222555,nickthegreek5,15,0.0464,1,10
TheMadoula,nickthegreek5,15,0.0495,1,7
johnblandos,nickthegreek5,15,0.0453,1,7
angelikitsakani,mpantazo,15,0.0676,0,9
nickthegreek5,paliakaravana59,14,0.0354,3,6
AgelisDimitris,Track11John,14,0.0363,2,5
46spiros,sinakatsarou,14,0.0436,1,9
K_Sav215,angelikitsakani,14,0.0576,0,4
AgelisDimitris,mpantazo,13,0.0526,1,7
TsigkaEfi,nickthegreek5,13,0.0435,1,6
chrysib11,giannMak,13,0.0588,1,6
46spiros,giannMak,13,0.0441,0,5
ABCHeckles,nickthegreek5,13,0.0411,0,0
angelikitsakani,angie22gr,13,0.0653,0,2
angelikitsakani,sinakatsarou,13,0.051,0,2
AgelisDimitris,RockRock222555,12,0.0531,2,5
Briassulis,angelikitsakani,12,0.042,2,4
MKioulafa,angelikitsakani,12,0.0556,2,6
46spiros,MariaDecokeke,12,0.0387,1,8
AgelisDimitris,sinakatsarou,12,0.043,1,4
Mirsini1946041,chrysib11,12,0.0597,1,3
46spiros,K_Sav215,12,0.0385,0,1
K_Sav215,nickthegreek5,12,0.0326,0,6
Loxagos_Mark,nickthegreek5,12,0.0354,0,1
PitSpencer,nickthegreek5,12,0.0372,0,1
SenzakiKamo,nickthegreek5,12,0.0396,0,3
economi94461498,nickthegreek5,12,0.0383,0,0
galex1908,nickthegreek5,12,0.0329,0,2
46spiros,RockRock222555,11,0.0406,3,7
AgelisDimitris,Briassulis,11,0.0355,3,8
Briassulis,giannMak,11,0.0519,2,6
46spiros,Loxagos_Mark,11,0.0387,1,7
Briassulis,mpantazo,11,0.0529,1,9
46spiros,dimitris7987,11,0.046,0,0
AgelisDimitris,vythos70,11,0.0368,0,3
Briassulis,K_Sav215,11,0.0482,0,5
MKioulafa,MariaDecokeke,11,0.0705,0,9
Myrtilo01,nickthegreek5,11,0.0312,0,0
angelikitsakani,hatz_patty,11,0.0466,0,7
maus_miny,nickthegreek5,11,0.0374,0,0
chrysib11,economi94461498,10,0.0541,7,7
K_Sav215,Myrtilo01,10,0.0581,4,4
AgelisDimitris,chrysib11,10,0.0311,2,4
AgelisDimitris,paliakaravana59,10,0.0334,2,5
MenoEdo,sinakatsarou,10,0.0469,2,6
Mirsini1946041,angelikitsakani,10,0.0476,2,5
Track11John,chrysib11,10,0.0278,2,3
angelikitsakani,galex1908,10,0.041,2,4
46spiros,Myrtilo01,10,0.0336,1,3
ABCHeckles,AgelisDimitris,10,0.0457,1,3
K_Sav215,chrysib11,10,0.0417,1,4
nickthegreek5,xeniakan21,10,0.0321,1,1
46spiros,xeniakan21,10,0.0391,0,1
AgelisDimitris,MenoEdo,10,0.0352,0,5
