account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
ABCHeckles,True,48,48,0,8,1.0,37,48,34,22,0.4583,AnAthenianToLDN,5,0.1042,3,6,5959,4330,205553,2012-11-16T21:25:29+02:00,True,False,False,el,82.92
economi94461498,True,44,44,0,1,1.0,23,44,36,17,0.3864,n_palaiopanou,4,0.0909,10,40,1356,332,226062,2019-12-15T14:25:21+02:00,True,False,False,,81.71
46spiros,True,225,225,0,37,1.0,109,225,128,89,0.3956,ellada24,9,0.04,91,84,1117,384,262341,2013-04-24T11:55:26+03:00,True,False,False,und,81.33
chrysib11,True,151,151,0,27,1.0,63,151,106,53,0.351,K_Sav215,7,0.0464,19,53,3815,5569,465330,2014-02-18T00:30:27+02:00,True,False,False,und,80.73
Catps66,True,51,51,0,5,1.0,26,51,34,16,0.3137,ellada24,4,0.0784,12,9,1057,2643,32131,2022-02-26T11:26:03+02:00,True,False,False,en,80.49
angie22gr,True,54,54,0,16,1.0,30,54,36,16,0.2963,vickyfnd,5,0.0926,20,14,24467,15656,509036,2012-05-16T18:56:38+03:00,False,False,False,el,80.37
MasenkaMm230158,True,60,60,0,15,1.0,27,60,36,16,0.2667,KatKatPt,7,0.1167,5,3,603,393,32886,2021-03-25T02:06:02+02:00,True,False,False,,80.17
Myrtilo01,True,83,83,0,1,1.0,39,83,45,22,0.2651,ellada24,8,0.0964,24,25,308,339,19855,2011-06-22T23:17:59+03:00,False,False,False,en,79.94
Loxagos_Mark,True,70,70,0,7,1.0,38,70,53,18,0.2571,omadaalithias,4,0.0571,21,15,7007,7425,302021,2013-02-17T16:08:28+02:00,True,False,True,el,79.43
fifi_apostolou,True,62,62,0,16,1.0,53,62,42,14,0.2258,tomanifesto,6,0.0968,38,13,5238,3895,618458,2013-04-29T20:37:29+03:00,False,False,False,und,79.36
PitSpencer,True,54,54,0,14,1.0,29,54,49,11,0.2037,prokaliptika1,3,0.0556,14,8,972,2005,51422,2023-01-09T20:53:33+02:00,True,False,False,,78.61
galex1908,True,96,96,0,1,1.0,72,96,63,17,0.1771,tomanifesto,8,0.0833,23,14,16210,17333,593219,2012-09-22T21:24:05+03:00,False,False,False,el,78.49
fanis_rc,True,46,46,0,2,1.0,38,46,38,8,0.1739,PtisiMagazine,4,0.087,6,7,2027,7293,286071,2023-02-23T17:38:30+02:00,True,False,False,en,78.48
dinoskonstantin,True,100,100,0,12,1.0,79,100,71,12,0.12,RadioGenoa,8,0.08,24,10,2773,5004,79346,2013-10-16T08:33:24+03:00,False,False,False,,77.6
NikosVsdl8,True,44,44,0,21,1.0,38,44,38,6,0.1364,__darcelX__,2,0.0455,5,18,497,1413,39082,2024-11-30T20:05:13+02:00,True,False,False,,77.5
Aaagiiisss,True,35,35,0,10,1.0,20,35,27,3,0.0857,realMaalouf,4,0.1143,8,2,716,1391,49611,2017-07-11T22:42:25+03:00,True,False,False,el,77.43
paliakaravana59,True,128,128,0,3,1.0,105,128,101,17,0.1328,vythos70,5,0.0391,14,32,1704,203,342598,2019-12-14T18:11:51+02:00,True,False,False,,77.38
xeniakan21,True,41,41,0,6,1.0,16,41,34,17,0.4146,Mirsini1946041,3,0.0732,14,5,2676,2328,149266,2012-06-04T21:42:34+03:00,False,False,False,und,76.95
madonnamaniac,True,45,45,0,1,1.0,45,45,34,0,0.0,MDNASW1FT,6,0.1333,14,20,3209,851,88545,2010-11-15T23:36:06+02:00,False,False,False,en,76.33
michael_exc,True,21,21,0,0,1.0,21,21,19,0,0.0,Jvnior,2,0.0952,3,1,728,2078,11329,2013-10-27T13:08:54+02:00,False,False,False,und,75.95
zneraida,True,15,15,0,3,1.0,11,15,13,9,0.6,Harhalas,2,0.1333,11,5,4325,468,144868,2015-07-23T15:14:28+03:00,True,False,False,und,74.08
Xeniaxe19580370,True,23,23,0,0,1.0,17,23,21,0,0.0,realMaalouf,2,0.087,1,1,739,39,16770,2021-09-09T17:37:01+03:00,True,False,False,,72.12
TsigkaEfi,True,31,31,0,3,1.0,10,31,23,17,0.5484,Mirsini1946041,4,0.129,22,20,1016,570,26318,2022-09-10T15:11:44+03:00,True,False,False,,72.02
kokkoriss,True,21,21,0,0,1.0,15,21,18,3,0.1429,ellada24,2,0.0952,4,11,608,2763,33442,2012-04-29T10:28:41+03:00,True,False,False,,71.85
Nogate_T,True,26,26,0,8,1.0,12,26,19,9,0.3462,panta_tif,4,0.1538,3,6,9035,5399,99006,2015-02-13T13:10:01+02:00,True,False,False,el,71.73
margko73,True,15,15,0,0,1.0,15,15,12,0,0.0,tbickle1976,3,0.2,0,2,6178,1832,56339,2012-09-26T14:51:46+03:00,False,False,False,el,70.75
Track11John,True,224,219,5,75,0.9777,143,219,78,124,0.5662,Briassulis,66,0.3014,43,44,899,739,195402,2022-04-29T21:44:29+03:00,True,False,False,el,70.73
Valiadistinct,True,6,6,0,0,1.0,6,6,4,3,0.5,Valiadistinct,3,0.5,2,0,1216,381,77176,2018-04-28T09:23:45+03:00,True,False,True,,70.0
Aristerotsolis,True,5,5,0,0,1.0,4,5,3,3,0.6,Aristerotsolis,3,0.6,3,3,676,1149,6186,2025-12-25T18:31:03+02:00,True,False,False,el,70.0
Fay82776914F,True,17,17,0,4,1.0,10,17,16,7,0.4118,Notorio_rbg,2,0.1176,2,1,1532,1420,49310,2016-09-12T22:28:45+03:00,True,False,False,el,69.85
Fotinh5,True,23,23,0,2,1.0,8,23,17,12,0.5217,DvsDvs60195368,4,0.1739,2,8,3806,2947,63186,2021-10-21T19:55:21+03:00,True,False,False,,69.56
LGkvas,True,29,29,0,0,1.0,8,29,23,14,0.4828,MsLouellaDeVil,3,0.1034,12,6,972,1364,8122,2017-02-27T22:55:17+02:00,True,False,False,und,68.28
teo_ntaleki,True,15,15,0,3,1.0,12,15,15,2,0.1333,somethingrand77,1,0.0667,2,1,702,1671,27498,2023-04-24T21:38:45+03:00,True,False,False,el,67.67
angelikitsakani,True,160,158,2,39,0.9875,58,158,90,76,0.481,AgelisDimitris,8,0.0506,34,30,3171,3857,132214,2012-01-13T21:02:45+02:00,True,False,False,el,67.28
NickDanny99,True,14,14,0,3,1.0,13,14,14,0,0.0,ilpresidenteh,1,0.0714,1,1,1718,1213,17560,2014-09-28T21:04:20+03:00,False,False,False,en,66.96
