original_tweet_id,original_author_handle,origin_is_member,retweet_count,unique_retweeter_count,first_retweeter,first_retweeter_recurrence,time_to_k5_sec,time_to_k10_sec,time_to_k50_sec,burst_kurtosis,burst_peak_window_start_sec,burst_peak_window_count,same_client_share,dominant_client,amplifier_component_ids,amplifier_cohort_ids,amplifier_role_mix,propagation_score,spread_path_preview
2044844673395487139,ellada24,True,16,16,galex1908,72,3225,8292,,1.1978,0,1,0.75,Twitter for Android,1,1,amplifier_suspect:0.38; mixed_behavior:0.38; media_business:0.19; retail_user:0.06,42.6213,galex1908@+0s[c1/h1] -> K_Sav215@+245s[c1/h1] -> maus_miny@+1764s[c1/h1] -> SenzakiKamo@+1981s[c1/h1] -> sinakatsarou@+3225s[c1/h1]
2044847082440155578,Technomagos,False,15,15,aprosarmostos_,2,2796,6040,,4.7004,0,1,0.5333,Twitter for Android,1,,mixed_behavior:0.67; retail_user:0.13; media_business:0.13; amplifier_suspect:0.07,40.6314,aprosarmostos_@+0s[c0/h0] -> Ah_riman@+980s[c1/h0] -> SenzakiKamo@+1650s[c1/h0] -> klikr@+2497s[c1/h0] -> MKioulafa@+2796s[c1/h0]
2044850898178838654,kyranakis,False,14,14,K_Sav215,72,4865,10220,,0.7154,0,1,0.6429,Twitter for Android,1,1,mixed_behavior:0.43; media_business:0.29; amplifier_suspect:0.21; journalist_public_figure:0.07,39.6107,K_Sav215@+0s[c1/h1] -> maus_miny@+491s[c1/h1] -> MariaDecokeke@+3083s[c1/h1] -> MenoEdo@+3803s[c1/h1] -> angelikitsakani@+4865s[c1/h1]
2044819929099043260,n_palaiopanou,False,20,20,K_Sav215,72,3546,10473,,0.4064,0,1,0.45,Twitter for Android,1,1,amplifier_suspect:0.50; mixed_behavior:0.40; unknown:0.05; media_business:0.05,39.5247,K_Sav215@+0s[c1/h1] -> maus_miny@+155s[c1/h1] -> TheMadoula@+742s[c1/h1] -> tasoskar11@+2651s[c1/h1] -> Aristerotsolis@+3546s[c0/h1]
2044855639793340524,failosK,True,10,10,Nogate_T,12,1833,30571,,4.1901,0,1,0.7,Twitter for Android,1,,amplifier_suspect:0.40; mixed_behavior:0.30; media_business:0.20; retail_user:0.10,38.8684,Nogate_T@+0s[c1/h0] -> GiotaPapapetrou@+172s[c1/h0] -> hatz_patty@+880s[c1/h0] -> 46spiros@+1648s[c1/h0] -> Fotinh5@+1833s[c1/h0]
2044427278302474414,AdonisGeorgiadi,False,11,11,Volcom40893832,1,6548,14742,,5.4671,0,1,0.4545,Twitter for Android,1,,mixed_behavior:0.45; amplifier_suspect:0.36; unknown:0.09; media_business:0.09,38.5344,Volcom40893832@+0s[c1/h0] -> hatz_patty@+2901s[c1/h0] -> 46spiros@+3984s[c1/h0] -> TetraLogiki@+5655s[c0/h0] -> MasenkaMm230158@+6548s[c1/h0]
2044794863414128661,panta_tif,False,10,10,LosKarabou79397,2,11345,20556,,-0.6445,0,1,0.8,Twitter for Android,1,,amplifier_suspect:0.40; mixed_behavior:0.40; retail_user:0.10; media_business:0.10,33.7832,LosKarabou79397@+0s[c0/h0] -> Theodoros674021@+7128s[c1/h0] -> Ah_riman@+7532s[c1/h0] -> GeorgiadouL@+9593s[c1/h0] -> 46spiros@+11345s[c1/h0]
2044807025150841161,Lavrentis_1,False,10,10,L6sVita,4,6482,13772,,-1.5919,0,1,0.8,Twitter for Android,1,,amplifier_suspect:0.40; mixed_behavior:0.40; retail_user:0.10; media_business:0.10,33.7832,L6sVita@+0s[c1/h0] -> mpantazo@+1750s[c1/h0] -> 57lista@+2062s[c1/h0] -> EthanAnargyrous@+2688s[c1/h0] -> SenzakiKamo@+6482s[c1/h0]
2044837408923844696,Mirsini1946041,True,17,17,ABCHeckles,37,4042,8621,,-0.1222,0,1,0.4706,Twitter for Android,1,,mixed_behavior:0.53; amplifier_suspect:0.35; media_business:0.12,33.77,ABCHeckles@+0s[c1/h0] -> mpantazo@+838s[c1/h0] -> Briassulis@+3109s[c1/h0] -> Ah_riman@+3672s[c1/h0] -> AgelisDimitris@+4042s[c1/h0]
2044843523342508384,LKleitou,True,14,14,galex1908,72,5622,14472,,-0.3464,0,1,0.5714,Twitter for Android,1,,amplifier_suspect:0.43; mixed_behavior:0.29; media_business:0.21; retail_user:0.07,33.5215,galex1908@+0s[c1/h0] -> Catps66@+426s[c1/h0] -> SenzakiKamo@+1855s[c1/h0] -> mpantazo@+4053s[c1/h0] -> 46spiros@+5622s[c1/h0]
