cohort_id,member_handle,cohort_score,cohort_size
1,46spiros,52.9347,64
1,57lista,52.9347,64
1,ABCHeckles,52.9347,64
1,Aaagiiisss,52.9347,64
1,AgelisDimitris,52.9347,64
1,Agie2a,52.9347,64
1,Ah_riman,52.9347,64
1,ArisBJJ,52.9347,64
1,BatorGr,52.9347,64
1,Briassulis,52.9347,64
1,Catps66,52.9347,64
1,DonConsclavios,52.9347,64
1,Fotinh5,52.9347,64
1,FrankiKostas,52.9347,64
1,GiotaPapapetrou,52.9347,64
1,JSweetGR,52.9347,64
1,K_Sav215,52.9347,64
1,LGkvas,52.9347,64
1,Loxagos_Mark,52.9347,64
1,MKioulafa,52.9347,64
1,MariaDecokeke,52.9347,64
1,MasenkaMm230158,52.9347,64
1,MenoEdo,52.9347,64
1,Mirsini1946041,52.9347,64
1,Myrtilo01,52.9347,64
1,Nogate_T,52.9347,64
1,NonameTZ,52.9347,64
1,RockRock222555,52.9347,64
1,SagamoreMount,52.9347,64
1,SenzakiKamo,52.9347,64
1,ThanosTzimeros,52.9347,64
1,TheMadoula,52.9347,64
1,Track11John,52.9347,64
1,TsigkaEfi,52.9347,64
1,VforVolemenos,52.9347,64
1,Xeniaxe19580370,52.9347,64
1,anasiropiastos,52.9347,64
1,angelikitsakani,52.9347,64
1,angie22gr,52.9347,64
1,chrysib11,52.9347,64
1,communakios,52.9347,64
1,doubamari,52.9347,64
1,economi94461498,52.9347,64
1,evangelia_re,52.9347,64
1,fanis_rc,52.9347,64
1,fifi_apostolou,52.9347,64
1,g_m_theo,52.9347,64
1,galex1908,52.9347,64
1,giannMak,52.9347,64
1,greek_paris_13,52.9347,64
1,hatz_patty,52.9347,64
1,johnblandos,52.9347,64
1,jparthen,52.9347,64
1,klikr,52.9347,64
1,lafillemalgard1,52.9347,64
1,lidakis_manos,52.9347,64
1,maus_miny,52.9347,64
1,mpantazo,52.9347,64
1,nickthegreek5,52.9347,64
1,paliakaravana59,52.9347,64
1,ptableart,52.9347,64
1,sinakatsarou,52.9347,64
1,vythos70,52.9347,64
1,zneraida,52.9347,64
2,AnAthenianToLDN,39.624,41
2,Anastasia7882,39.624,41
2,Anthology2026,39.624,41
2,ArgirNik,39.624,41
2,AthanasiouCccp,39.624,41
2,BananaJoeReload,39.624,41
2,Chaos_kreator,39.624,41
2,CharilaosPapad1,39.624,41
2,DDeppied,39.624,41
2,Evitel_,39.624,41
2,Fay82776914F,39.624,41
2,GeorgiadouL,39.624,41
2,JtfYiannis,39.624,41
2,KosmidisStathis,39.624,41
2,Lalunaromantico,39.624,41
2,MariaKagia4603,39.624,41
2,MariaKoki3,39.624,41
2,Mrpresidentgr,39.624,41
2,NodarasSpiros,39.624,41
2,PitSpencer,39.624,41
2,Rena_Rethymno,39.624,41
2,Theodoros674021,39.624,41
2,Veltsi_Legacy,39.624,41
2,ZafiriaF,39.624,41
2,ZbejVty,39.624,41
2,aggelikiME25,39.624,41
2,dimitris7987,39.624,41
2,dinoskonstantin,39.624,41
2,dkDurcGYTIpZdKl,39.624,41
2,kimosampe,39.624,41
2,kokkoriss,39.624,41
2,nikos_aggelakis,39.624,41
2,nilsholgerson_,39.624,41
2,stefanakiir3,39.624,41
2,steiger_st28082,39.624,41
2,tasoskar11,39.624,41
2,teo_ntaleki,39.624,41
2,unico11226,39.624,41
2,vel_theGreek,39.624,41
2,xariszak2,39.624,41
2,xeniakan21,39.624,41
