account_handle,first_retweeter_count,unique_targets_first,top_target_author,top_target_count,target_hhi,median_lag_to_second_retweet_sec,role_label,cohort_ids,component_id
GiotaPapapetrou,179,96,enikos_gr,20,0.0263,2177,retail_user,1,1
Track11John,143,49,Briassulis,62,0.1985,3136,mixed_behavior,1,1
46spiros,109,71,AnAthenianToLDN,6,0.0205,3627,amplifier_suspect,1,1
aggelikiME25,106,81,xa_xa_xa_xo_xo,7,0.0192,5576,mixed_behavior,2,1
paliakaravana59,105,83,vythos70,5,0.0164,3126,amplifier_suspect,1,1
vythos70,98,76,panta_tif,4,0.016,5667,mixed_behavior,1,1
AgelisDimitris,90,57,MsLouellaDeVil,5,0.0249,3385,mixed_behavior,1,1
nickthegreek5,88,68,MOSSADil,6,0.0207,4503,media_business,1,1
dinoskonstantin,79,60,RadioGenoa,6,0.0226,5714,amplifier_suspect,2,1
Anthology2026,76,71,realMaalouf,3,0.0156,7525,retail_user,2,1
galex1908,72,50,tomanifesto,6,0.0301,3185,amplifier_suspect,1,1
K_Sav215,72,55,Ant_Karaxalios,5,0.0231,3901,mixed_behavior,1,1
Briassulis,68,45,Briassulis,11,0.0493,3477,mixed_behavior,1,1
chrysib11,63,53,K_Sav215,5,0.0244,2715,amplifier_suspect,1,1
G4Heron,60,47,trescommeilfaut,4,0.0261,4392,media_business,,2
Annis2350561782,60,53,TheRISEofROD,4,0.0222,1704,retail_user,,1
angelikitsakani,58,47,AgelisDimitris,5,0.0273,3561,mixed_behavior,1,1
hatz_patty,56,28,vickyfnd,6,0.0523,2891,mixed_behavior,1,1
sinakatsarou,55,42,hatz_patty,5,0.0314,3413,mixed_behavior,1,1
fifi_apostolou,53,36,tomanifesto,6,0.0424,1973,amplifier_suspect,1,1
MKioulafa,47,32,K_Sav215,9,0.0602,3039,mixed_behavior,1,1
madonnamaniac,45,34,MDNASW1FT,6,0.0459,,amplifier_suspect,,
johnblandos,44,36,action24tv,2,0.031,4109,mixed_behavior,1,1
MenoEdo,43,38,PtisiMagazine,3,0.0308,7274,mixed_behavior,1,1
MariaDecokeke,42,27,CatRescueAthens,5,0.0533,4351,media_business,1,1
DonConsclavios,41,22,giannopoulos35,6,0.0708,4301,retail_user,1,1
Mirsini1946041,41,29,Jocoon5,4,0.047,2752,retail_user,1,1
ScroogeKifissia,40,30,MaryMary_1,6,0.0513,,media_business,,
BananaJoeReload,40,37,olympiada,2,0.0288,2906,mixed_behavior,2,1
Myrtilo01,39,26,ellada24,5,0.0546,2754,media_business,1,1
fanis_rc,38,32,PtisiMagazine,4,0.0388,7107,amplifier_suspect,1,1
Loxagos_Mark,38,33,prokaliptika1,2,0.0332,4395,media_business,1,1
NikosVsdl8,38,34,LauraLoomer,2,0.0319,681,amplifier_suspect,,1
ABCHeckles,37,27,AnAthenianToLDN,4,0.0475,4056,amplifier_suspect,1,1
phtochos1,36,26,KaroutsosTh,3,0.0478,1237,mixed_behavior,,
RockRock222555,33,26,isaacrrr7,3,0.0487,1678,mixed_behavior,1,1
mpantazo,33,30,57lista,3,0.0376,3005,mixed_behavior,1,1
