token,display_token,count,unique_account_count,sample_accounts
μυλωνακησ,Μυλωνακης,117,52,46spiros|AgelisDimitris|Agie2a|ArisBJJ|Aristerotsolis|BatorGr|Briassulis|Chaos_kreator|ChrisDarko39|DonConsclavios
aekfc,aekfc,71,10,2eateras|Captain_Sparos|K_Sav215|ObserverGr71726|aekzurich21|aggelikiME25|amantomatimou|anarchistdonkey|ellada24|ledentiste2
olympiacosbc,OlympiacosBC,63,11,2eateras|Abovelaw13|Iliserp|Loxagos_Mark|Manolo_math|Melbourne57|aggelikiME25|amantomatimou|anarchistdonkey|lavidaloca51932
βαξεβανη,Βαξεβανη,57,40,46spiros|AgelisDimitris|Agie2a|Aristerotsolis|BatorGr|Briassulis|Catps66|Chaos_kreator|DonConsclavios|Fay82776914F
βουλη,Βουλη,51,34,46spiros|AgelisDimitris|ArgirNik|Briassulis|Catps66|GeorgiadouL|K_Sav215|LGkvas|Lalunaromantico|Leniw_Lenia
με_τον_κυριακο,ΜΕ_ΤΟΝ_ΚΥΡΙΑΚΟ,48,34,46spiros|ABCHeckles|AgelisDimitris|Aristerotsolis|Briassulis|Catps66|DonConsclavios|K_Sav215|LGkvas|Lalunaromantico
μυρτω,μυρτω,43,24,AgelisDimitris|AleaJactaEst101|Anthology2026|BananaJoeReload|BatorGr|GiotaPapapetrou|MarkRenieris|Mirsini1946041|NonameTZ|QuercusLg
κωνσταντοπουλου,Κωνσταντοπουλου,33,26,46spiros|AgelisDimitris|Ah_riman|ArgirNik|ArisBJJ|Briassulis|Christodoulakos|IK25818385|LGkvas|NonameTZ
λαζαριδησ,Λαζαριδης,33,25,46spiros|AgelisDimitris|Ah_riman|Anthology2026|ArgirNik|ArisBJJ|BananaJoeReload|BatorGr|Catps66|Fotinh5
μυλωνακη,Μυλωνακη,31,23,46spiros|AgelisDimitris|Agie2a|BatorGr|Briassulis|Fay82776914F|JtfYiannis|MasenkaMm230158|NonameTZ|RockRock222555
paobc,paobc,28,11,2eateras|Abovelaw13|Loxagos_Mark|Manolo_math|Melbourne57|Philipos1991486|TheSurigata|aggelikiME25|galex1908|lavidaloca51932
πασοκ,ΠΑΣΟΚ,28,18,46spiros|AthanasiouCccp|Briassulis|DonConsclavios|K_Sav215|MKioulafa|MariaKoki3|Myrtilo01|PitSpencer|VforVolemenos
action24,Action24,27,15,46spiros|BatorGr|Briassulis|DonConsclavios|K_Sav215|Loxagos_Mark|Mirsini1946041|Myrtilo01|NodarasSpiros|Track11John
μητσοτακησ,μητσοτακης,19,15,46spiros|AgelisDimitris|Anthology2026|ArisBJJ|Catps66|K_Sav215|Myrtilo01|Protostatis|anasiropiastos|angelikitsakani
αρβανιτησ,Αρβανίτης,18,16,0nyxas|Briassulis|Christodoulakos|DonConsclavios|K_Sav215|Loxagos_Mark|MKioulafa|MariaDecokeke|TsigkaEfi|VforVolemenos
greece,Greece,17,16,46spiros|Aaagiiisss|Loxagos_Mark|MKioulafa|MariaDecokeke|MenoEdo|PitSpencer|QuercusLg|Rena_Rethymno|Track11John
cyprus,Cyprus,16,10,46spiros|Loxagos_Mark|MKioulafa|MariaDecokeke|NonameTZ|Rena_Rethymno|dinoskonstantin|fifi_apostolou|greek_paris_13|paliakaravana59
συριζα,Συριζα,15,15,ArisBJJ|Briassulis|DonConsclavios|K_Sav215|TheMadoula|Torquem21743459|TsigkaEfi|VforVolemenos|angelikitsakani|angie22gr
ισραηλ,Ισραηλ,14,8,46spiros|AgelisDimitris|Briassulis|MenoEdo|RockRock222555|Track11John|dinoskonstantin|fifi_apostolou
κεφαλονια,Κεφαλονιά,14,10,Briassulis|GiotaPapapetrou|HouseElisabeth_|Jan__Sobieski|aggelikiME25|chrisvwgolf|giorgosgreen|le1li|unico11226|xeniakan21
pisoapotisgrammes,PisoApoTisGrammes,13,10,BatorGr|Briassulis|K_Sav215|Loxagos_Mark|Myrtilo01|angelikitsakani|giannMak|hatz_patty|johnblandos|nickthegreek5
ελλαδα,Ελλάδα,13,9,46spiros|Marios59885699|MenoEdo|PitSpencer|Track11John|dinoskonstantin|fifi_apostolou|hellaspecial|themagus2022
survivorgr,survivorGR,12,6,Greekprn|IK25818385|Philipos1991486|Placebo_0|Rinokeros2023|ZbejVty
πλευση_ελευθεριασ,Πλευση_Ελευθεριας,12,11,ArgirNik|Briassulis|TheMadoula|economi94461498|giannMak|leonidasHG|nickthegreek5|ptableart|tasoskar11|vythos70
israel,Israel,11,9,46spiros|AgelisDimitris|Agie2a|MKioulafa|MariaKoki3|MenoEdo|Myrtilo01|dinoskonstantin|fifi_apostolou
turkey,Turkey,11,6,Agie2a|Briassulis|MKioulafa|MariaKoki3|Track11John|dinoskonstantin
καρυστιανου,καρυστιανού,11,11,Briassulis|PitSpencer|RockRock222555|Track11John|TsigkaEfi|chrysib11|giannMak|kostasp194|nickthegreek5|tasoskar11
τουρκια,Τουρκια,11,5,46spiros|MenoEdo|Track11John|dinoskonstantin|fifi_apostolou
vouli,vouli,10,10,46spiros|AgelisDimitris|Ah_riman|ArgirNik|ArisBJJ|SenzakiKamo|cavodoro|dkDurcGYTIpZdKl|nickthegreek5|xeniakan21
ανδρουλακησ,Ανδρουλάκης,10,10,46spiros|AgelisDimitris|ArisBJJ|Briassulis|DonConsclavios|Myrtilo01|anasiropiastos|angelikitsakani|mpantazo|vythos70
κυπροσ,Κυπρος,10,8,46spiros|MKioulafa|MariaDecokeke|NonameTZ|Rena_Rethymno|dinoskonstantin|fifi_apostolou|greek_paris_13
μενιδι,Μενίδι,10,10,AnnaDiEpifanio1|HRessed|Mirsini1946041|NikosVsdl8|Snow83189825|chrysib11|mpantazo|paliakaravana59|vythos70|xeniakan21
οπεκεπε,ΟΠΕΚΕΠΕ,10,9,46spiros|Briassulis|IK25818385|K_Sav215|Track11John|angelikitsakani|dimitris7987|giannMak|zneraida
apokalypseis,apokalypseis,9,7,IK25818385|Mirsini1946041|NonameTZ|angelikitsakani|chrisvwgolf|le1li|unico11226
proinizoni,ProiniZoni,9,5,DonConsclavios|K_Sav215|Mirsini1946041|Myrtilo01|NodarasSpiros
turkiye,Turkiye,9,5,46spiros|MenoEdo|Track11John|dinoskonstantin|fifi_apostolou
νεα_δημοκρατια,Νεα_Δημοκρατια,9,8,Briassulis|DonConsclavios|K_Sav215|TsigkaEfi|angelikitsakani|antileftis91560|doubamari|mpantazo
aekbc,aekbc,8,6,K_Sav215|Loxagos_Mark|aekzurich21|anarchistdonkey|gospodinmedvedd|ledentiste2
spain,Spain,8,8,46spiros|Chaos_kreator|MenoEdo|RockRock222555|chrysib11|dimitris7987|mpantazo|nickthegreek5
greeks,Greeks,7,5,MKioulafa|MariaDecokeke|NonameTZ|Rena_Rethymno|greek_paris_13
paoac,paoac,7,2,Abovelaw13|TheSurigata
paofc,paofc,7,6,Abovelaw13|Asmoudis13|Loxagos_Mark|Mrpresidentgr|TheSurigata|amantomatimou
usa,USA,7,5,46spiros|Agie2a|MKioulafa|MariaKoki3|fifi_apostolou
βαξεβανησ,Βαξεβανης,7,6,ABCHeckles|AgelisDimitris|Briassulis|GP_74_|angie22gr|nikos_aggelakis
μαριοσ,Μαριος,7,7,HRessed|Mirsini1946041|NikosVsdl8|Snow83189825|chrysib11|mpantazo|xeniakan21
με_την_ομαδα_αληθειασ,με_την_Ομαδα_Αληθειας,7,7,GeorgiadouL|TheMadoula|TsigkaEfi|angie22gr|economi94461498|maus_miny|nickthegreek5
ομαδα_αληθειασ,Ομαδα_Αληθειας,7,7,GeorgiadouL|TheMadoula|TsigkaEfi|angie22gr|economi94461498|maus_miny|nickthegreek5
namagapas,Namagapas,6,1,olofwti_agapi
αδωνισ,Αδωνις,6,4,DonConsclavios|K_Sav215|L6sVita|Myrtilo01
αντηχεσ_σκεψεισ,αντηχες_σκεψεις,6,1,MoudilosV
γεωργιαδησ,Γεωργιάδης,6,5,46spiros|Hlsn0iQdRGXJ7lw|K_Sav215|VforVolemenos|galex1908
epomenimera,EpomeniMera,5,4,46spiros|Briassulis|K_Sav215|Track11John
f16v,F16V,5,5,Anastasia7882|Loxagos_Mark|MenoEdo|Mrpresidentgr|greek_paris_13
haf,HAF,5,5,Anastasia7882|Loxagos_Mark|MenoEdo|Mrpresidentgr|greek_paris_13
iran,Iran,5,4,Agie2a|MKioulafa|MariaKoki3|fifi_apostolou
olympiacosfc,olympiacosfc,5,4,2eateras|Asmoudis13|Valiadistinct|amantomatimou
paokbc,PAOKBC,5,2,DonConsclavios|HouseElisabeth_
paowbc,paowbc,5,1,Abovelaw13
predator,predator,5,5,46spiros|Annis2350561782|MKioulafa|Protostatis|xeniakan21
βενιζελοσ,Βενιζελος,5,5,K_Sav215|MKioulafa|MariaKoki3|PitSpencer|angelikitsakani
εσηεα,ΕΣΗΕΑ,5,5,Catps66|TheMadoula|nikglykos|sinakatsarou|vel_theGreek
ιραν,Ιραν,5,5,46spiros|G4Heron|RockRock222555|greek_paris_13|silaserafim
19χρονη,19χρονη,4,4,BatorGr|le1li|phtochos1|seriousthreat98
aek,aek,4,2,K_Sav215|ledentiste2
annaxoaka,ANNAxOAKA,4,2,agnwstos_x_|anasiropiastos
challenge_γυαλια_ηλιου,Challenge_γυαλια_ηλιου,4,4,Briassulis|Loxagos_Mark|dinoskonstantin|fanis_rc
christian,Christian,4,4,PitSpencer|SenzakiKamo|lidakis_manos|themagus2022
history,history,4,4,PitSpencer|SenzakiKamo|lidakis_manos|themagus2022
megalivenews,megalivenews,4,3,Georgia146690|IK25818385|xeniakan21
metonkyriako,metonkyriako,4,4,BatorGr|Briassulis|MenoEdo|vythos70
panathinaikos,Panathinaikos,4,3,Loxagos_Mark|Mrpresidentgr|galex1908
toprwino,toprwino,4,3,IK25818385|Sunflower19731|agnwstos_x_
αργοστολι,Αργοστόλι,4,4,BatorGr|le1li|phtochos1|seriousthreat98
δντ,ΔΝΤ,4,4,Briassulis|K_Sav215|chrysib11|giannMak
ενεργεια,Ενέργεια,4,3,46spiros|Track11John|hellaspecial
ευρωπαικηεισαγγελια,ΕυρωπαϊκήΕισαγγελία,4,4,MariaDecokeke|Mirsini1946041|chrysib11|zneraida
θεσσαλονικησ,Θεσσαλονίκης,4,4,Fotinh5|K_Sav215|klikr|sinakatsarou
κοβεσι,Κοβέσι,4,4,Christodoulakos|MKioulafa|angelikitsakani|zneraida
κυβερνηση_μητσοτακη,κυβερνηση_Μητσοτακη,4,3,mpantazo|nickthegreek5|tipukitos
λαθρομεταναστεσ,λαθρομετανάστες,4,3,NikosVsdl8|dinoskonstantin|tavros5791
λεχριτεσ,λεχριτες,4,4,K_Sav215|Lalunaromantico|mpantazo|nickthegreek5
μεταθαλογαριαστουμε,μεταθαλογαριαστουμε,4,4,Kon_Dalaoura|LGkvas|TsigkaEfi|nickthegreek5
νδδολοφονοι,ΝΔδολοφονοι,4,4,Kon_Dalaoura|LGkvas|TsigkaEfi|nickthegreek5
νδεγκληματικησυμμορια,ΝΔεγκληματικήσυμμορια,4,4,Kon_Dalaoura|LGkvas|TsigkaEfi|nickthegreek5
νδπαιδεραστεσ,ΝΔπαιδεραστές,4,4,Kon_Dalaoura|LGkvas|TsigkaEfi|nickthegreek5
ξυλολια,ξυλολια,4,4,Kon_Dalaoura|LGkvas|TsigkaEfi|nickthegreek5
παοκ,ΠΑΟΚ,4,3,DonConsclavios|bobidion|gaou__biou
περαστικα,Περαστικά,4,4,AgelisDimitris|SenzakiKamo|giannMak|nickthegreek5
ποτε_ξανα_φασιστερα,ποτέ_ξανά_φασιστερά,4,4,46spiros|K_Sav215|RockRock222555|ThanosTzimeros
ρωμανοσ,ρωμανος,4,3,DonConsclavios|VforVolemenos|mpantazo
υποκλοπεσ,υποκλοπές,4,4,Annis2350561782|Briassulis|PitSpencer|Protostatis
basketballcl,basketballcl,3,3,K_Sav215|Loxagos_Mark|aekzurich21
buongiorno,buongiorno,3,1,agnwstos_x_
coadf2,COADF2,3,1,madonnamaniac
eu,EU,3,3,Briassulis|PitSpencer|Track11John
greecemfa,GreeceMFA,3,3,Myrtilo01|Track11John|nickthegreek5
greek,Greek,3,3,Aaagiiisss|PitSpencer|themagus2022
hezbollah,Hezbollah,3,3,46spiros|MKioulafa|unico11226
iefimerida,iefimerida,3,3,Briassulis|fifi_apostolou|johnblandos
iranwar,IranWar,3,3,46spiros|Agie2a|MariaKoki3
madonna,Madonna,3,1,madonnamaniac
masterchefgr,MasterChefGR,3,2,MariaKagia4603|MarkRenieris
masturbation,masturbation,3,3,anasiropiastos|nickthegreek5|vythos70
mianyxtamono,MiaNyxtaMono,3,1,bobidion
olympiacos,olympiacos,3,2,RunManLXXIII|aggelikiME25
paok,paok,3,3,DonConsclavios|G4Heron|amantomatimou
protothema,protothema,3,2,Myrtilo01|fifi_apostolou
ucl,UCL,3,2,Abovelaw13|AnAthenianToLDN
αεπ,αεπ,3,3,K_Sav215|chrysib11|giannMak
αναπτυξη,αναπτυξη,3,3,K_Sav215|chrysib11|giannMak
βισση,Βισση,3,2,agnwstos_x_|anasiropiastos
γαζα,Γαζα,3,3,46spiros|AthanasiouCccp|xeniakan21
δημοσιοχρεοσ,δημοσιοχρεος,3,3,K_Sav215|chrysib11|giannMak
δημοσκοπησεισ,Δημοσκοπήσεις,3,3,mpantazo|nickthegreek5|vythos70
η_ευρωπη_αυτοκτονει,Η_Ευρώπη_αυτοκτονεί,3,3,46spiros|ThanosTzimeros|paliakaravana59
ηπα,ΗΠΑ,3,3,46spiros|VforVolemenos|fifi_apostolou
θανου,Θανου,3,3,K_Sav215|L6sVita|Myrtilo01
κεφαλλονια,Κεφαλλονιά,3,3,GiotaPapapetrou|LGkvas|angelikitsakani
κρατοσδικαιου,ΚράτοςΔικαίου,3,3,Catps66|angelikitsakani|stefanakiir3
λαζαριδη,Λαζαρίδη,3,3,NickDanny99|giannMak|tipukitos
λατινοπουλου,Λατινοπουλου,3,1,IK25818385
λυγγεριδησ,Λυγγεριδης,3,3,Nogate_T|TsigkaEfi|mpantazo
μαριο,Μάριο,3,3,AnnaDiEpifanio1|paliakaravana59|vythos70
νδ_αριστεια,ΝΔ_αριστεια,3,3,Anthology2026|ScroogeKifissia|Valiadistinct
ορμουζ,Ορμουζ,3,2,46spiros|silaserafim
προσφυγικα,προσφυγικά,3,3,46spiros|VIVITV5|xariszak2
πρωτογενηπλεονασματα,πρωτογενηπλεονασματα,3,3,K_Sav215|chrysib11|giannMak
σαντσεθ,Σάντσεθ,3,3,46spiros|Hlsn0iQdRGXJ7lw|anastassios2401
τα_χαπια_για_την_πιεση,Τα_Χάπια_για_την_Πίεση,3,3,Loxagos_Mark|Marios59885699|dinoskonstantin
φαμελλοσ,Φαμελλος,3,3,TheMadoula|Torquem21743459|angie22gr
φαρμεσ,φαρμες,3,3,46spiros|MKioulafa|xeniakan21
χρεοσ,χρεος,3,3,K_Sav215|chrysib11|giannMak
