token,display_token,count,unique_account_count,sample_accounts
kostasvaxevanis,KostasVaxevanis,84,43,46spiros|ABCHeckles|AgelisDimitris|Aristerotsolis|BatorGr|Briassulis|Chaos_kreator|DonConsclavios|Fotinh5|GeorgiadouL
primeministergr,PrimeministerGR,76,46,46spiros|ABCHeckles|AgelisDimitris|Aristerotsolis|BatorGr|Briassulis|Catps66|Chaos_kreator|DonConsclavios|Fotinh5
georgemilon,georgemilon,75,37,46spiros|AgelisDimitris|Ah_riman|B2hBk3gFaa2fH4W|Briassulis|DonConsclavios|G4Heron|GeorgiadouL|GiotaPapapetrou|K_Sav215
kmitsotakis,kmitsotakis,70,38,46spiros|AstyMpekas|B2hBk3gFaa2fH4W|BeardedChad1995|Briassulis|DonConsclavios|Fotinh5|GeorgiadouL|Hlsn0iQdRGXJ7lw|K_Sav215
makdrou,makdrou,53,14,46spiros|AgelisDimitris|Agie2a|Ah_riman|Briassulis|DonConsclavios|Rena_Rethymno|TheMadoula|Torquem21743459|chrysib11
adonisgeorgiadi,AdonisGeorgiadi,52,31,46spiros|ArgirNik|BananaJoeReload|Briassulis|DonConsclavios|GP_74_|K_Sav215|L6sVita|MKioulafa|MariaDecokeke
vythos70,vythos70,46,15,IoannisAro98223|IriniPapad26550|Jocoon5|SpyrosSpyropou7|XMulwna|XmLdl|antileftis91560|antonispoulas|gabrielubr|kaltsib
dimitrissavvid4,DimitrisSavvid4,41,24,46spiros|ABCHeckles|AgelisDimitris|ArisBJJ|Briassulis|DonConsclavios|Fay82776914F|GiotaPapapetrou|MenoEdo|RockRock222555
syriza_gr,syriza_gr,29,16,Briassulis|DonConsclavios|GeorgiadouL|K_Sav215|TheMadoula|Torquem21743459|TsigkaEfi|VforVolemenos|angelikitsakani|angie22gr
pasok,pasok,23,15,46spiros|Briassulis|DonConsclavios|Fotinh5|Mirsini1946041|Myrtilo01|VforVolemenos|angelikitsakani|chrysib11|fifi_apostolou
mvlazaridis,mvlazaridis,22,20,46spiros|AgelisDimitris|Ah_riman|Anthology2026|ArgirNik|ArisBJJ|B2hBk3gFaa2fH4W|Briassulis|MariaDecokeke|SenzakiKamo
pl_eleftherias,pl_eleftherias,19,16,46spiros|AgelisDimitris|ArgirNik|BatorGr|Briassulis|TheMadoula|angelikitsakani|economi94461498|giannMak|le1li
zoekonstant,ZoeKonstant,19,16,46spiros|AgelisDimitris|ArgirNik|BatorGr|Briassulis|TheMadoula|angelikitsakani|economi94461498|giannMak|le1li
kousoulospetros,KousoulosPetros,18,14,BatorGr|EoLaerte|FrankiKostas|LGkvas|Mirsini1946041|SenzakiKamo|chrysib11|economi94461498|fanis_rc|fifi_apostolou
sfamellos,SFamellos,18,17,46spiros|AgelisDimitris|Briassulis|K_Sav215|RockRock222555|TheMadoula|Torquem21743459|Track11John|TsigkaEfi|angie22gr
androulakisnick,androulakisnick,16,12,46spiros|Briassulis|Catps66|DonConsclavios|Myrtilo01|VforVolemenos|galex1908|hatz_patty|kostasp194|mpantazo
elenikalogerop2,elenikalogerop2,16,12,BatorGr|Briassulis|DonConsclavios|EAdamopoulou|K_Sav215|Loxagos_Mark|Myrtilo01|angelikitsakani|giannMak|hatz_patty
georgepierros,GeorgePierros,16,12,BatorGr|Briassulis|DonConsclavios|John_Fletcher70|K_Sav215|Loxagos_Mark|Myrtilo01|angelikitsakani|giannMak|hatz_patty
documentonews,documentonews,15,13,46spiros|ABCHeckles|AgelisDimitris|BatorGr|Briassulis|SenzakiKamo|VforVolemenos|angelikitsakani|fanis_rc|galex1908
neademokratia,neademokratia,15,11,46spiros|Briassulis|DonConsclavios|K_Sav215|TsigkaEfi|angelikitsakani|doubamari|fifi_apostolou|galex1908|kokkoriss
omadaalithias,omadaalithias,14,13,46spiros|Briassulis|GeorgiadouL|LGkvas|Lalunaromantico|TheMadoula|TsigkaEfi|angie22gr|economi94461498|ippotech
dimitris_takis,dimitris_takis,13,10,BatorGr|Briassulis|K_Sav215|Loxagos_Mark|Myrtilo01|angelikitsakani|giannMak|hatz_patty|johnblandos|nickthegreek5
historycyprus,HistoryCyprus,13,10,46spiros|Briassulis|MariaDecokeke|Marios59885699|Rena_Rethymno|chrysib11|dimitris7987|g_m_theo|greek_paris_13|mpantazo
