account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
nickthegreek5,2,104,0.6374,1,8.3438,12.4811,-1.1098,64.55,0.986,838
46spiros,2,104,0.6192,2,8.13,12.447,-1.8864,81.33,1.0,591
Track11John,2,104,0.6152,3,9.3096,12.5626,-1.5317,70.73,0.9777,226
Rena_Rethymno,2,104,0.5948,4,7.9354,3.2335,-6.8883,48.33,0.8571,37
K_Sav215,2,104,0.5939,5,9.9178,10.1056,-2.3064,46.44,0.513,206
GiotaPapapetrou,2,104,0.5819,6,8.9175,10.6327,-0.6188,61.93,0.9845,74
G4Heron,2,104,0.5747,7,6.5479,4.3852,1.7631,60.43,0.9275,3
n_palaiopanou,1,263,0.5703,8,7.7035,-4.8803,-6.1593,0.0,0.0,0
Anthology2026,2,104,0.5696,9,5.7656,6.5453,-2.4355,55.28,0.8261,37
Briassulis,2,104,0.5645,10,7.1322,11.1059,-1.877,55.84,0.7179,316
AgelisDimitris,2,104,0.5636,11,7.2134,11.5874,-1.6577,60.57,0.8829,429
chrysib11,2,104,0.5616,12,6.2424,11.0905,-0.7708,80.73,1.0,407
aggelikiME25,2,104,0.5613,13,6.1033,6.8165,0.5763,59.52,0.9565,2
Annis2350561782,2,104,0.5612,14,6.7203,4.05,-0.0233,52.59,0.7625,2
doubamari,2,104,0.5609,15,5.6598,3.2331,0.4666,41.33,0.7778,15
DonConsclavios,2,104,0.5582,16,5.3065,7.8435,-1.9089,63.83,0.9688,85
ScroogeKifissia,2,104,0.5576,17,7.2388,2.6852,2.5034,58.36,0.8889,0
Myrtilo01,2,104,0.557,18,5.4533,8.3962,-1.639,79.94,1.0,186
Jan__Sobieski,1,263,0.5564,19,7.2554,1.062,0.0034,16.46,0.1607,2
AnAthenianToLDN,2,104,0.5557,20,5.1707,4.3159,0.5243,42.09,0.5882,17
madonnamaniac,2,104,0.5457,21,7.1803,2.44,1.2084,76.33,1.0,0
NikosMichael6,1,263,0.5456,22,6.4889,-2.0368,3.5858,60.0,1.0,0
NodarasSpiros,2,104,0.5436,23,5.9049,3.6535,0.081,22.8,0.2308,16
galex1908,2,104,0.541,24,5.1518,9.2122,0.1436,78.49,1.0,147
silaserafim,2,104,0.5389,25,6.0502,2.7272,1.7478,58.38,0.9583,5
paliakaravana59,2,104,0.5341,26,5.5601,9.1946,-1.2114,77.38,1.0,82
JtfYiannis,1,263,0.5336,27,5.9431,0.5622,0.5259,55.0,1.0,6
vythos70,2,104,0.5326,28,6.125,10.2804,-0.5304,59.61,0.8836,130
dinoskonstantin,2,104,0.5322,29,4.9962,7.5624,0.0394,77.6,1.0,54
angelikitsakani,2,104,0.5318,30,6.0091,10.9637,-1.0267,67.28,0.9875,496
NikosVsdl8,2,104,0.531,31,5.1713,4.101,-0.1989,77.5,1.0,9
ThanosTzimeros,2,104,0.5274,32,4.6611,5.4325,0.6561,46.65,0.7143,27
BeardedChad1995,1,263,0.5246,33,5.8733,-3.4319,-2.6298,0.0,0.0,0
