account_handle,component_id,component_size,neighbor_count,weighted_degree,within_15m_weight,within_60m_weight,strongest_neighbor,max_shared_edge
nickthegreek5,1,135,99,838,69,303,46spiros,45
46spiros,1,135,83,591,44,232,nickthegreek5,45
angelikitsakani,1,135,68,496,32,176,46spiros,34
AgelisDimitris,1,135,70,429,36,161,nickthegreek5,44
chrysib11,1,135,68,407,49,183,nickthegreek5,27
Briassulis,1,135,58,316,27,129,Track11John,26
MenoEdo,1,135,56,304,13,77,nickthegreek5,31
MariaDecokeke,1,135,55,256,26,121,chrysib11,18
mpantazo,1,135,50,241,23,105,chrysib11,18
giannMak,1,135,42,237,21,95,nickthegreek5,26
sinakatsarou,1,135,44,233,24,99,nickthegreek5,23
Track11John,1,135,35,226,33,111,Briassulis,26
K_Sav215,1,135,41,206,21,93,angelikitsakani,14
Myrtilo01,1,135,42,186,22,58,MenoEdo,15
hatz_patty,1,135,42,182,18,84,nickthegreek5,21
galex1908,1,135,35,147,14,50,nickthegreek5,12
TheMadoula,1,135,41,142,10,42,nickthegreek5,15
vythos70,1,135,30,130,12,48,nickthegreek5,19
Loxagos_Mark,1,135,34,126,5,35,nickthegreek5,12
RockRock222555,1,135,28,126,15,63,nickthegreek5,15
maus_miny,1,135,36,124,11,38,nickthegreek5,11
MKioulafa,1,135,30,124,24,73,angelikitsakani,12
johnblandos,1,135,35,120,10,46,nickthegreek5,15
Catps66,1,135,34,119,5,36,nickthegreek5,10
ABCHeckles,1,135,33,112,6,28,nickthegreek5,13
PitSpencer,1,135,32,111,3,14,nickthegreek5,12
dimitris7987,1,135,27,105,1,5,46spiros,11
TsigkaEfi,1,135,32,104,8,35,nickthegreek5,13
angie22gr,1,135,28,103,4,14,angelikitsakani,13
Ah_riman,1,135,25,98,9,44,nickthegreek5,8
MasenkaMm230158,1,135,30,97,7,36,nickthegreek5,9
SenzakiKamo,1,135,26,97,5,27,nickthegreek5,12
Mirsini1946041,1,135,17,90,14,42,chrysib11,12
economi94461498,1,135,24,88,7,7,nickthegreek5,12
xeniakan21,1,135,23,88,2,16,nickthegreek5,10
DonConsclavios,1,135,24,85,10,36,Myrtilo01,7
Nogate_T,1,135,24,85,5,26,nickthegreek5,7
paliakaravana59,1,135,20,82,7,32,nickthegreek5,14
GiotaPapapetrou,1,135,20,74,11,36,nickthegreek5,8
lidakis_manos,1,135,19,68,2,20,nickthegreek5,9
LGkvas,1,135,20,65,6,21,nickthegreek5,15
BatorGr,1,135,19,65,4,16,46spiros,7
Agie2a,1,135,22,63,4,23,AgelisDimitris,6
g_m_theo,1,135,21,60,6,24,46spiros,7
klikr,1,135,15,57,13,36,MariaDecokeke,8
greek_paris_13,1,135,21,56,5,26,chrysib11,5
dkDurcGYTIpZdKl,1,135,18,54,2,8,46spiros,7
dinoskonstantin,1,135,17,54,0,6,46spiros,6
Fotinh5,1,135,15,53,6,32,chrysib11,7
ArisBJJ,1,135,16,50,5,22,nickthegreek5,9
NonameTZ,1,135,16,50,2,26,nickthegreek5,8
tasoskar11,1,135,18,49,1,13,nickthegreek5,7
Fay82776914F,1,135,17,47,4,12,nickthegreek5,7
ArgirNik,1,135,18,44,5,9,nickthegreek5,4
ZafiriaF,1,135,12,38,1,5,nickthegreek5,9
Anthology2026,1,135,14,37,1,9,chrysib11,5
