original_tweet_id,original_author_handle,original_created_at,retweet_count,unique_retweeter_count,first_retweeter,first_retweet_at,last_retweet_at,span_minutes,retweets_within_15m,retweets_within_60m,hashtags,mentions,retweeters,sample_text
2044819929099043260,n_palaiopanou,2026-04-16T16:47:16+00:00,20,20,K_Sav215,2026-04-16T16:49:42+00:00,2026-04-17T03:59:49+00:00,670,3,5,μυλωνακησ|βαξεβανη,kostasvaxevanis|primeministergr,K_Sav215|maus_miny|TheMadoula|tasoskar11|Aristerotsolis|Torquem21743459|agapornis_mask|Briassulis|harakont|AgelisDimitris|kokkoriss|johnblandos|NonameTZ|TsigkaEfi|Nogate_T|nickthegreek5|LGkvas|economi94461498|Chaos_kreator|dimitris7987,Κ. Βαξεβάνη @KostasVaxevanis έχετε όντως αρταρει αυτήν την ακραία χυδαιότητα;;  Και μετά σας ενόχλησε η αναφορά του Πρωθυπουργού @PrimeministerGR στην ακραία τοξικότητα;;  Τον επιβεβαιώνετε μέχρι τελείας με την συμπεριφορά σας.  #Μυλωνάκης #Βαξεβάνη https://t.co/WaeerV4mHb
2044837408923844696,Mirsini1946041,2026-04-16T17:56:44+00:00,17,17,ABCHeckles,2026-04-16T18:04:49+00:00,2026-04-17T04:38:56+00:00,634,2,3,,,ABCHeckles|mpantazo|Briassulis|Ah_riman|AgelisDimitris|MariaKagia4603|InafiZinaf1|46spiros|sinakatsarou|Fay82776914F|chrysib11|TheMadoula|nickthegreek5|RockRock222555|dkDurcGYTIpZdKl|dimitris7987|Nikos2501,"Δημοσιογράφοι σε Μέγκα, Oπεν , Αντέννα και action 24 που επί τρία χρόνια εκμεταλλεύτηκαν 57 νεκρούς, πουλώντας εν γνώσει τους καθημερινά ψέματα σε δελτία ειδήσεων και εκπομπές,  με σκοπό να χτυπήσουν την κυβέρνηση και να κάνουν τα χατίρια των αφεντικών τους ,  τώρα μας λένε  ότι δεν έπρεπε  ο Μητσοτάκης να συνδέσει  την κατάσταση της υγείας ενός στενού του φίλου και συνεργάτη  , με τις αθλιότητες που έγραψε  στην φυλλάδα του ,η ντροπή της δημοσιογραφίας ο Βαξεβανης.  Ε δε πα ν' αγαπηθείτε  αρδακια λέω γω ."
2044754412501860527,omadaalithias,2026-04-16T12:26:56+00:00,16,16,ABCHeckles,2026-04-16T16:35:45+00:00,2026-04-17T04:38:43+00:00,722,3,5,,,ABCHeckles|doubamari|ArgirNik|DonConsclavios|VforVolemenos|Perdim1|hatz_patty|maus_miny|MasenkaMm230158|le1li|TheMadoula|johnblandos|Evitel_|L6sVita|Kon_Dalaoura|PitSpencer,Αυτό το βίντεο πρέπει να παίζει κάθε φορά που βλέπουμε Πασόκους να μιλάνε για τον ΟΠΕΚΕΠΕ https://t.co/7mKNFHB9eF
2044844673395487139,ellada24,2026-04-16T18:25:36+00:00,16,16,galex1908,2026-04-16T18:36:34+00:00,2026-04-17T04:44:45+00:00,608,2,5,,,galex1908|K_Sav215|maus_miny|SenzakiKamo|sinakatsarou|kokkoriss|MenoEdo|angelikitsakani|chrysib11|MariaDecokeke|46spiros|nickthegreek5|giannMak|tasoskar11|Myrtilo01|PitSpencer,"Ζαχαρός: Το να μιλάει η Κωνσταντοπούλου για Κράτος Δικαίου, είναι σαν να στέλνεις τον Εσκομπάρ στην εκκλησία να μιλήσει κατά των ναρκωτικών. Οι βουλεύτριές της την κατηγορούν ότι όχι μόνο τις έδιωξε, αλλά τους έκανε bullying. https://t.co/wHi3d0mQfU"
2044847082440155578,Technomagos,2026-04-16T18:35:10+00:00,15,15,aprosarmostos_,2026-04-16T18:41:55+00:00,2026-04-17T02:11:47+00:00,449,1,5,,,aprosarmostos_|Ah_riman|SenzakiKamo|klikr|MKioulafa|mpantazo|MariaDecokeke|chrysib11|DDeppied|AgelisDimitris|lafillemalgard1|HRessed|Rena_Rethymno|AnAthenianToLDN|dimitris7987,"Τα sms Μυλωνάκη δήθεν αποδεικνύονται ""από μαρτυρίες και συνδυασμό γεγονότων"".  Βέβαια αν αντί πολιτικής, ασκούσατε δημοσιογραφία, θα μπορούσατε να διασταυρώσετε, π.χ. να κάνετε Google πριν δημοσιεύσετε.  1) Δεν υπήρχε ολομέλεια στις 12/4/2019 &amp; ο Τσίπρας ήταν στην Κροατία.  🧵1/6 https://t.co/Pfsau73UGv"
2044452115427266781,dimitris7987,2026-04-15T16:25:43+00:00,14,14,JimyWis,2026-04-15T19:30:44+00:00,2026-04-16T19:42:23+00:00,1451,2,4,,,JimyWis|VIVITV5|46spiros|RockRock222555|chrysib11|AgelisDimitris|g_m_theo|nickthegreek5|CharilaosPapad1|MenoEdo|Loxagos_Mark|cavodoro|ZafiriaF|frel_elias,"Αφηνιάζουν οι αριστεροί, κατόπιν έξώθεν εντολών. https://t.co/KhGLqSS1gW"
2044843523342508384,LKleitou,2026-04-16T18:21:01+00:00,14,14,galex1908,2026-04-16T18:37:54+00:00,2026-04-17T03:46:20+00:00,548,2,3,,,galex1908|Catps66|SenzakiKamo|mpantazo|46spiros|nickthegreek5|MariaDecokeke|johnblandos|MenoEdo|xeniakan21|Fay82776914F|angelikitsakani|dkDurcGYTIpZdKl|Nogate_T,"Φρένο απο την Ιταλία! ""Κουβάς"" στην πατρίδα της την Ρουμανία, που πληρώνει αποζημιώσεις σε αυτούς που διέσυρε με αστήρικτες κατηγορίες, η Ευρωπαία ""Ροβεσπιέρα"".Πάλι σε ""κουτσό άλογο"" ποντάρει η Αντιπολίτευση... https://t.co/tL4XBZFwXh"
2044850898178838654,kyranakis,2026-04-16T18:50:20+00:00,14,14,K_Sav215,2026-04-16T18:55:45+00:00,2026-04-17T03:33:19+00:00,517,2,3,,,K_Sav215|maus_miny|MariaDecokeke|MenoEdo|angelikitsakani|Fotinh5|46spiros|BatorGr|sinakatsarou|ArisBJJ|Mrpresidentgr|Loxagos_Mark|dkDurcGYTIpZdKl|Myrtilo01,Για τον Γιώργο Μυλωνάκη και τα αποτελέσματα της τοξικότητας. https://t.co/pbDfullHQV
2044793736417476982,4fABkkc5xTv2aek,2026-04-16T15:03:11+00:00,13,13,mpantazo,2026-04-16T17:25:17+00:00,2026-04-17T03:52:26+00:00,627,1,5,,,mpantazo|Chaos_kreator|georgekouts62|cavodoro|vel_theGreek|Myrtilo01|johnblandos|chrysib11|PanosStayis|MasenkaMm230158|Daedalus_theG|CroniusZeus|Theodoros674021,"🔴Απρίλιος 1989: Κτηνώδης επίθεση της ΚΝΕ κατά Βορειοηπειρωτών, στην Ιατρική Σχολή Αθηνών, με καθοδηγητή τον Πολάκη. 🔴Μεγάλος αναβρασμός υπήρχε στις χώρες του «σοσιαλιστικού παραδείσου» το 1989, κι ήταν πλέον φανερό, ότι το τέλος του «Σιδηρού Παραπετάσματος» πλησιάζει. Η Αλβανία, χώρα πάμφτωχη και απομονωμένη ακόμα και από τις χώρες του σοβιετικού μπλοκ, ήταν ο πιο αδύναμος κρίκος και η προδοτική αριστερά στην Ελλάδα έτρεμε με την ιδέα της ανακίνησης του βορειοηπειρωτικού ζητήματος, μετά από την αναμενόμενη κατάρρευση του κομμουνισμού. 🔴Τον Απρίλη του 1989, ο Μητροπολίτης Κονίτσης Σεβαστιανός, γνωστός πανελληνίως και παγκοσμίως, για την μαχητική διεκδίκηση των δικαίων του Βορειοηπειρωτικού Ελληνισμού, αποφασίζει να πραγματοποιήσει εκδήλωση εθνικής αφύπνισης στην Αθήνα, με τίτλο: «Βόρειος Ήπειρος, ένα άλλο απαρτχάιντ». Ως χώρος της εκδήλωσης, επελέγη το Αμφιθέατρο της Ιατρικής Σχολής του Πανεπιστημίου Αθηνών. 🔴Μόλις ανακοινώθηκε η εκδήλωση, κινητοποιήθηκε η αριστερά για να την αποτρέψει! Οι απειλές και η τρομοκρατία, δεν έπιασαν τόπο. Έτσι, λίγο πριν την πραγματοποίηση της εκδήλωσης, εμφανίστηκαν «Τάγματα Εφόδου» της ΚΝΕ και των λεγόμενων «αναρχικών» (στην ουσία, πρόκειται για αριστεριστές...), αποτελούμενα από 250 άτομα, που ήταν οπλισμένα με ρόπαλα. Σύμφωνα με τα δημοσιεύματα της εποχής, αλλά καί τά φωτογραφικά ντοκουμέντα, ένας εκ των καθοδηγητών των τραμπούκων, ήταν ο Παύλος Πολάκης, φοιτητής τότε της Ιατρικής και στέλεχος της ΚΝΕ. 🔴Αρχικά, οι τραμπούκοι έκοψαν το ρεύμα στο αμφιθέατρο, για να ματαιωθεί η ομιλία του Ιεράρχη. Ωστόσο, οι διοργανωτές της εκδήλωσης είχαν προνοήσει κι έβαλαν σε λειτουργία μια γεννήτρια. Μόλις άρχισε η ομιλία, ομάδα τραμπούκων επιχείρησε εισβολή στην αίθουσα του αμφιθεάτρου, αλλά απωθήθηκε από την ομάδα περιφρούρησης. 🔴Λυσσασμένοι από την εξέλιξη, οι τραμπούκοι συγκεντρώθηκαν έξω από το αμφιθέατρο, κι άρχισαν να εκσφενδονίζουν πέτρες και άλλα αντικείμενα προς τα τζάμια του αμφιθεάτρου. Ο θλιβερός απολογισμός της δράσης των τραμπούκων, ήταν ένας σοβαρά τραυματίας, με βαριά κατάγματα στο κρανίο (ο φοιτητής Παναγιώτης Αντωνίου), κι άλλοι 19 φοιτητές, με ελαφρύτερα τραύματα. 🔴Διαβάζουμε σχετικά στην εφημερίδα «Βορειοηπειρωτικό Βήμα», τεύχος Απριλίου 1989: 🫟«ΚΤΗΝΩΔΗΣ ΕΠΙΘΕΣΗ ΤΗΣ ΚΝΕ κατά φοιτητών πού παρακολουθούσαν  ομιλία του κ. Σεβαστιανού στην Πανεπιστημιούπολη – είκοσι τραυματίες... Λίγο πριν τις 5 το απόγευμα, οι αναρχοαριστερές και οι κνίτικες ομάδες είχαν καταλάβει το προαύλιο της Ιατρικής Σχολής κι έβριζαν χυδαία όσους προσέρχονταν στην εκδήλωση, ενώ φώναζαν συνθήματα όπως “Τα αλβανικά σύνορα να φτάσουν στη Λαμία”, “θάνατος στους εθνικιστές”, “Σεβαστιανέ φασίστα” και άλλα παρεμφερή.Τούς συγκεκριμένους αναρχικούς κατεύθυνε κάποιος Κοσμιρίδης, ενώ τους Κνίτες το μέλος του ΔΣ του Συλλόγου Φοιτητών της Ιατρικής και της Πανσπουδαστικής Π. Πολάκης καί ο φοιτητής της οδοντιατρικής και μέλος της ΠΣΚ Μωραίτης. Ο Πολάκης  απηύθυνε “τελεσίγραφο” προς τους οργανωτές της εκδήλωσης “να τσακιστούν νά φύγουν, γιατί αλλιώς θα τους πετάξουν έξω με τις κλωτσιές”. Στο τέλος, ένας από τους υποκινητές, το μέλος της ΠΣΚ Πολάκης, συνέταξε με τα μέλη του ΔΣ του Συλλόγου που πρόσκεινται στην Πανσπουδαστική, κατάπτυστο κυριολεκτικά ψήφισμα, στο οποίο οι Βορειοηπειρώτες αποκαλούνται “φασίστες, που δεν δικαιούνται να μπαίνουν στο Πανεπιστήμιο και να κάνουν εκδηλώσεις»🫟 🔴Σε πείσμα των Πολάκηδων, σε σύντομο χρονικό διάστημα, άρχισαν να καταρρέουν το ένα μετά το άλλο, τα καθεστώτα των ηλεκτροφόρων συρματοπλεγμάτων και να αποδεικνύεται ότι ο «σοσιαλιστικός παράδεισος» ήταν μια κόλαση για τους λαούς. 🔴36 χρόνια μετά, στις χώρες που έζησαν την κόλαση, οι νοσταλγοί είναι ελάχιστοι. Στις υπόλοιπες ευρωπαϊκές χώρες, είναι λίγοι και γραφικοί. Στην Ελλάδα όμως, δεν είναι λίγοι. Βέβαια, δεν κυριαρχούν πολιτικά, αλλά ιδεολογικά και επηρεάζουν σημαντικά την πολιτική και κρίσιμους τομείς της κοινωνίας. Αυτή η ιδεολογική κηδεμονία της αριστεράς, πρέπει επιτέλους να τελειώσει, για να πάει η Ελλάδα μπροστά!~"
2044771502361317701,MsLouellaDeVil,2026-04-16T13:34:50+00:00,13,13,galex1908,2026-04-16T17:51:32+00:00,2026-04-17T00:04:52+00:00,373,1,2,,,galex1908|lidakis_manos|AgelisDimitris|ptableart|MenoEdo|hatz_patty|desevmoi|angelikitsakani|MariaDecokeke|nickthegreek5|paliakaravana59|xeniakan21|tasoskar11,"Βαξ ζούμε, φυλακή για να σε δούμε https://t.co/HBwfKNaJW5"
