account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
angelikitsakani,True,52,52,0,16,1.0,34,52,40,25,0.4808,AgelisDimitris,4,0.0769,11,11,3158,3849,130974,2012-01-13T21:02:45+02:00,True,False,False,el,82.98
46spiros,True,104,104,0,12,1.0,60,104,77,41,0.3942,AnAthenianToLDN,6,0.0577,68,50,1110,386,261141,2013-04-24T11:55:26+03:00,True,False,False,und,81.49
chrysib11,True,36,36,0,4,1.0,19,36,30,15,0.4167,K_Sav215,3,0.0833,9,6,3810,5552,464374,2014-02-18T00:30:27+02:00,True,False,False,und,80.83
nickthegreek5,True,145,145,0,10,1.0,55,145,94,45,0.3103,Mirsini1946041,6,0.0414,18,41,6391,2507,385211,2011-05-02T23:55:53+03:00,False,False,False,el,80.07
MasenkaMm230158,True,38,38,0,11,1.0,19,38,27,8,0.2105,AdonisGeorgiadi,3,0.0789,2,3,599,392,32732,2021-03-25T02:06:02+02:00,True,False,False,,77.7
paliakaravana59,True,70,70,0,0,1.0,58,70,61,10,0.1429,isaacrrr7,2,0.0286,8,21,1696,203,341934,2019-12-14T18:11:51+02:00,True,False,False,,77.43
Catps66,True,19,19,0,4,1.0,14,19,17,5,0.2632,ellada24,2,0.1053,1,1,1051,2643,31892,2022-02-26T11:26:03+02:00,True,False,False,en,72.5
ABCHeckles,True,13,13,0,1,1.0,11,13,12,6,0.4615,Curious_Ches,2,0.1538,0,2,5954,4329,205427,2012-11-16T21:25:29+02:00,True,False,False,el,72.21
PitSpencer,True,19,19,0,5,1.0,13,19,19,5,0.2632,dimitris7987,1,0.0526,0,1,965,1996,50912,2023-01-09T20:53:33+02:00,True,False,False,,70.72
Track11John,True,224,219,5,75,0.9777,143,219,78,123,0.5616,Briassulis,66,0.3014,43,44,885,734,193162,2022-04-29T21:44:29+03:00,True,False,False,el,70.66
Aaagiiisss,True,25,25,0,6,1.0,14,25,22,2,0.08,realMaalouf,3,0.12,7,0,712,1391,49379,2017-07-11T22:42:25+03:00,True,False,False,el,69.9
Loxagos_Mark,True,24,24,0,2,1.0,12,24,23,6,0.25,ellada24,2,0.0833,9,5,7001,7423,301622,2013-02-17T16:08:28+02:00,True,False,True,el,69.58
Fotinh5,True,6,6,0,1,1.0,3,6,5,5,0.8333,DvsDvs60195368,2,0.3333,1,1,3794,2942,62847,2021-10-21T19:55:21+03:00,True,False,False,,69.58
galex1908,True,15,15,0,0,1.0,12,15,14,2,0.1333,tomanifesto,2,0.1333,3,2,16225,17346,592099,2012-09-22T21:24:05+03:00,False,False,False,el,68.33
hatz_patty,True,55,52,3,18,0.9455,37,52,29,31,0.5962,sinakatsarou,6,0.1154,3,11,9017,6065,285652,2011-07-26T12:38:54+03:00,False,False,False,el,68.19
TheMadoula,True,14,14,0,2,1.0,8,14,14,6,0.4286,Rena_Rethymno,1,0.0714,0,7,3081,3671,64190,2010-03-10T17:51:56+02:00,False,False,False,,67.14
TsigkaEfi,True,9,9,0,0,1.0,6,9,8,4,0.4444,communakios,2,0.2222,2,1,1013,568,25882,2022-09-10T15:11:44+03:00,True,False,False,,66.39
madonnamaniac,True,12,12,0,1,1.0,12,12,12,0,0.0,lirouleo_,1,0.0833,2,2,3193,844,88330,2010-11-15T23:36:06+02:00,False,False,False,en,65.83
Fay82776914F,True,7,7,0,3,1.0,6,7,7,3,0.4286,Notorio_rbg,1,0.1429,2,1,1524,1419,49010,2016-09-12T22:28:45+03:00,True,False,False,el,65.36
giannMak,True,78,76,2,10,0.9744,28,76,55,29,0.3816,zneraida,4,0.0526,25,17,6812,6704,173949,2015-02-14T19:22:12+02:00,False,False,False,el,65.35
IK25818385,True,5,5,0,0,1.0,5,5,3,1,0.2,Wolfman45042900,3,0.6,14,0,1045,3296,10624,2021-03-02T13:36:20+02:00,True,False,False,el,65.25
sinakatsarou,True,37,36,1,9,0.973,19,36,31,14,0.3889,jazz_daz,3,0.0833,4,9,7703,1969,214445,2018-12-26T17:22:32+02:00,True,False,False,,64.47
silaserafim,True,14,14,0,2,1.0,11,14,14,0,0.0,RestIsPolitics,1,0.0714,0,0,40724,2207,449248,2010-10-30T13:05:09+03:00,False,False,False,en,64.46
vythos70,True,53,50,3,1,0.9434,41,50,42,14,0.28,AlexGavriilidis,2,0.04,16,14,10517,10473,390796,2020-11-30T17:40:38+02:00,True,False,False,el,62.62
GiotaPapapetrou,True,105,103,2,3,0.981,97,103,66,9,0.0874,enikos_gr,15,0.1456,15,15,4692,3427,457363,2021-01-15T01:08:56+02:00,True,False,False,,62.1
NonameTZ,True,6,6,0,2,1.0,1,6,5,3,0.5,zneraida,2,0.3333,3,5,478,585,19816,2011-05-19T22:37:26+03:00,False,False,False,en,62.08
Myrtilo01,True,8,8,0,0,1.0,6,8,6,1,0.125,WhiteHouse,2,0.25,0,0,305,338,19433,2011-06-22T23:17:59+03:00,False,False,False,en,61.88
chkls,True,8,8,0,4,1.0,6,8,7,1,0.125,giannis_kalyvas,2,0.25,2,0,1579,756,78080,2011-03-26T22:01:55+02:00,True,False,False,el,61.88
AndriotGreg,True,1,1,0,0,1.0,1,1,1,1,1.0,Agie2a,1,1.0,0,0,1271,1279,9361,2018-02-09T00:03:59+02:00,True,False,False,und,61.25
ChrisDarko39,True,1,1,0,0,1.0,1,1,1,1,1.0,Tiramolas_,1,1.0,1,0,3758,3934,15500,2011-05-11T12:14:11+03:00,False,False,False,el,61.25
pOURc3ero9j906K,True,1,1,0,0,1.0,1,1,1,1,1.0,GeorghyZhukov,1,1.0,0,0,3069,2302,5018,2021-08-11T13:13:52+03:00,True,False,False,,61.25
DonConsclavios,True,14,14,0,1,1.0,6,14,12,2,0.1429,n_palaiopanou,2,0.1429,3,9,302,817,6526,2023-07-03T17:57:03+03:00,True,False,True,el,61.07
aggelikiME25,True,26,25,1,3,0.9615,25,25,23,2,0.08,OTemPoRaOmOreS7,3,0.12,6,2,5546,1941,303694,2016-04-14T22:58:59+03:00,True,False,False,el,61.05
AgelisDimitris,True,81,72,9,18,0.8889,39,72,51,21,0.2917,Mirsini1946041,4,0.0556,10,17,2169,2274,188756,2020-04-23T17:22:09+03:00,True,False,False,,61.04
LitsaXarou,True,5,5,0,0,1.0,4,5,3,0,0.0,L3naRain,3,0.6,0,0,13010,12665,180673,2015-02-08T00:05:18+02:00,True,False,False,el,61.0
johnblandos,True,40,35,5,2,0.875,24,35,27,11,0.3143,ArisBJJ,2,0.0571,8,12,1950,2953,156490,2013-11-18T11:12:20+02:00,True,False,False,,60.91
BananaJoeReload,True,6,6,0,0,1.0,6,6,5,0,0.0,PGPavlos,2,0.3333,1,1,6511,7360,357893,2017-07-20T07:39:24+03:00,True,False,False,,60.83
Xeniaxe19580370,True,13,13,0,0,1.0,8,13,13,0,0.0,realMaalouf,1,0.0769,1,0,741,163,16430,2021-09-09T17:37:01+03:00,True,False,False,,60.77
CharilaosPapad1,True,5,5,0,2,1.0,2,5,5,2,0.4,silaserafim,1,0.2,0,0,358,385,12693,2021-12-05T18:41:01+02:00,True,False,False,el,60.5
LGkvas,True,12,12,0,0,1.0,2,12,11,5,0.4167,MsLouellaDeVil,2,0.1667,1,0,969,1364,8090,2017-02-27T22:55:17+02:00,True,False,False,und,60.42
teo_ntaleki,True,6,6,0,1,1.0,3,6,6,2,0.3333,somethingrand77,1,0.1667,2,0,701,1665,27224,2023-04-24T21:38:45+03:00,True,False,False,el,60.42
Anna_Moun,True,1,1,0,1,1.0,0,1,1,1,1.0,GeorghyZhukov,1,1.0,0,0,1434,1365,22304,2017-08-17T17:55:17+03:00,True,False,False,,60.0
Evitel_,True,1,1,0,0,1.0,0,1,1,1,1.0,failosK,1,1.0,0,0,2496,1278,49558,2011-02-23T23:38:38+02:00,False,False,True,el,60.0
Realism_47,True,1,1,0,0,1.0,0,1,1,1,1.0,GeorghyZhukov,1,1.0,0,0,1237,4248,20293,2021-02-10T17:34:20+02:00,True,False,False,el,60.0
ThanosKten,True,1,1,0,0,1.0,0,1,1,1,1.0,omadaalithias,1,1.0,0,0,674,636,6541,2025-01-03T10:30:51+02:00,True,False,True,el,60.0
Tina5996,True,1,1,0,0,1.0,0,1,1,1,1.0,nikglykos,1,1.0,0,0,159,186,12010,2022-06-25T00:38:40+03:00,True,False,False,de,60.0
moonshinegr,True,1,1,0,1,1.0,0,1,1,1,1.0,GeorghyZhukov,1,1.0,0,0,544,399,24518,2015-05-05T18:11:24+03:00,True,False,False,und,60.0
JtfYiannis,True,2,2,0,1,1.0,0,2,2,2,1.0,GeorghyZhukov,1,0.5,2,0,2383,3357,12378,2016-03-28T15:32:58+03:00,False,False,False,,55.0
G4Heron,True,16,15,1,3,0.9375,15,15,14,2,0.1333,TassosIoannides,2,0.1333,0,1,10219,6912,294388,2015-03-11T23:03:35+02:00,False,False,False,el,54.89
RockRock222555,True,72,51,21,32,0.7083,30,51,38,14,0.2745,GeorghyZhukov,4,0.0784,13,12,1734,1847,66987,2021-03-17T18:37:02+02:00,True,False,False,el,54.69
Briassulis,True,55,38,17,22,0.6909,21,38,27,10,0.2632,Briassulis,4,0.1053,14,19,1787,1146,266396,2021-01-14T10:36:35+02:00,True,False,False,el,54.18
greek_paris_13,True,17,16,1,7,0.9412,12,16,14,3,0.1875,manolisgiz,3,0.1875,5,3,6880,2864,147397,2011-10-17T02:12:07+03:00,False,False,False,el,52.63
K_Sav215,True,56,38,18,11,0.6786,31,38,31,6,0.1579,action24tv,4,0.1053,39,25,1149,1129,77849,2021-08-07T14:50:32+03:00,True,True,False,en,52.17
klikr,True,17,16,1,2,0.9412,13,16,14,1,0.0625,SkyNews,2,0.125,2,4,1098,1189,44612,2011-07-01T23:19:12+03:00,False,False,False,und,51.38
MKioulafa,True,11,10,1,4,0.9091,7,10,7,5,0.5,steiger_st28082,2,0.2,0,5,3280,4968,189210,2019-07-28T17:35:51+03:00,True,False,False,und,50.07
ptableart,True,4,4,0,0,1.0,4,4,4,2,0.5,isaacrrr7,1,0.25,0,0,359,207,15893,2024-07-04T13:32:09+03:00,True,False,False,,50.0
nilsholgerson_,True,3,3,0,1,1.0,1,3,3,2,0.6667,ThanosTzimeros,1,0.3333,0,0,4885,4524,29520,2013-08-04T23:50:47+03:00,True,False,False,el,49.58
VIVITV5,True,2,2,0,0,1.0,1,2,2,1,0.5,IamKostasT,1,0.5,0,0,2012,4243,25125,2018-05-15T19:11:14+03:00,True,False,False,el,48.75
MenoEdo,True,35,31,4,10,0.8857,10,31,31,10,0.3226,Aristerotsolis,1,0.0323,1,8,2684,2007,178462,2021-03-28T11:42:30+03:00,True,False,False,el,48.66
tasoskar11,True,3,3,0,0,1.0,0,3,3,2,0.6667,nikglykos,1,0.3333,1,0,221,313,2636,2011-01-25T13:59:27+02:00,False,False,False,qst,48.33
theatropoios,True,12,11,1,3,0.9167,11,11,10,0,0.0,ProtocolsWZion,2,0.1818,3,0,638,2099,23455,2024-01-11T19:39:49+02:00,True,False,False,en,47.65
JimyWis,True,3,3,0,0,1.0,3,3,3,1,0.3333,Ander_Bruckes,1,0.3333,0,0,656,1732,16172,2021-04-06T20:17:16+03:00,True,False,False,el,47.08
mpantazo,True,13,12,1,0,0.9231,4,12,12,7,0.5833,MirandaPrada_,1,0.0833,1,3,2453,1352,179295,2014-06-10T13:13:42+03:00,False,False,False,und,46.89
Anthology2026,True,19,15,4,0,0.7895,14,15,15,1,0.0667,rabbitholebot,1,0.0667,0,2,300,2396,244,2026-02-24T21:21:02+02:00,True,False,False,el,46.8
Agie2a,True,22,15,7,6,0.6818,8,15,9,10,0.6667,__darcelX__,4,0.2667,4,2,4423,3346,82467,2022-03-01T14:03:05+02:00,True,False,True,en,46.53
Asmoudis13,True,1,1,0,0,1.0,1,1,1,0,0.0,not_buford,1,1.0,3,0,51,563,2123,2025-05-04T12:59:56+03:00,True,False,False,,46.25
CMentat,True,1,1,0,0,1.0,1,1,1,0,0.0,iointelresearch,1,1.0,0,0,532,656,7087,2024-09-10T16:03:35+03:00,True,False,False,,46.25
DDeppied,True,1,1,0,0,1.0,1,1,1,0,0.0,CharaKara,1,1.0,0,0,3802,2897,30944,2017-12-01T15:34:59+02:00,True,False,False,und,46.25
DimitrisP69501,True,1,1,0,0,1.0,1,1,1,0,0.0,Johnnyhoston_2,1,1.0,0,0,40,240,825,2025-11-26T22:56:25+02:00,True,False,False,,46.25
FrankiKostas,True,1,1,0,0,1.0,1,1,1,0,0.0,AdonisGeorgiadi,1,1.0,0,0,2675,2327,55165,2015-03-20T00:34:43+02:00,True,False,False,,46.25
Kabamaru__n,True,1,1,0,1,1.0,1,1,1,0,0.0,Akiratos_,1,1.0,0,0,11,4,486,2024-03-05T12:14:39+02:00,True,False,False,,46.25
Konstan18155165,True,1,1,0,0,1.0,1,1,1,0,0.0,apablaze,1,1.0,1,0,35,193,528,2025-03-08T21:30:09+02:00,True,False,False,,46.25
Kostas18748292,True,1,1,0,0,1.0,1,1,1,0,0.0,GGoudaras,1,1.0,0,0,604,811,19558,2020-08-28T09:18:44+03:00,True,False,False,,46.25
Leniw_Lenia,True,1,1,0,0,1.0,1,1,1,0,0.0,andrikeloss,1,1.0,1,0,543,527,17354,2022-01-15T10:56:17+02:00,True,False,False,,46.25
NickDanny99,True,1,1,0,0,1.0,1,1,1,0,0.0,ilpresidenteh,1,1.0,0,0,1718,1209,17369,2014-09-28T21:04:20+03:00,False,False,False,en,46.25
PiraeusStef,True,1,1,0,0,1.0,1,1,1,0,0.0,mariavellou,1,1.0,0,0,2057,2281,39747,2011-05-04T08:40:02+03:00,False,False,False,,46.25
RGialama8386,True,1,1,0,1,1.0,1,1,1,0,0.0,tzon_t,1,1.0,0,0,92,381,1877,2025-05-08T23:35:58+03:00,True,False,False,art,46.25
agapornis_mask,True,1,1,0,0,1.0,1,1,1,0,0.0,tazmanolis,1,1.0,0,0,187,462,6707,2012-07-21T22:38:48+03:00,True,False,False,el,46.25
akrokentrwos_2,True,1,1,0,0,1.0,1,1,1,0,0.0,Haberler,1,1.0,0,0,15197,1575,47270,2019-11-01T23:36:15+02:00,True,False,False,el,46.25
bobidion,True,1,1,0,0,1.0,1,1,1,0,0.0,realMaalouf,1,1.0,0,0,5706,2890,51583,2011-11-18T21:03:54+02:00,False,False,False,en,46.25
bolltzmann,True,1,1,0,0,1.0,1,1,1,0,0.0,mpoumpivol2,1,1.0,0,0,13394,5155,37426,2014-01-17T17:25:16+02:00,False,False,True,,46.25
economi94461498,True,1,1,0,0,1.0,1,1,1,0,0.0,washington_EY,1,1.0,1,0,1353,327,225180,2019-12-15T14:25:21+02:00,True,False,False,,46.25
kokkoriss,True,1,1,0,0,1.0,1,1,1,0,0.0,AdonisGeorgiadi,1,1.0,0,0,601,2756,33185,2012-04-29T10:28:41+03:00,True,False,False,,46.25
le1li,True,1,1,0,0,1.0,1,1,1,0,0.0,voicenewsgr,1,1.0,0,0,756,932,6263,2011-10-11T15:02:38+03:00,False,False,False,el,46.25
matrixneo1979,True,1,1,0,0,1.0,1,1,1,0,0.0,BazingaGR,1,1.0,0,0,3271,1644,28912,2018-01-20T18:54:07+02:00,True,False,False,,46.25
papa_vaso,True,1,1,0,0,1.0,1,1,1,0,0.0,Eman_8282,1,1.0,0,0,1319,1352,25290,2015-03-11T13:58:20+02:00,False,False,False,und,46.25
xariszak2,True,3,3,0,0,1.0,2,3,3,1,0.3333,4thOfJuly365,1,0.3333,0,0,237,309,16294,2019-11-07T20:50:06+02:00,True,True,False,,45.83
ThanosTzimeros,True,22,16,6,7,0.7273,12,16,14,4,0.25,__darcelX__,2,0.125,2,0,68543,1701,41405,2011-10-30T12:20:05+02:00,True,False,False,el,45.46
Nogate_T,True,1,1,0,1,1.0,0,1,1,0,0.0,LeonardTroland,1,1.0,0,0,9021,5403,98844,2015-02-13T13:10:01+02:00,True,False,False,el,45.0
OratiosPoulos,True,1,1,0,0,1.0,0,1,1,0,0.0,panta_tif,1,1.0,0,0,4767,1233,55318,2021-07-31T12:59:25+03:00,True,False,False,el,45.0
TetraLogiki,True,1,1,0,0,1.0,0,1,1,0,0.0,AdonisGeorgiadi,1,1.0,0,0,3097,1811,30338,2018-12-07T10:33:13+02:00,True,False,False,el,45.0
communakios,True,1,1,0,0,1.0,0,1,1,0,0.0,eucopresident,1,1.0,0,1,4360,1119,52467,2021-12-22T16:43:22+02:00,True,False,False,el,45.0
kostasp194,True,1,1,0,0,1.0,0,1,1,0,0.0,Mirsini1946041,1,1.0,0,0,3521,4118,47786,2016-12-05T11:36:31+02:00,True,False,False,,45.0
loudovikos14os,True,1,1,0,0,1.0,0,1,1,0,0.0,FootyHumour,1,1.0,0,0,447,343,22227,2015-06-30T19:46:57+03:00,True,False,False,el,45.0
ScroogeKifissia,True,10,9,1,2,0.9,9,9,9,0,0.0,Left_Spear,1,0.1111,1,0,22583,21851,55002,2021-09-15T15:14:24+03:00,True,False,False,el,43.86
QuercusLg,True,4,4,0,1,1.0,3,4,3,0,0.0,giorgoschris2,2,0.5,2,0,1072,1190,141997,2022-07-18T12:10:29+03:00,True,False,False,el,43.75
phtochos1,True,2,1,1,0,0.5,1,1,1,1,1.0,Athanasiosfara1,1,1.0,0,0,11073,9207,144466,2022-04-11T16:18:56+03:00,True,False,False,el,43.75
Volcom40893832,True,3,3,0,0,1.0,1,3,2,0,0.0,AdonisGeorgiadi,2,0.6667,0,4,835,837,13001,2019-03-28T15:16:11+02:00,True,False,False,el,42.92
Anastasia7882,True,4,4,0,0,1.0,4,4,4,0,0.0,TodayinHistory,1,0.25,2,1,854,866,48650,2022-09-29T08:07:34+03:00,True,False,False,en,42.5
HouseElisabeth_,True,4,4,0,0,1.0,4,4,4,0,0.0,Cursed41926,1,0.25,2,0,488,1041,6145,2016-12-11T22:15:34+02:00,False,False,False,,42.5
margko73,True,4,4,0,0,1.0,4,4,4,0,0.0,tbickle1976,1,0.25,0,0,6166,1829,56266,2012-09-26T14:51:46+03:00,False,False,False,el,42.5
michael_exc,True,4,4,0,0,1.0,4,4,4,0,0.0,IRGCarabic,1,0.25,0,1,729,2077,11239,2013-10-27T13:08:54+02:00,False,False,False,und,42.5
hellaspecial,True,2,2,0,0,1.0,2,2,2,0,0.0,alyonapopova,1,0.5,2,0,5639,4361,162537,2018-08-03T17:18:19+03:00,True,False,True,el,42.5
