account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,coordination_score,analyst_label
angelikitsakani,52,52,0,16,1.0,34,52,40,25,0.4808,4,0.0769,11,11,3158,3849,130974,5206,1,0,0,61,23,107,5,35,15,82.98,
46spiros,104,104,0,12,1.0,60,104,77,41,0.3942,6,0.0577,68,50,1110,386,261141,4739,1,0,0,61,33,156,12,84,16,81.49,
chrysib11,36,36,0,4,1.0,19,36,30,15,0.4167,3,0.0833,9,6,3810,5552,464374,4440,1,0,0,61,19,77,12,40,10,80.83,
nickthegreek5,145,145,0,10,1.0,55,145,94,45,0.3103,6,0.0414,18,41,6391,2507,385211,5462,0,0,0,61,49,281,33,139,23,80.07,
MasenkaMm230158,38,38,0,11,1.0,19,38,27,8,0.2105,3,0.0789,2,3,599,392,32732,1847,1,0,0,61,17,45,4,21,6,77.7,
paliakaravana59,70,70,0,0,1.0,58,70,61,10,0.1429,2,0.0286,8,21,1696,203,341934,2314,1,0,0,61,11,38,7,22,9,77.43,
Catps66,19,19,0,4,1.0,14,19,17,5,0.2632,2,0.1053,1,1,1051,2643,31892,1509,1,0,0,61,5,13,0,3,5,72.5,
ABCHeckles,13,13,0,1,1.0,11,13,12,6,0.4615,2,0.1538,0,2,5954,4329,205427,4898,1,0,0,61,6,17,0,2,4,72.21,
PitSpencer,19,19,0,5,1.0,13,19,19,5,0.2632,1,0.0526,0,1,965,1996,50912,1192,1,0,0,61,11,29,3,7,5,70.72,
Track11John,224,219,5,75,0.9777,143,219,78,123,0.5616,66,0.3014,43,44,885,734,193162,1447,1,0,0,61,34,215,33,110,26,70.66,
Aaagiiisss,25,25,0,6,1.0,14,25,22,2,0.08,3,0.12,7,0,712,1391,49379,3200,1,0,0,61,9,20,0,10,4,69.9,
