account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
Track11John,nickthegreek5,23,0.0676,11,20
giannMak,nickthegreek5,18,0.0947,5,17
Track11John,giannMak,15,0.056,4,10
Briassulis,Track11John,13,0.0563,2,13
AgelisDimitris,nickthegreek5,13,0.073,1,9
RockRock222555,nickthegreek5,9,0.0549,1,8
hatz_patty,nickthegreek5,7,0.0464,3,7
AgelisDimitris,Track11John,6,0.0231,2,5
MasenkaMm230158,nickthegreek5,6,0.0351,2,5
nickthegreek5,paliakaravana59,6,0.0326,2,5
Briassulis,giannMak,6,0.0723,1,4
AgelisDimitris,giannMak,6,0.0571,0,5
RockRock222555,giannMak,6,0.069,0,4
RockRock222555,Track11John,5,0.0206,1,5
nickthegreek5,sinakatsarou,5,0.0301,1,5
chrysib11,giannMak,5,0.0658,0,2
AgelisDimitris,paliakaravana59,4,0.0449,1,3
MenoEdo,nickthegreek5,4,0.0253,1,2
chrysib11,nickthegreek5,4,0.0255,1,2
giannMak,sinakatsarou,4,0.046,1,3
nickthegreek5,vythos70,4,0.0247,1,3
46spiros,Track11John,4,0.0156,0,4
46spiros,giannMak,4,0.0392,0,2
Aaagiiisss,nickthegreek5,4,0.0245,0,4
MenoEdo,Track11John,4,0.0172,0,3
giannMak,hatz_patty,4,0.0541,0,3
johnblandos,nickthegreek5,4,0.026,0,0
Track11John,sinakatsarou,3,0.0123,3,3
AgelisDimitris,RockRock222555,3,0.0411,2,3
K_Sav215,Track11John,3,0.0132,2,3
Track11John,chrysib11,3,0.0129,2,3
Briassulis,johnblandos,3,0.0833,1,3
K_Sav215,giannMak,3,0.0411,1,3
MKioulafa,giannMak,3,0.0441,1,2
Track11John,hatz_patty,3,0.013,1,3
46spiros,nickthegreek5,3,0.0164,0,2
AgelisDimitris,vythos70,3,0.0455,0,3
DonConsclavios,Track11John,3,0.0132,0,3
giannMak,johnblandos,3,0.04,0,1
AgelisDimitris,Briassulis,2,0.0286,1,1
AgelisDimitris,MasenkaMm230158,2,0.0256,1,1
ArisBJJ,Track11John,2,0.0089,1,2
LGkvas,chrysib11,2,0.0909,1,1
MKioulafa,Track11John,2,0.0089,1,2
MenoEdo,sinakatsarou,2,0.0465,1,2
hatz_patty,sinakatsarou,2,0.0513,1,2
nickthegreek5,teo_ntaleki,2,0.0136,1,1
paliakaravana59,vythos70,2,0.0303,1,1
46spiros,AgelisDimitris,2,0.023,0,2
Aaagiiisss,Xeniaxe19580370,2,0.0588,0,2
Aaagiiisss,giannMak,2,0.0235,0,1
Agie2a,nilsholgerson_,2,0.2222,0,2
ArisBJJ,nickthegreek5,2,0.0134,0,2
Briassulis,K_Sav215,2,0.0571,0,2
Briassulis,nickthegreek5,2,0.012,0,2
CharilaosPapad1,nickthegreek5,2,0.0136,0,2
DonConsclavios,MasenkaMm230158,2,0.0465,0,2
DonConsclavios,nickthegreek5,2,0.013,0,2
JSweetGR,MasenkaMm230158,2,0.0556,0,2
JSweetGR,nickthegreek5,2,0.0136,0,1
K_Sav215,nickthegreek5,2,0.013,0,2
LGkvas,nickthegreek5,2,0.0134,0,1
MasenkaMm230158,Track11John,2,0.008,0,2
MenoEdo,angelikitsakani,2,0.0909,0,2
MenoEdo,hatz_patty,2,0.0667,0,1
RockRock222555,sinakatsarou,2,0.037,0,2
Track11John,johnblandos,2,0.0087,0,2
Track11John,paliakaravana59,2,0.0076,0,2
Xeniaxe19580370,nickthegreek5,2,0.0129,0,1
Xeniaxe19580370,paliakaravana59,2,0.0351,0,1
chrysib11,hatz_patty,2,0.069,0,2
