account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
46spiros,True,42,42,0,5,1.0,41,42,35,15,0.3571,AnAthenianToLDN,4,0.0952,5,24,1110,386,261141,2013-04-24T11:55:26+03:00,True,False,False,und,81.31
nickthegreek5,True,144,144,0,10,1.0,80,144,93,38,0.2639,Mirsini1946041,6,0.0417,18,40,6391,2507,385211,2011-05-02T23:55:53+03:00,False,False,False,el,79.38
MasenkaMm230158,True,33,33,0,11,1.0,27,33,25,7,0.2121,AdonisGeorgiadi,3,0.0909,2,3,599,392,32732,2021-03-25T02:06:02+02:00,True,False,False,,79.09
paliakaravana59,True,46,46,0,0,1.0,38,46,42,8,0.1739,AnAthenianToLDN,2,0.0435,6,12,1696,203,341934,2019-12-14T18:11:51+02:00,True,False,False,,78.04
Aaagiiisss,True,23,23,0,5,1.0,17,23,20,1,0.0435,realMaalouf,3,0.1304,7,0,712,1391,49379,2017-07-11T22:42:25+03:00,True,False,False,el,73.21
chrysib11,True,17,17,0,2,1.0,10,17,13,8,0.4706,K_Sav215,3,0.1765,0,4,3810,5552,464374,2014-02-18T00:30:27+02:00,True,False,False,und,71.32
Track11John,True,224,219,5,75,0.9777,181,219,78,121,0.5525,Briassulis,66,0.3014,43,44,885,734,193162,2022-04-29T21:44:29+03:00,True,False,False,el,70.52
Xeniaxe19580370,True,13,13,0,0,1.0,12,13,13,0,0.0,realMaalouf,1,0.0769,1,0,741,163,16430,2021-09-09T17:37:01+03:00,True,False,False,,65.77
giannMak,True,66,64,2,9,0.9697,31,64,49,22,0.3438,jazz_daz,3,0.0469,15,8,6812,6704,173949,2015-02-14T19:22:12+02:00,False,False,False,el,64.57
G4Heron,True,8,8,0,2,1.0,8,8,8,1,0.125,FanakidiF,1,0.125,0,0,10219,6912,294388,2015-03-11T23:03:35+02:00,False,False,False,el,63.12
