token,display_token,count,unique_account_count,sample_accounts
μυλωνακησ,Μυλωνακης,14,11,46spiros|AgelisDimitris|Briassulis|GiotaPapapetrou|K_Sav215|MenoEdo|Track11John|angelikitsakani|giannMak|nickthegreek5
action24,Action24,12,8,46spiros|Briassulis|K_Sav215|Track11John|angelikitsakani|giannMak|johnblandos|nickthegreek5
μυλωνακη,Μυλωνακη,11,8,MasenkaMm230158|RockRock222555|angelikitsakani|giannMak|nickthegreek5|paliakaravana59|sinakatsarou|teo_ntaleki
pisoapotisgrammes,PisoApoTisGrammes,9,6,Briassulis|K_Sav215|angelikitsakani|giannMak|johnblandos|nickthegreek5
βαξεβανη,Βαξεβανη,8,6,MasenkaMm230158|RockRock222555|giannMak|nickthegreek5|sinakatsarou|teo_ntaleki
survivorgr,survivorGR,5,1,Greekprn
λαζαριδησ,Λαζαρίδης,5,4,IK25818385|Tiramolas_|giannMak|nickthegreek5
οπεκεπε,ΟΠΕΚΕΠΕ,5,4,IK25818385|K_Sav215|Track11John|giannMak
αντηχεσ_σκεψεισ,αντηχες_σκεψεις,4,1,MoudilosV
καρυστιανου,καρυστιανού,4,4,RockRock222555|Track11John|giannMak|nickthegreek5
epomenimera,EpomeniMera,3,3,46spiros|Briassulis|Track11John
greece,Greece,3,3,Aaagiiisss|Track11John|nickthegreek5
paokbc,PAOKBC,3,2,DonConsclavios|HouseElisabeth_
ισραηλ,Ισραηλ,3,3,46spiros|AgelisDimitris|Track11John
aekbc,aekbc,2,2,K_Sav215|aekzurich21
annavissi,ANNAVISSI,2,1,foivos_trikkis_
f16v,F16V,2,2,Mrpresidentgr|greek_paris_13
greecemfa,GreeceMFA,2,2,Track11John|nickthegreek5
haf,HAF,2,2,Mrpresidentgr|greek_paris_13
harrytheoharis,HarryTheoharis,2,2,Track11John|nickthegreek5
neadimokratia,NeaDimokratia,2,2,Track11John|nickthegreek5
notia,Notia,2,2,Track11John|nickthegreek5
turkey,Turkey,2,1,Track11John
vannacci,Vannacci,2,2,Xeniaxe19580370|paliakaravana59
δημοσκοπησεισ,Δημοσκοπήσεις,2,2,nickthegreek5|vythos70
δντ,ΔΝΤ,2,2,Briassulis|K_Sav215
ελλαδα,ελλαδα,2,1,Track11John
ενεργεια,ενεργεια,2,1,Track11John
θεσσαλονικησ,Θεσσαλονίκης,2,2,Fotinh5|sinakatsarou
λατινοπουλου,Λατινοπούλου,2,1,IK25818385
νδ,ΝΔ,2,2,Track11John|nickthegreek5
πολιτικη,Πολιτική,2,1,K_Sav215
animalprotection,animalprotection,1,1,vythos70
animalrights,animalrights,1,1,vythos70
animals,animals,1,1,vythos70
animalwelfare,animalwelfare,1,1,vythos70
apokalypseis,apokalypseis,1,1,IK25818385
aris,aris,1,1,HouseElisabeth_
basketballcl,basketballcl,1,1,aekzurich21
bayrma,BAYRMA,1,1,panagitsma78169
bbc,BBC,1,1,Track11John
beleris,beleris,1,1,Track11John
blackops,BlackOps,1,1,Track11John
bloomberg,Bloomberg,1,1,Track11John
coadf,COADF,1,1,madonnamaniac
coadf2,COADF2,1,1,madonnamaniac
compassion,compassion,1,1,vythos70
cyprus,Cyprus,1,1,paliakaravana59
desert_diary,Desert_Diary,1,1,Track11John
digitalerkontrollstaat,DigitalerKontrollstaat,1,1,frel_elias
empathy,empathy,1,1,vythos70
eppgroup,eppgroup,1,1,Track11John
eu,EU,1,1,Track11John
eu_diktatur,EU_Diktatur,1,1,frel_elias
eudigitalidentitywallet,EUDigitalIdentityWallet,1,1,frel_elias
europarl,europarl,1,1,Track11John
fisheries,Fisheries,1,1,Track11John
greek,Greek,1,1,Aaagiiisss
hellas,Hellas,1,1,Aaagiiisss
hellenicairforce,HellenicAirForce,1,1,46spiros
iefimerida,iefimerida,1,1,Briassulis
isis,ISIS,1,1,Track11John
kindness,kindness,1,1,vythos70
masterchefgr,MasterChefGR,1,1,MariaKagia4603
megalivenews,megalivenews,1,1,IK25818385
neademokratia,neademokratia,1,1,Track11John
nyxtaapokalypseon,nyxtaapokalypseon,1,1,aggelikiME25
oaka,OAKA,1,1,foivos_trikkis_
oknewsgr,OkNewsGr,1,1,K_Sav215
orthodox,Orthodox,1,1,Aaagiiisss
orwell2026,Orwell2026,1,1,frel_elias
paoac,paoac,1,1,Abovelaw13
paobc,paobc,1,1,Abovelaw13
paowbc,paowbc,1,1,Abovelaw13
pech,pech,1,1,Track11John
respectanimals,respectanimals,1,1,vythos70
revolution,Revolution,1,1,Aaagiiisss
stoiximangbl,StoiximanGBL,1,1,DonConsclavios
straydogs,straydogs,1,1,vythos70
tertsetis,Tertsetis,1,1,Aaagiiisss
thedevilwearsprada2ph,TheDevilWearsPrada2PH,1,1,AgelisDimitris
thriassiogr,thriassiogr,1,1,K_Sav215
toprwino,toprwino,1,1,IK25818385
troodos,Troodos,1,1,paliakaravana59
turkiye,Turkiye,1,1,Track11John
ucl,UCL,1,1,AnAthenianToLDN
voiceforthevoiceless,voiceforthevoiceless,1,1,vythos70
zakynthos,Zakynthos,1,1,Aaagiiisss
αγρο,Αγρό,1,1,paliakaravana59
αδωνισγεωργιαδησ,ΆδωνιςΓεωργιάδης,1,1,K_Sav215
αεπ,αεπ,1,1,K_Sav215
