token,display_token,count,unique_account_count,sample_accounts
dimitrissavvid4,DimitrisSavvid4,23,14,AgelisDimitris|ArisBJJ|Briassulis|DonConsclavios|MenoEdo|RockRock222555|Tiramolas_|Track11John|angelikitsakani|g_m_theo
kostasvaxevanis,KostasVaxevanis,14,9,46spiros|Briassulis|DonConsclavios|MasenkaMm230158|Track11John|giannMak|hatz_patty|johnblandos|nickthegreek5
georgemilon,georgemilon,13,8,Briassulis|K_Sav215|MKioulafa|MenoEdo|Track11John|giannMak|nickthegreek5|sinakatsarou
elenikalogerop2,elenikalogerop2,11,7,Briassulis|DonConsclavios|K_Sav215|angelikitsakani|giannMak|johnblandos|nickthegreek5
georgepierros,GeorgePierros,11,7,Briassulis|DonConsclavios|K_Sav215|angelikitsakani|giannMak|johnblandos|nickthegreek5
kmitsotakis,kmitsotakis,10,7,46spiros|Briassulis|DonConsclavios|MasenkaMm230158|Track11John|hatz_patty|nickthegreek5
dimitris_takis,dimitris_takis,9,6,Briassulis|K_Sav215|angelikitsakani|giannMak|johnblandos|nickthegreek5
manosniflis,ManosNiflis,6,1,46spiros
npapathanasis,npapathanasis,6,6,46spiros|DonConsclavios|MasenkaMm230158|Track11John|hatz_patty|nickthegreek5
cnbckaren,cnbcKaren,4,2,K_Sav215|Track11John
n_palaiopanou,n_palaiopanou,4,4,HFirstpriest|christoskostaki|maus_miny|myga_tse
squawkboxeurope,SquawkBoxEurope,4,2,K_Sav215|Track11John
thanosplevris,thanosplevris,4,2,Briassulis|Track11John
varoufakis_gr,varoufakis_gr,4,1,sinakatsarou
axel_triplo,AxeL_TripLo,3,3,MenoEdo|nickthegreek5|paliakaravana59
its_the_dr,its_The_Dr,3,1,paliakaravana59
juadn1,JUADN1,3,3,Track11John|giannMak|nickthegreek5
mirsini1946041,Mirsini1946041,3,3,Track11John|chrysib11|paliakaravana59
serkot65,serkot65,3,3,46spiros|Briassulis|Track11John
szacharos,SZacharos,3,3,chrysib11|johnblandos|nickthegreek5
action24tv,action24tv,2,2,DonConsclavios|K_Sav215
adonisgeorgiadi,AdonisGeorgiadi,2,2,Track11John|nickthegreek5
chris_avramidis,chris_avramidis,2,1,Track11John
chrisochoidis,chrisochoidis,2,2,EAdamopoulou|Track11John
dtakis,dtakis,2,2,DonConsclavios|K_Sav215
georgefloras,georgefloras,2,1,AgelisDimitris
hafspokesperson,HAFspokesperson,2,2,46spiros|nickthegreek5
hellenicpolice,hellenicpolice,2,1,46spiros
imtiazmadmood,ImtiazMadmood,2,1,nickthegreek5
jhnystraka,JhnyStraka,2,1,Track11John
linconosiris2,LinconOsiris2,2,1,MKioulafa
margschinas,MargSchinas,2,1,Track11John
mkioulafa,MKioulafa,2,1,MKioulafa
mossadil,MOSSADil,2,2,46spiros|nickthegreek5
nasoskook,nasoskook,2,2,chrysib11|nickthegreek5
nickthegreek5,nickthegreek5,2,1,nickthegreek5
nicos1270647,Nicos1270647,2,1,paliakaravana59
primeministergr,PrimeministerGR,2,2,Briassulis|GP_74_
rena73sv,rena73sv,2,2,RockRock222555|nickthegreek5
rothmus,Rothmus,2,1,klikr
sfamellos,SFamellos,2,2,Track11John|paliakaravana59
tazmanolis,tazmanolis,2,1,46spiros
tzertzis,tzertzis,2,1,Track11John
a_loverdos,a_loverdos,1,1,nickthegreek5
abdbozkurt,abdbozkurt,1,1,Track11John
amnesty,amnesty,1,1,RockRock222555
arisbcgr,ARISBCgr,1,1,DonConsclavios
capitalofficial,CapitalOfficial,1,1,madonnamaniac
christoskostaki,christoskostaki,1,1,n_palaiopanou
dina_dina_g,dina_dina_g,1,1,ZbejVty
eliafriatisr,EliAfriatISR,1,1,nickthegreek5
ertnewsofficial,ertnewsofficial,1,1,nickthegreek5
failosk,failosK,1,1,Track11John
flapsani,FLapsani,1,1,sinakatsarou
giannis12a,giannis12a,1,1,ZbejVty
giorgossahinis,GiorgosSahinis,1,1,Track11John
glinner,Glinner,1,1,paliakaravana59
greeceintelaviv,GreeceInTelAviv,1,1,46spiros
greek_paris_13,greek_paris_13,1,1,46spiros
gsiadimas,GSiadimas,1,1,nickthegreek5
hungarybased,HungaryBased,1,1,nickthegreek5
israelingreece,IsraelinGreece,1,1,46spiros
israelipm,IsraeliPM,1,1,46spiros
israelmfa,IsraelMFA,1,1,46spiros
jk_rowling,jk_rowling,1,1,paliakaravana59
karditsastakra,Karditsastakra,1,1,Track11John
klara_sjo,klara_sjo,1,1,vythos70
kozari_memi,kozari_memi,1,1,nickthegreek5
leonardtroland,LeonardTroland,1,1,nickthegreek5
lotplairlines,LOTPLAirlines,1,1,JSweetGR
m_mantouna,m_mantouna,1,1,MenoEdo
maariaris,maariaris,1,1,Mrpresidentgr
makishellas1,MakisHellas1,1,1,46spiros
mariadecokeke,MariaDecokeke,1,1,sinakatsarou
maus_miny,maus_miny,1,1,n_palaiopanou
megatvofficial,MegaTvOfficial,1,1,giannMak
michaelmthess,MichaelMthess,1,1,ZbejVty
mslouelladevil,MsLouellaDeVil,1,1,nickthegreek5
mvlazaridis,mvlazaridis,1,1,nickthegreek5
neademokratia,neademokratia,1,1,angelikitsakani
nesgrego,nesgrego,1,1,Track11John
newleftgr,NewLeftGR,1,1,46spiros
niallharbison,NiallHarbison,1,1,JSweetGR
nihatuzman1,NihatUzman1,1,1,MenoEdo
nordicmonitor,nordicmonitor,1,1,Track11John
nyrros,Nyrros,1,1,Track11John
okanismetalogo,okanismetalogo,1,1,chrysib11
ouinston,Ouinston,1,1,Track11John
pasok,pasok,1,1,angelikitsakani
quercuslg,QuercusLg,1,1,klikr
rxrqdegogik2z9p,RXRqdEgogik2Z9P,1,1,AgelisDimitris
shangguanjiewen,ShangguanJiewen,1,1,michael_exc
sharrond62,sharrond62,1,1,paliakaravana59
stevedeaceshow,SteveDeaceShow,1,1,johnblandos
tinamess,TinaMess,1,1,nickthegreek5
us_sradvisoraf,US_SrAdvisorAF,1,1,46spiros
zneraida,zneraida,1,1,paliakaravana59
