account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,default_profile,default_profile_image,is_blue_verified,coordination_score,analyst_label
46spiros,42,42,0,5,1.0,41,42,35,15,0.3571,4,0.0952,5,24,1110,386,261141,1,0,0,81.31,
nickthegreek5,144,144,0,10,1.0,80,144,93,38,0.2639,6,0.0417,18,40,6391,2507,385211,0,0,0,79.38,
MasenkaMm230158,33,33,0,11,1.0,27,33,25,7,0.2121,3,0.0909,2,3,599,392,32732,1,0,0,79.09,
paliakaravana59,46,46,0,0,1.0,38,46,42,8,0.1739,2,0.0435,6,12,1696,203,341934,1,0,0,78.04,
Aaagiiisss,23,23,0,5,1.0,17,23,20,1,0.0435,3,0.1304,7,0,712,1391,49379,1,0,0,73.21,
chrysib11,17,17,0,2,1.0,10,17,13,8,0.4706,3,0.1765,0,4,3810,5552,464374,1,0,0,71.32,
Track11John,224,219,5,75,0.9777,181,219,78,121,0.5525,66,0.3014,43,44,885,734,193162,1,0,0,70.52,
Xeniaxe19580370,13,13,0,0,1.0,12,13,13,0,0.0,1,0.0769,1,0,741,163,16430,1,0,0,65.77,
giannMak,66,64,2,9,0.9697,31,64,49,22,0.3438,3,0.0469,15,8,6812,6704,173949,0,0,0,64.57,
G4Heron,8,8,0,2,1.0,8,8,8,1,0.125,1,0.125,0,0,10219,6912,294388,0,0,0,63.12,
teo_ntaleki,5,5,0,1,1.0,4,5,5,2,0.4,1,0.2,2,0,701,1665,27224,1,0,0,63.0,
LGkvas,7,7,0,0,1.0,4,7,7,3,0.4286,1,0.1429,0,0,969,1364,8090,1,0,0,62.86,
CharilaosPapad1,5,5,0,2,1.0,3,5,5,2,0.4,1,0.2,0,0,358,385,12693,1,0,0,61.75,
angelikitsakani,6,6,0,1,1.0,2,6,6,3,0.5,1,0.1667,4,6,3158,3849,130974,1,0,0,61.67,
AgelisDimitris,51,47,4,9,0.9216,36,47,36,11,0.234,4,0.0851,6,6,2169,2274,188756,1,0,0,61.62,
vythos70,23,22,1,0,0.9565,19,22,20,5,0.2273,2,0.0909,12,1,10517,10473,390796,1,0,0,61.55,
Evitel_,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,2496,1278,49558,0,0,1,61.25,
Realism_47,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,1237,4248,20293,1,0,0,61.25,
ThanosKten,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,674,636,6541,1,0,1,61.25,
moonshinegr,1,1,0,1,1.0,1,1,1,1,1.0,1,1.0,0,0,544,399,24518,1,0,0,61.25,
sinakatsarou,28,27,1,8,0.9643,17,27,23,8,0.2963,3,0.1111,3,7,7703,1969,214445,1,0,0,60.56,
DonConsclavios,12,12,0,0,1.0,6,12,11,1,0.0833,2,0.1667,3,9,302,817,6526,1,0,1,60.42,
madonnamaniac,7,7,0,0,1.0,7,7,7,0,0.0,1,0.1429,2,1,3193,844,88330,0,0,0,60.18,
NodarasSpiros,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,8696,2447,191042,1,0,0,60.0,
Tina5996,1,1,0,0,1.0,0,1,1,1,1.0,1,1.0,0,0,159,186,12010,1,0,0,60.0,
RockRock222555,35,29,6,13,0.8286,25,29,24,9,0.3103,3,0.1034,9,4,1734,1847,66987,1,0,0,59.69,
Briassulis,36,25,11,13,0.6944,21,25,19,7,0.28,2,0.08,10,10,1787,1146,266396,1,0,0,54.3,
johnblandos,16,14,2,0,0.875,14,14,12,3,0.2143,2,0.1429,4,9,1950,2953,156490,1,0,0,52.77,
hatz_patty,16,14,2,5,0.875,11,14,10,6,0.4286,2,0.1429,0,4,9017,6065,285652,0,0,0,52.23,
ZbejVty,3,3,0,0,1.0,2,3,3,2,0.6667,1,0.3333,0,3,4007,4985,151427,1,0,0,50.83,
aggelikiME25,14,13,1,2,0.9286,13,13,13,1,0.0769,1,0.0769,2,0,5546,1941,303694,1,0,0,50.67,
Fotinh5,2,2,0,0,1.0,2,2,2,1,0.5,1,0.5,1,0,3794,2942,62847,1,0,0,50.0,
nilsholgerson_,3,3,0,1,1.0,1,3,3,2,0.6667,1,0.3333,0,0,4885,4524,29520,1,0,0,49.58,
IK25818385,4,4,0,0,1.0,4,4,3,1,0.25,2,0.5,9,0,1045,3296,10624,1,0,0,48.75,
xariszak2,2,2,0,0,1.0,1,2,2,1,0.5,1,0.5,0,0,237,309,16294,1,1,0,48.75,
Agie2a,12,8,4,3,0.6667,6,8,5,6,0.75,4,0.5,0,0,4423,3346,82467,1,0,1,47.08,
