account_handle,component_id,component_size,neighbor_count,weighted_degree,within_15m_weight,within_60m_weight,strongest_neighbor,max_shared_edge
nickthegreek5,1,26,23,128,30,103,Track11John,23
Track11John,1,26,17,95,30,85,nickthegreek5,23
giannMak,1,26,13,79,13,57,nickthegreek5,18
AgelisDimitris,1,26,9,41,8,32,nickthegreek5,13
Briassulis,1,26,6,28,5,25,Track11John,13
RockRock222555,1,26,5,25,4,22,nickthegreek5,9
hatz_patty,1,26,6,20,5,18,nickthegreek5,7
sinakatsarou,1,26,6,18,7,17,nickthegreek5,5
chrysib11,1,26,5,16,4,10,giannMak,5
paliakaravana59,1,26,5,16,4,12,nickthegreek5,6
MasenkaMm230158,1,26,5,14,3,12,nickthegreek5,6
MenoEdo,1,26,5,14,2,10,nickthegreek5,4
46spiros,1,26,4,13,0,10,giannMak,4
johnblandos,1,26,4,12,1,6,nickthegreek5,4
K_Sav215,1,26,4,10,3,10,giannMak,3
vythos70,1,26,3,9,2,7,nickthegreek5,4
Aaagiiisss,1,26,3,8,0,7,nickthegreek5,4
DonConsclavios,1,26,3,7,0,7,Track11John,3
Xeniaxe19580370,1,26,3,6,0,4,paliakaravana59,2
MKioulafa,1,26,2,5,2,4,giannMak,3
ArisBJJ,1,26,2,4,1,4,nickthegreek5,2
JSweetGR,1,26,2,4,0,3,nickthegreek5,2
LGkvas,1,26,2,4,1,2,nickthegreek5,2
CharilaosPapad1,1,26,1,2,0,2,nickthegreek5,2
angelikitsakani,1,26,1,2,0,2,MenoEdo,2
teo_ntaleki,1,26,1,2,1,1,nickthegreek5,2
Agie2a,2,2,1,2,0,2,nilsholgerson_,2
nilsholgerson_,2,2,1,2,0,2,Agie2a,2
