original_tweet_id,original_author_handle,original_created_at,retweet_count,unique_retweeter_count,first_retweeter,first_retweet_at,last_retweet_at,span_minutes,retweets_within_15m,retweets_within_60m,hashtags,mentions,retweeters,sample_text
2044516965587554627,AdonisGeorgiadi,2026-04-15T20:43:24+00:00,7,7,hatz_patty,2026-04-15T20:48:54+00:00,2026-04-15T21:48:51+00:00,59,3,7,,,hatz_patty|K_Sav215|Track11John|nickthegreek5|chrysib11|giannMak|tasoskar11,Γεωργιάδης: Η ευρωπαία εισαγγελέας Πόπη Παπανδρέου έφερε τις δικογραφίες για τον ΟΠΕΚΕΠΕ για να εκβιάσει ανανέωση της θητείας της https://t.co/bxMhK7O7BT
2044511682941091854,action24tv,2026-04-15T20:22:25+00:00,6,6,johnblandos,2026-04-15T20:29:05+00:00,2026-04-15T22:48:28+00:00,139,1,3,pisoapotisgrammes|action24,georgepierros|elenikalogerop2|dimitris_takis,johnblandos|K_Sav215|Briassulis|giannMak|nickthegreek5|angelikitsakani,🔵Ξέσπασμα Γεωργιάδη κατά Ανδρουλάκη: «Τι είχε πια σε αυτό το τηλέφωνο και έχει τρελαθεί;! - Θα κυβερνήσει με κλάψα;»  #PisoApoTisGrammes με τους @GeorgePierros @elenikalogerop2 και @dimitris_takis στο #Action24 https://t.co/gULJPze2IV
1640334999785201669,AdonisGeorgiadi,2023-03-27T12:48:34+00:00,6,6,46spiros,2026-04-15T20:50:59+00:00,2026-04-15T22:05:33+00:00,74,1,5,,kostasvaxevanis|npapathanasis|kmitsotakis,46spiros|Track11John|nickthegreek5|hatz_patty|DonConsclavios|MasenkaMm230158,"Ο @KostasVaxevanis έγινε χθες για μία ακόμη φορά ρεζίλι. Ξεκίνησε γράφοντας ότι έκαναν στον @npapathanasis -97% κούρεμα χρέους, μετά το άλλαξε ότι εννοούσε κάτι «σαν κούρεμα» και τώρα «κούρεμα των εγγυήσεων»…στην πραγματικότητα ο άνθρωπος αυτός ποτέ δεν είχε το θάρρος απλώς να πει ότι έκανε λάθος. Άλλωστε δεν έκανε, επίτηδες έγραψε ψέματα για πολιτικούς λόγους. Τώρα νομίζει ότι δύναται να εκφοβίσει εμένα…δεν τον φοβήθηκα όταν πήγε να με κλείσει Φυλακή με ψέματα για τη Novartis, θα τον φοβηθώ τώρα; Θα του προτείνω όμως μία συμφωνία, θα γράψει ένα άρθρο, έστω ένα, για τα χρέη ενός βουλευτού ή ευρωβουλευτού του Σύριζα και μετά θα του απαντήσω σε ό,τι θέλει για τα δικά μου…δεν θα το κάνει ποτέ διότι δεν είναι αντικειμενικός ούτε τον νοιάζουν τα χρέη, τον νοιάζει μόνον να πέσει ο @kmitsotakis Κώστα μου να θυμάσαι εγώ Δεν σε φοβάμαι! Δεν με κρατάς από πουθενά και δεν σε υπολογίζω ως δημοσιογράφο αλλά απλά ως έναν ακόμη πολιτικό μου αντίπαλο. Bullying αλλού όχι σε μένα και κάτω τα χέρια από τον Νίκο δεν μπορείς εσύ να τον λερώσεις https://t.co/IzSEMp3i5c"
2044452115427266781,dimitris7987,2026-04-15T16:25:43+00:00,5,5,chrysib11,2026-04-15T20:31:49+00:00,2026-04-15T22:47:05+00:00,135,1,3,,,chrysib11|g_m_theo|nickthegreek5|CharilaosPapad1|MenoEdo,"Αφηνιάζουν οι αριστεροί, κατόπιν έξώθεν εντολών. https://t.co/KhGLqSS1gW"
2044504116433490154,omadaalithias,2026-04-15T19:52:21+00:00,5,5,hatz_patty,2026-04-15T20:33:23+00:00,2026-04-15T21:26:58+00:00,53,1,5,,,hatz_patty|Track11John|giannMak|MKioulafa|nickthegreek5,Τουλάχιστον δεν χάνουν το χιούμορ τους https://t.co/AMqnptRPs6
2044427278302474414,AdonisGeorgiadi,2026-04-15T14:47:01+00:00,5,5,MasenkaMm230158,2026-04-15T20:39:58+00:00,2026-04-15T22:09:49+00:00,89,1,3,,,MasenkaMm230158|nickthegreek5|Track11John|AgelisDimitris|paliakaravana59,"Έχετε διαβάσει γελοιοδέστερο σχόλιο για έναν νέο άνθρωπο και πατέρα, που αυτή την στιγμή που μιλάμε δίνει μάχη για την ζωή του; Άνθρωποι σαν κι αυτόν όλη μέρα μας κατακρίνουν για την ηθική μας συγκρότηση και έχουν τόσο μαύρη ψυχή στην πραγματικότητα. Δεν έχω πραγματικά να πω τίποτε άλλο απλά ντροπή"
2044492218879103216,pavlmarin,2026-04-15T19:05:04+00:00,5,5,Briassulis,2026-04-15T20:43:21+00:00,2026-04-15T21:36:57+00:00,53,1,5,,georgemilon,Briassulis|Track11John|giannMak|K_Sav215|MKioulafa,"Σήμερα ο χρόνος πάγωσε λίγο πριν τις 09:00 το πρωί. Όχι μόνο για εμάς τους συνεργάτες του @georgemilon, αλλά κυρίως για τη σύζυγο, τα παιδιά του και τους δικούς του ανθρώπους. https://t.co/ATyFUBbqjT"
2044482287140569345,Aristerotsolis,2026-04-15T18:25:36+00:00,5,5,46spiros,2026-04-15T20:48:17+00:00,2026-04-15T21:20:02+00:00,31,2,5,,,46spiros|sinakatsarou|giannMak|MenoEdo|nickthegreek5,"Η Κυβέρνηση γράφει στα @@ της τα γκαρίσματα του Πασοκ για το πτυχίο Λαζαρίδη και συνεχίζει να κάνει δουλίτσα! ✌️ Κι όπως λέει κι ο Καρανίκας: Άχρηστη και ανίκανη αντιπολίτευση, αντί να ασχολείται με τα πρωτεύοντα, ασχολείται με το αν έχει πτυχίο ο Λαζαρίδης! 😁 https://t.co/kjcg0FerNO"
2044502814211125446,GGoudaras,2026-04-15T19:47:10+00:00,5,5,vythos70,2026-04-15T20:59:59+00:00,2026-04-15T21:41:31+00:00,41,3,5,,,vythos70|LGkvas|chrysib11|MariaKagia4603|giannMak,"Ο Άκης Καραμπουρούνης για 6 χρόνια ξεκινούσε με καΐκι από τον Κάλαμο,ένα μικρό νησί του Ιονίου,σε 45´ έφτανε στον Μύτικα Αιτωλοακαρνανίας &amp; από εκεί πεζός σε 15´ έφτανε στο σχολείο. Ο Άκης πήρε υποτροφία για πανεπιστημιακές σπουδές ως αριστούχος μαθητής μικρών νησιών.  ΠΡΟΤΥΠΟ ✨ https://t.co/BM36ipTfjI"
2044331944318534005,GeorghyZhukov,2026-04-15T08:28:12+00:00,4,4,moonshinegr,2026-04-15T20:28:46+00:00,2026-04-15T22:14:06+00:00,105,1,3,,,moonshinegr|MasenkaMm230158|nickthegreek5|MenoEdo,"Το «ρεπορτάζ» του Καλλέργη για το BBC στηρίζεται σε στοιχεία του Lighthouse Reports, τα οποία εμφανίζονται στο κείμενο με ενεργό λινκ. Πατώντας πάνω, βλέπουμε ότι βασικός συντελεστής της «έρευνας» είναι ο γνωστός Χρηστίδης που εφύηρε τη «μικρή νεκρή Μαρία» στον Έβρο, ρεπορτάζ για το οποίο το Spiegel ζήτησε γονατιστό συγγνώμη από τη χώρα μας και απέλυσε κλωτσηδόν τον επί 25ετία αρχισυντάκτη του."
