retweeter,source_author,count
Track11John,Briassulis,66
Track11John,elenasagiadinou,11
Track11John,AnAthenianToLDN,7
Track11John,HFirstpriest,7
nickthegreek5,Mirsini1946041,6
Track11John,ArisBJJ,5
Track11John,ellada24,5
Track11John,panta_tif,5
nickthegreek5,MOSSADil,5
nickthegreek5,MsLouellaDeVil,5
46spiros,AnAthenianToLDN,4
AgelisDimitris,MsLouellaDeVil,4
Agie2a,__darcelX__,4
Track11John,AdonisGeorgiadi,4
Track11John,AppelaiosII,4
Track11John,Mrpresidentgr,4
Track11John,failosK,4
Track11John,tomanifesto,4
nickthegreek5,AdonisGeorgiadi,4
nickthegreek5,GeorghyZhukov,4
nickthegreek5,ellada24,4
nickthegreek5,jazz_daz,4
nickthegreek5,panta_tif,4
Aaagiiisss,realMaalouf,3
AgelisDimitris,Mirsini1946041,3
MasenkaMm230158,AdonisGeorgiadi,3
RockRock222555,zneraida,3
Track11John,Agie2a,3
Track11John,DoraZip,3
Track11John,GP_74_,3
Track11John,Mirsini1946041,3
Track11John,PlakoudasSpyros,3
Track11John,Track11John,3
Track11John,mvlazaridis,3
Track11John,n_palaiopanou,3
chrysib11,K_Sav215,3
giannMak,2etonne2p,3
giannMak,jazz_daz,3
nickthegreek5,BenakisM,3
nickthegreek5,ImtiazMadmood,3
nickthegreek5,nikglykos,3
nickthegreek5,omadaalithias,3
sinakatsarou,jazz_daz,3
46spiros,Johnnyhoston_2,2
46spiros,K_Sav215,2
46spiros,ellada24,2
46spiros,unico11226,2
Aaagiiisss,Alyunan00,2
AgelisDimitris,Akiratos_,2
AgelisDimitris,BenakisM,2
AgelisDimitris,IoannaDementi,2
AgelisDimitris,MirandaPrada_,2
AgelisDimitris,gospodinmedvedd,2
AgelisDimitris,panta_tif,2
ArisBJJ,Akiratos_,2
Briassulis,Briassulis,2
Briassulis,action24tv,2
Briassulis,elenasagiadinou,2
Briassulis,hellaspecial,2
Briassulis,iefimerida,2
Briassulis,nikolaosderes,2
DonConsclavios,AdonisGeorgiadi,2
IK25818385,Wolfman45042900,2
K_Sav215,AdonisGeorgiadi,2
K_Sav215,MarketNewsgr,2
K_Sav215,action24tv,2
MKioulafa,1mp0st3rtuta,2
MKioulafa,K_Sav215,2
MasenkaMm230158,GeorghyZhukov,2
MasenkaMm230158,Johnnyhoston_2,2
MasenkaMm230158,KatKatPt,2
MasenkaMm230158,Notorio_rbg,2
MasenkaMm230158,kikig_3,2
MasenkaMm230158,mariavellou,2
RockRock222555,Stainlessid,2
RockRock222555,gospodinmedvedd,2
RockRock222555,isaacrrr7,2
Track11John,BenakisM,2
Track11John,Bodymist18668,2
Track11John,DvsDvs60195368,2
Track11John,GeorghyZhukov,2
Track11John,LiberalGr,2
