account_handle,component_id,component_size,neighbor_count,weighted_degree,within_15m_weight,within_60m_weight,strongest_neighbor,max_shared_edge
nickthegreek5,1,113,88,740,60,282,AgelisDimitris,44
46spiros,1,113,72,490,37,203,nickthegreek5,43
AgelisDimitris,1,113,60,371,29,146,nickthegreek5,44
angelikitsakani,1,113,52,318,23,136,nickthegreek5,27
chrysib11,1,113,53,279,36,136,nickthegreek5,26
MenoEdo,1,113,48,264,12,75,nickthegreek5,29
giannMak,1,113,40,231,21,95,nickthegreek5,26
Track11John,1,113,34,223,33,110,Briassulis,26
Briassulis,1,113,40,211,18,85,Track11John,26
sinakatsarou,1,113,38,200,23,97,nickthegreek5,21
MariaDecokeke,1,113,40,174,17,94,nickthegreek5,12
hatz_patty,1,113,38,171,18,82,nickthegreek5,21
mpantazo,1,113,33,156,12,63,46spiros,17
K_Sav215,1,113,31,131,15,56,nickthegreek5,11
TheMadoula,1,113,36,124,9,40,nickthegreek5,15
vythos70,1,113,28,123,11,45,nickthegreek5,18
galex1908,1,113,26,114,12,44,nickthegreek5,12
Catps66,1,113,31,108,5,36,nickthegreek5,10
maus_miny,1,113,30,106,10,36,nickthegreek5,11
ABCHeckles,1,113,31,104,6,28,nickthegreek5,13
johnblandos,1,113,30,104,9,42,nickthegreek5,14
RockRock222555,1,113,23,103,14,61,nickthegreek5,12
Ah_riman,1,113,23,90,9,43,nickthegreek5,8
MasenkaMm230158,1,113,25,82,7,35,nickthegreek5,9
Loxagos_Mark,1,113,24,82,1,16,nickthegreek5,12
SenzakiKamo,1,113,21,81,5,26,nickthegreek5,12
MKioulafa,1,113,20,76,17,51,MariaDecokeke,9
paliakaravana59,1,113,17,75,7,28,nickthegreek5,14
GiotaPapapetrou,1,113,20,73,11,36,nickthegreek5,8
Myrtilo01,1,113,23,72,10,21,MenoEdo,11
TsigkaEfi,1,113,20,65,4,21,nickthegreek5,13
xeniakan21,1,113,16,62,1,5,nickthegreek5,10
klikr,1,113,15,56,13,35,MariaDecokeke,7
BatorGr,1,113,17,55,3,12,Briassulis,6
LGkvas,1,113,16,54,5,20,nickthegreek5,14
DonConsclavios,1,113,16,51,5,24,Briassulis,5
lidakis_manos,1,113,16,51,2,18,MenoEdo,7
greek_paris_13,1,113,18,49,5,26,chrysib11,5
NonameTZ,1,113,15,48,2,26,nickthegreek5,8
Nogate_T,1,113,15,43,4,14,nickthegreek5,6
ArisBJJ,1,113,12,40,5,19,nickthegreek5,8
ArgirNik,1,113,15,38,5,9,nickthegreek5,4
Fotinh5,1,113,12,38,6,23,46spiros,7
g_m_theo,1,113,12,37,4,19,46spiros,6
PitSpencer,1,113,13,35,3,9,nickthegreek5,5
Fay82776914F,1,113,12,34,3,11,nickthegreek5,6
Agie2a,1,113,11,32,2,12,nickthegreek5,4
Rena_Rethymno,1,113,11,31,2,9,MariaDecokeke,6
lafillemalgard1,1,113,9,31,2,12,Ah_riman,6
angie22gr,1,113,10,30,2,11,sinakatsarou,4
ZafiriaF,1,113,9,28,1,4,nickthegreek5,9
ptableart,1,113,11,27,3,9,nickthegreek5,4
anasiropiastos,1,113,10,25,4,18,nickthegreek5,4
Anthology2026,1,113,10,22,1,5,nickthegreek5,4
57lista,1,113,7,22,2,6,angelikitsakani,4
Aaagiiisss,1,113,9,21,0,11,nickthegreek5,5
steiger_st28082,1,113,9,19,2,10,nickthegreek5,3
cavodoro,1,113,7,19,0,2,nickthegreek5,5
ThanosTzimeros,1,113,5,19,5,14,46spiros,7
Anastasia7882,1,113,7,17,1,2,MenoEdo,4
tasoskar11,1,113,7,17,1,8,nickthegreek5,4
JSweetGR,1,113,6,17,0,10,nickthegreek5,6
Mrpresidentgr,1,113,7,16,1,4,46spiros,4
Theodoros674021,1,113,7,16,1,7,46spiros,4
kokkoriss,1,113,7,16,2,7,nickthegreek5,3
dinoskonstantin,1,113,5,14,0,4,nickthegreek5,4
economi94461498,1,113,3,13,7,7,chrysib11,7
GeorgiadouL,1,113,5,12,1,3,nickthegreek5,3
InafiZinaf1,1,113,5,11,0,2,nickthegreek5,3
Volcom40893832,1,113,5,10,0,1,nickthegreek5,2
Xeniaxe19580370,1,113,4,10,1,7,nickthegreek5,3
evangelia_re,1,113,4,10,0,2,nickthegreek5,3
AnAthenianToLDN,1,113,4,9,3,4,chrysib11,3
NodarasSpiros,1,113,4,9,1,3,nickthegreek5,3
Tina5996,1,113,3,9,0,1,nickthegreek5,4
jparthen,1,113,4,8,0,3,nickthegreek5,2
teo_ntaleki,1,113,4,8,1,4,nickthegreek5,2
EthanAnargyrous,1,113,3,8,0,2,nickthegreek5,3
vel_theGreek,1,113,3,8,0,3,MenoEdo,4
JimyWis,1,113,3,7,1,3,46spiros,3
SagamoreMount,1,113,3,7,1,6,nickthegreek5,3
FrankiKostas,1,113,3,6,0,3,nickthegreek5,2
JtfYiannis,1,113,3,6,1,3,nickthegreek5,2
KosmidisStathis,1,113,3,6,0,3,TsigkaEfi,2
MariaKagia4603,1,113,3,6,2,3,chrysib11,2
Torquem21743459,1,113,3,6,0,0,nickthegreek5,2
dkDurcGYTIpZdKl,1,113,3,6,0,1,nickthegreek5,2
fanis_rc,1,113,3,6,2,3,lidakis_manos,2
harakont,1,113,3,6,0,0,nickthegreek5,2
nikos_aggelakis,1,113,3,6,1,3,greek_paris_13,2
xariszak2,1,113,3,6,1,1,sinakatsarou,2
agapornis_mask,1,113,2,5,0,0,nickthegreek5,3
silaserafim,1,113,2,5,1,4,46spiros,3
zneraida,1,113,2,5,0,3,Briassulis,3
CharilaosPapad1,1,113,2,4,1,3,nickthegreek5,2
MariaKoki3,1,113,2,4,0,1,MasenkaMm230158,2
NikosVsdl8,1,113,2,4,0,2,nickthegreek5,2
VIVITV5,1,113,2,4,0,1,nickthegreek5,2
Veltsi_Legacy,1,113,2,4,1,1,nickthegreek5,2
parodynews,1,113,1,3,0,0,nickthegreek5,3
BananaJoeReload,1,113,1,2,1,2,kokkoriss,2
Chaos_kreator,1,113,1,2,0,2,Myrtilo01,2
DDeppied,1,113,1,2,1,2,MariaDecokeke,2
Jan__Sobieski,1,113,1,2,0,0,Anthology2026,2
L6sVita,1,113,1,2,0,0,Briassulis,2
VforVolemenos,1,113,1,2,0,0,46spiros,2
ZbejVty,1,113,1,2,0,1,vythos70,2
aggelikiME25,1,113,1,2,1,2,GiotaPapapetrou,2
dimitris7987,1,113,1,2,0,0,Track11John,2
georgekouts62,1,113,1,2,0,0,MasenkaMm230158,2
le1li,1,113,1,2,0,1,Anthology2026,2
nilsholgerson_,1,113,1,2,0,2,Agie2a,2
unico11226,1,113,1,2,0,2,nickthegreek5,2
G4Heron,2,2,1,2,0,1,QuercusLg,2
QuercusLg,2,2,1,2,0,1,G4Heron,2
