token,display_token,count,unique_account_count,sample_accounts
μυλωνακησ,Μυλωνακης,39,21,46spiros|AgelisDimitris|Agie2a|Briassulis|ChrisDarko39|GiotaPapapetrou|K_Sav215|Konstan18155165|LGkvas|Loxagos_Mark
μυλωνακη,Μυλωνακη,24,17,46spiros|Agie2a|Fay82776914F|JtfYiannis|MasenkaMm230158|NonameTZ|RockRock222555|TsigkaEfi|angelikitsakani|chrysib11
βαξεβανη,Βαξεβανη,18,14,Agie2a|Fay82776914F|JtfYiannis|MasenkaMm230158|NonameTZ|RockRock222555|TsigkaEfi|chrysib11|giannMak|johnblandos
action24,Action24,15,9,46spiros|Briassulis|K_Sav215|Loxagos_Mark|Track11John|angelikitsakani|giannMak|johnblandos|nickthegreek5
pisoapotisgrammes,PisoApoTisGrammes,10,7,Briassulis|K_Sav215|Loxagos_Mark|angelikitsakani|giannMak|johnblandos|nickthegreek5
survivorgr,survivorGR,10,4,Greekprn|IK25818385|Placebo_0|Rinokeros2023
λαζαριδησ,Λαζαριδης,10,9,AgelisDimitris|BananaJoeReload|IK25818385|KosmidisStathis|ScroogeKifissia|Tiramolas_|evangelia_re|giannMak|nickthegreek5
paobc,paobc,9,2,Abovelaw13|TheSurigata
aekbc,aekbc,8,6,K_Sav215|Loxagos_Mark|aekzurich21|anarchistdonkey|gospodinmedvedd|ledentiste2
ισραηλ,Ισραηλ,8,5,46spiros|AgelisDimitris|Briassulis|RockRock222555|Track11John
paoac,paoac,7,2,Abovelaw13|TheSurigata
οπεκεπε,ΟΠΕΚΕΠΕ,7,6,IK25818385|K_Sav215|Track11John|angelikitsakani|dimitris7987|giannMak
greece,Greece,6,6,46spiros|Aaagiiisss|QuercusLg|Track11John|greek_paris_13|nickthegreek5
ελλαδα,Ελλάδα,6,3,46spiros|Track11John|hellaspecial
καρυστιανου,καρυστιανού,6,6,Briassulis|RockRock222555|Track11John|giannMak|nickthegreek5|tasoskar11
epomenimera,EpomeniMera,5,4,46spiros|Briassulis|K_Sav215|Track11John
olympiacosbc,OlympiacosBC,5,3,Abovelaw13|aggelikiME25|anarchistdonkey
paofc,paofc,5,4,Abovelaw13|Asmoudis13|Loxagos_Mark|TheSurigata
paowbc,paowbc,5,1,Abovelaw13
μυρτω,μυρτω,5,5,AgelisDimitris|GiotaPapapetrou|aggelikiME25|consue_banana_|greek_paris_13
namagapas,Namagapas,4,1,olofwti_agapi
αντηχεσ_σκεψεισ,αντηχες_σκεψεις,4,1,MoudilosV
δντ,ΔΝΤ,4,4,Briassulis|K_Sav215|chrysib11|giannMak
ενεργεια,Ενέργεια,4,3,46spiros|Track11John|hellaspecial
θεσσαλονικησ,Θεσσαλονίκης,4,4,Fotinh5|K_Sav215|klikr|sinakatsarou
ποτε_ξανα_φασιστερα,ποτέ_ξανά_φασιστερά,4,4,46spiros|K_Sav215|RockRock222555|ThanosTzimeros
τουρκια,Τουρκια,4,2,46spiros|Track11John
basketballcl,basketballcl,3,3,K_Sav215|Loxagos_Mark|aekzurich21
cyprus,Cyprus,3,3,46spiros|greek_paris_13|paliakaravana59
f16v,F16V,3,3,Loxagos_Mark|Mrpresidentgr|greek_paris_13
haf,HAF,3,3,Loxagos_Mark|Mrpresidentgr|greek_paris_13
paokbc,PAOKBC,3,2,DonConsclavios|HouseElisabeth_
turkiye,Turkiye,3,2,46spiros|Track11John
ucl,UCL,3,2,Abovelaw13|AnAthenianToLDN
αεπ,αεπ,3,3,K_Sav215|chrysib11|giannMak
αναπτυξη,αναπτυξη,3,3,K_Sav215|chrysib11|giannMak
δημοσιοχρεοσ,δημοσιοχρεος,3,3,K_Sav215|chrysib11|giannMak
δημοσκοπησεισ,Δημοσκοπήσεις,3,3,mpantazo|nickthegreek5|vythos70
κεφαλονια,Κεφαλονιά,3,3,Briassulis|GiotaPapapetrou|aggelikiME25
λατινοπουλου,Λατινοπουλου,3,1,IK25818385
πρωτογενηπλεονασματα,πρωτογενηπλεονασματα,3,3,K_Sav215|chrysib11|giannMak
χρεοσ,χρεος,3,3,K_Sav215|chrysib11|giannMak
annavissi,ANNAVISSI,2,1,foivos_trikkis_
apokalypseis,apokalypseis,2,1,IK25818385
bbc,BBC,2,2,Anastasia7882|Track11John
bloomberg,Bloomberg,2,2,Catps66|Track11John
greecemfa,GreeceMFA,2,2,Track11John|nickthegreek5
harrytheoharis,HarryTheoharis,2,2,Track11John|nickthegreek5
megalivenews,megalivenews,2,1,IK25818385
morejetsforgreece,MoreJetsForGreece,2,2,K_Sav215|vythos70
neadimokratia,NeaDimokratia,2,2,Track11John|nickthegreek5
notia,Notia,2,2,Track11John|nickthegreek5
remigration,remigration,2,2,46spiros|ThanosTzimeros
turkey,Turkey,2,1,Track11John
vannacci,Vannacci,2,2,Xeniaxe19580370|paliakaravana59
βοθρουμεντο,Βοθρουμέντο,2,2,Briassulis|Track11John
επιδοτησεισ,επιδοτησεις,2,2,angelikitsakani|giannMak
ευαγγελισμοσ,ευαγγελισμος,2,2,K_Sav215|hatz_patty
ιραν,Ιραν,2,2,46spiros|RockRock222555
κατι_δικα_μου,Κατι_δικα_μου,2,2,GiotaPapapetrou|vythos70
κουρδοι,Κουρδοι,2,1,46spiros
κωνσταντοπουλου,Κωνσταντοπουλου,2,1,IK25818385
νδ,ΝΔ,2,2,Track11John|nickthegreek5
ορμουζ,Ορμουζ,2,1,46spiros
πασοκ,ΠΑΣΟΚ,2,2,angelikitsakani|giannMak
πολεμοσ,πολεμος,2,1,46spiros
πολιτικη,Πολιτική,2,1,K_Sav215
ρουσφετι,ρουσφετι,2,2,angelikitsakani|giannMak
a2,A2,1,1,Abovelaw13
aekfc,aekfc,1,1,ledentiste2
akrotiri,Akrotiri,1,1,46spiros
animalprotection,animalprotection,1,1,vythos70
animalrights,animalrights,1,1,vythos70
animals,animals,1,1,vythos70
animalwelfare,animalwelfare,1,1,vythos70
annaxoaka,ANNAxOAKA,1,1,agnwstos_x_
arcadia,arcadia,1,1,QuercusLg
aris,aris,1,1,HouseElisabeth_
ayatollahkhomeini,AyatollahKhomeini,1,1,46spiros
bayraktar,Bayraktar,1,1,46spiros
bayrma,BAYRMA,1,1,panagitsma78169
bbclies,BBCLies,1,1,Anastasia7882
beleris,beleris,1,1,Track11John
blackops,BlackOps,1,1,Track11John
ceasefire,Ceasefire,1,1,46spiros
coadf,COADF,1,1,madonnamaniac
coadf2,COADF2,1,1,madonnamaniac
compassion,compassion,1,1,vythos70
desert_diary,Desert_Diary,1,1,Track11John
digitalerkontrollstaat,DigitalerKontrollstaat,1,1,frel_elias
empathy,empathy,1,1,vythos70
eppgroup,eppgroup,1,1,Track11John
erdogan,Erdogan,1,1,46spiros
eu,EU,1,1,Track11John
eu_diktatur,EU_Diktatur,1,1,frel_elias
eudigitalidentitywallet,EUDigitalIdentityWallet,1,1,frel_elias
europarl,europarl,1,1,Track11John
f16,F16,1,1,46spiros
fisheries,Fisheries,1,1,Track11John
gaza,Gaza,1,1,46spiros
grandhotel,grandhotel,1,1,aikarerina
greek,Greek,1,1,Aaagiiisss
hagia_sophia,Hagia_Sophia,1,1,paliakaravana59
hellas,Hellas,1,1,Aaagiiisss
hellenicairforce,HellenicAirForce,1,1,46spiros
hezbollah,Hezbollah,1,1,46spiros
iefimerida,iefimerida,1,1,Briassulis
ingr,ingr,1,1,K_Sav215
iranisraelwar,IranIsraelWar,1,1,46spiros
iranwar,IranWar,1,1,46spiros
irgc,IRGC,1,1,46spiros
isis,ISIS,1,1,Track11John
israel,Israel,1,1,46spiros
italy,Italy,1,1,46spiros
kalytera,kalytera,1,1,Leniw_Lenia
khamenei,Khamenei,1,1,46spiros
kindness,kindness,1,1,vythos70
kingrezapahlavi‌foriran,KingRezaPahlavi‌ForIran,1,1,RockRock222555
kurds,Kurds,1,1,46spiros
make_instanbul_constantinople_again,Make_Instanbul_Constantinople_Again,1,1,paliakaravana59
massmigration,MassMigration,1,1,RockRock222555
masterchefgr,MasterChefGR,1,1,MariaKagia4603
middleeast,MiddleEast,1,1,46spiros
neademokratia,neademokratia,1,1,Track11John
netanyahu,Netanyahu,1,1,46spiros
never_forget_never_ever,NEVER_FORGET_NEVER_EVER,1,1,theatropoios
news,news,1,1,K_Sav215
