account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,default_profile,default_profile_image,is_blue_verified,coordination_score,analyst_label
angelikitsakani,52,52,0,16,1.0,34,52,40,22,0.4231,4,0.0769,11,11,3158,3849,130974,1,0,0,82.12,
46spiros,104,104,0,12,1.0,60,104,77,39,0.375,6,0.0577,68,50,1110,386,261141,1,0,0,81.2,
chrysib11,36,36,0,4,1.0,19,36,30,14,0.3889,3,0.0833,9,6,3810,5552,464374,1,0,0,80.42,
nickthegreek5,145,145,0,10,1.0,55,145,94,38,0.2621,6,0.0414,18,41,6391,2507,385211,0,0,0,79.35,
MasenkaMm230158,38,38,0,11,1.0,19,38,27,8,0.2105,3,0.0789,2,3,599,392,32732,1,0,0,77.7,
paliakaravana59,70,70,0,0,1.0,58,70,61,10,0.1429,2,0.0286,8,21,1696,203,341934,1,0,0,77.43,
Catps66,19,19,0,4,1.0,14,19,17,4,0.2105,2,0.1053,1,1,1051,2643,31892,1,0,0,71.71,
ABCHeckles,13,13,0,1,1.0,11,13,12,5,0.3846,2,0.1538,0,2,5954,4329,205427,1,0,0,71.06,
PitSpencer,19,19,0,5,1.0,13,19,19,5,0.2632,1,0.0526,0,1,965,1996,50912,1,0,0,70.72,
Track11John,224,219,5,75,0.9777,143,219,78,121,0.5525,66,0.3014,43,44,885,734,193162,1,0,0,70.52,
Aaagiiisss,25,25,0,6,1.0,14,25,22,2,0.08,3,0.12,7,0,712,1391,49379,1,0,0,69.9,
Loxagos_Mark,24,24,0,2,1.0,12,24,23,6,0.25,2,0.0833,9,5,7001,7423,301622,1,0,1,69.58,
Fotinh5,6,6,0,1,1.0,3,6,5,5,0.8333,2,0.3333,1,1,3794,2942,62847,1,0,0,69.58,
galex1908,15,15,0,0,1.0,12,15,14,2,0.1333,2,0.1333,3,2,16225,17346,592099,0,0,0,68.33,
hatz_patty,55,52,3,18,0.9455,37,52,29,28,0.5385,6,0.1154,3,11,9017,6065,285652,0,0,0,67.32,
TheMadoula,14,14,0,2,1.0,8,14,14,6,0.4286,1,0.0714,0,7,3081,3671,64190,0,0,0,67.14,
TsigkaEfi,9,9,0,0,1.0,6,9,8,4,0.4444,2,0.2222,2,1,1013,568,25882,1,0,0,66.39,
madonnamaniac,12,12,0,1,1.0,12,12,12,0,0.0,1,0.0833,2,2,3193,844,88330,0,0,0,65.83,
Fay82776914F,7,7,0,3,1.0,6,7,7,3,0.4286,1,0.1429,2,1,1524,1419,49010,1,0,0,65.36,
IK25818385,5,5,0,0,1.0,5,5,3,1,0.2,3,0.6,14,0,1045,3296,10624,1,0,0,65.25,
giannMak,78,76,2,10,0.9744,28,76,55,27,0.3553,4,0.0526,25,17,6812,6704,173949,0,0,0,64.96,
silaserafim,14,14,0,2,1.0,11,14,14,0,0.0,1,0.0714,0,0,40724,2207,449248,0,0,0,64.46,
sinakatsarou,37,36,1,9,0.973,19,36,31,13,0.3611,3,0.0833,4,9,7703,1969,214445,1,0,0,64.05,
vythos70,53,50,3,1,0.9434,41,50,42,14,0.28,2,0.04,16,14,10517,10473,390796,1,0,0,62.62,
GiotaPapapetrou,105,103,2,3,0.981,97,103,66,9,0.0874,15,0.1456,15,15,4692,3427,457363,1,0,0,62.1,
NonameTZ,6,6,0,2,1.0,1,6,5,3,0.5,2,0.3333,3,5,478,585,19816,0,0,0,62.08,
Myrtilo01,8,8,0,0,1.0,6,8,6,1,0.125,2,0.25,0,0,305,338,19433,0,0,0,61.88,
AndriotGreg,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,1271,1279,9361,1,0,0,61.25,
ChrisDarko39,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,1,0,3758,3934,15500,0,0,0,61.25,
pOURc3ero9j906K,1,1,0,0,1.0,1,1,1,1,1.0,1,1.0,0,0,3069,2302,5018,1,0,0,61.25,
