original_tweet_id,original_author_handle,original_created_at,retweet_count,unique_retweeter_count,first_retweeter,first_retweet_at,last_retweet_at,span_minutes,retweets_within_15m,retweets_within_60m,hashtags,mentions,retweeters,sample_text
2044452115427266781,dimitris7987,2026-04-15T16:25:43+00:00,11,11,JimyWis,2026-04-15T19:30:44+00:00,2026-04-15T23:10:50+00:00,220,2,4,,,JimyWis|VIVITV5|46spiros|RockRock222555|chrysib11|AgelisDimitris|g_m_theo|nickthegreek5|CharilaosPapad1|MenoEdo|Loxagos_Mark,"Αφηνιάζουν οι αριστεροί, κατόπιν έξώθεν εντολών. https://t.co/KhGLqSS1gW"
2044440248176840853,zneraida,2026-04-15T15:38:33+00:00,10,10,TsigkaEfi,2026-04-15T18:47:30+00:00,2026-04-15T23:10:55+00:00,263,1,2,βαξεβανη|μυλωνακη,,TsigkaEfi|giannMak|JtfYiannis|johnblandos|Fay82776914F|RockRock222555|nickthegreek5|teo_ntaleki|MasenkaMm230158|Agie2a,1/4/25 η ΕΣΗΕΑ παρέπεμψε στο πειθαρχικό τ δημοσιογράφο Γιαννακα γτ έγραψε άρθρο γνώμης για τ Καρυστιανου 6/4/2026 η ΕΣΗΕΑ είναι ΆΦΑΝΤΗ για τ #Βαξεβανη και τ δολοφονία χαρακτήρα του #Μυλωνακη με κατασκευασμενα άρθρα  Τα αριστερά Βρωμοσκυλα της ΕΣΗΕΑ https://t.co/sPdsIID8wL
2044427278302474414,AdonisGeorgiadi,2026-04-15T14:47:01+00:00,10,10,Volcom40893832,2026-04-15T18:50:50+00:00,2026-04-15T22:56:32+00:00,245,1,2,,,Volcom40893832|hatz_patty|46spiros|TetraLogiki|MasenkaMm230158|nickthegreek5|Track11John|AgelisDimitris|paliakaravana59|MenoEdo,"Έχετε διαβάσει γελοιοδέστερο σχόλιο για έναν νέο άνθρωπο και πατέρα, που αυτή την στιγμή που μιλάμε δίνει μάχη για την ζωή του; Άνθρωποι σαν κι αυτόν όλη μέρα μας κατακρίνουν για την ηθική μας συγκρότηση και έχουν τόσο μαύρη ψυχή στην πραγματικότητα. Δεν έχω πραγματικά να πω τίποτε άλλο απλά ντροπή"
1640334999785201669,AdonisGeorgiadi,2023-03-27T12:48:34+00:00,10,10,giannMak,2026-04-15T19:44:57+00:00,2026-04-15T22:05:33+00:00,140,2,4,,kostasvaxevanis|npapathanasis|kmitsotakis,giannMak|Volcom40893832|Briassulis|SagamoreMount|46spiros|Track11John|nickthegreek5|hatz_patty|DonConsclavios|MasenkaMm230158,"Ο @KostasVaxevanis έγινε χθες για μία ακόμη φορά ρεζίλι. Ξεκίνησε γράφοντας ότι έκαναν στον @npapathanasis -97% κούρεμα χρέους, μετά το άλλαξε ότι εννοούσε κάτι «σαν κούρεμα» και τώρα «κούρεμα των εγγυήσεων»…στην πραγματικότητα ο άνθρωπος αυτός ποτέ δεν είχε το θάρρος απλώς να πει ότι έκανε λάθος. Άλλωστε δεν έκανε, επίτηδες έγραψε ψέματα για πολιτικούς λόγους. Τώρα νομίζει ότι δύναται να εκφοβίσει εμένα…δεν τον φοβήθηκα όταν πήγε να με κλείσει Φυλακή με ψέματα για τη Novartis, θα τον φοβηθώ τώρα; Θα του προτείνω όμως μία συμφωνία, θα γράψει ένα άρθρο, έστω ένα, για τα χρέη ενός βουλευτού ή ευρωβουλευτού του Σύριζα και μετά θα του απαντήσω σε ό,τι θέλει για τα δικά μου…δεν θα το κάνει ποτέ διότι δεν είναι αντικειμενικός ούτε τον νοιάζουν τα χρέη, τον νοιάζει μόνον να πέσει ο @kmitsotakis Κώστα μου να θυμάσαι εγώ Δεν σε φοβάμαι! Δεν με κρατάς από πουθενά και δεν σε υπολογίζω ως δημοσιογράφο αλλά απλά ως έναν ακόμη πολιτικό μου αντίπαλο. Bullying αλλού όχι σε μένα και κάτω τα χέρια από τον Νίκο δεν μπορείς εσύ να τον λερώσεις https://t.co/IzSEMp3i5c"
2044466288731255202,ellada24,2026-04-15T17:22:02+00:00,9,9,K_Sav215,2026-04-15T18:35:28+00:00,2026-04-15T21:39:15+00:00,183,1,3,,,K_Sav215|Fotinh5|Catps66|46spiros|mpantazo|sinakatsarou|nickthegreek5|Track11John|giannMak,"Βουλαρίνος: Το ΠΑΣΟΚ, μη μπορώντας να κάνει αντιπολίτευση σε σοβαρά θέματα, καταγγέλλει και άλλη πρόσληψη του Λαζαρίδη το 2013. Γιατί δεν κοιτούν τα αρχεία τους; Ήταν στην κυβέρνηση τότε, αλλά μάλλον το έχουν ξεχάσει. https://t.co/Qk012Mn5uE"
2044485490175307840,Mirsini1946041,2026-04-15T18:38:20+00:00,9,9,Agie2a,2026-04-15T18:50:04+00:00,2026-04-15T21:23:44+00:00,153,1,3,,,Agie2a|angelikitsakani|chrysib11|mpantazo|Briassulis|RockRock222555|Track11John|sinakatsarou|nickthegreek5,"Όχι ρε γαμωτοοοο . Η κυρία Τζίνα  με είπε τρολ που βιοπορίζομαι απ' το τουιτερ, με καληνύχτισε και αμέσως μετά έκλεισε τα σχόλια  😥 Μάλλον θύμωσε πολύ επειδή  την ρώτησα αν  ο Χρηστίδης ( της μικρής Μαρίας του Έβρου) , ήταν  ανάμεσα σ' αυτούς που ενημέρωσαν την Φροντεξ.  Να ξέρετε πάντως κυρία Τζίνα  μας ότι  αυτοί που  πληρώνονται , είναι  αυτοί που διαδίδουν φεικ ιστορίες για  σκορπιούς , μικρές Μαρίες και δράκους , όχι εμείς  που τους γλεντάμε  κι αναγκάζονται να κλείνουν τα σχόλια 😉"
2044516965587554627,AdonisGeorgiadi,2026-04-15T20:43:24+00:00,9,9,kokkoriss,2026-04-15T20:47:48+00:00,2026-04-15T23:35:52+00:00,168,3,7,,,kokkoriss|hatz_patty|K_Sav215|Track11John|nickthegreek5|chrysib11|giannMak|tasoskar11|InafiZinaf1,Γεωργιάδης: Η ευρωπαία εισαγγελέας Πόπη Παπανδρέου έφερε τις δικογραφίες για τον ΟΠΕΚΕΠΕ για να εκβιάσει ανανέωση της θητείας της https://t.co/bxMhK7O7BT
2044413848963149938,nikglykos,2026-04-15T13:53:39+00:00,8,8,ABCHeckles,2026-04-15T18:37:25+00:00,2026-04-15T21:47:35+00:00,190,1,1,,,ABCHeckles|46spiros|tasoskar11|paliakaravana59|nickthegreek5|vythos70|AgelisDimitris|Tina5996,"Γιατί δεν έχει συλληφθεί ο δημοσιογράφος που διαδίδοντας σκόπιμα αισχρές συκοφαντίες, έστειλε έναν άνθρωπο στην εντατική; Εάν ένα παιδί βάλει τα κλάματα επειδή ένα άλλο παιδί του κάνει μπουλινγκ, επεμβαίνει ο εισαγγελέας. Εδώ όλα οκ;"
2044441384246005948,Simonaki_,2026-04-15T15:43:04+00:00,8,8,ABCHeckles,2026-04-15T18:37:34+00:00,2026-04-15T21:55:12+00:00,197,1,3,,dimitrissavvid4,ABCHeckles|TheMadoula|paliakaravana59|AgelisDimitris|ArisBJJ|nickthegreek5|hatz_patty|MenoEdo,"- Μαμά, τι είναι σκουπίδι;  - Αυτό, παιδί μου 👇🏼  @DimitrisSavvid4 Ροχάλα στα μούτρα σου ρε τενεκέ 🖐🏼 https://t.co/m01jxm0gfz"
2044412874009829432,HellenicOlympic,2026-04-15T13:49:47+00:00,8,8,MariaKoki3,2026-04-15T18:49:27+00:00,2026-04-15T22:16:17+00:00,206,1,4,,,MariaKoki3|klikr|Loxagos_Mark|LGkvas|46spiros|Aaagiiisss|nickthegreek5|JSweetGR,👉H απίστευτη προσπάθεια της Αλεξάνδρας Εφραίμογλου στον τελικό του Ακροβατικού Διαδρόμου στο Ευρωπαϊκό Πρωτάθλημα Τραμπολίνο στην Πορτογαλία που της έδωσε το 🥈μετάλλιο. https://t.co/v3I0MDfYCG
