token,display_token,count,unique_account_count,sample_accounts
dimitrissavvid4,DimitrisSavvid4,38,21,46spiros|ABCHeckles|AgelisDimitris|ArisBJJ|Briassulis|DonConsclavios|Fay82776914F|GiotaPapapetrou|MenoEdo|RockRock222555
georgemilon,georgemilon,32,20,46spiros|AgelisDimitris|Briassulis|G4Heron|GiotaPapapetrou|K_Sav215|MKioulafa|MenoEdo|NonameTZ|TheMadoula
kostasvaxevanis,KostasVaxevanis,30,16,46spiros|AgelisDimitris|Briassulis|DonConsclavios|GiotaPapapetrou|MasenkaMm230158|NonameTZ|SagamoreMount|Torquem21743459|Track11John
kmitsotakis,kmitsotakis,27,19,46spiros|AstyMpekas|Briassulis|DonConsclavios|K_Sav215|Loxagos_Mark|MasenkaMm230158|NonameTZ|SagamoreMount|Track11John
elenikalogerop2,elenikalogerop2,13,9,Briassulis|DonConsclavios|EAdamopoulou|K_Sav215|Loxagos_Mark|angelikitsakani|giannMak|johnblandos|nickthegreek5
georgepierros,GeorgePierros,13,9,Briassulis|DonConsclavios|John_Fletcher70|K_Sav215|Loxagos_Mark|angelikitsakani|giannMak|johnblandos|nickthegreek5
dimitris_takis,dimitris_takis,10,7,Briassulis|K_Sav215|Loxagos_Mark|angelikitsakani|giannMak|johnblandos|nickthegreek5
juadn1,JUADN1,10,10,46spiros|AgelisDimitris|Agie2a|Track11John|TsigkaEfi|angelikitsakani|chrysib11|giannMak|nickthegreek5|sinakatsarou
npapathanasis,npapathanasis,10,10,46spiros|Briassulis|DonConsclavios|MasenkaMm230158|SagamoreMount|Track11John|Volcom40893832|giannMak|hatz_patty|nickthegreek5
georghyzhukov,GeorghyZhukov,9,9,Drifter_1066|Guson653566|Lollos1242232|Pi8kiavlozampis|Tasos3025749307|TheocharousH|dkDurcGYTIpZdKl|hermesjk|nikglykos
adonisgeorgiadi,AdonisGeorgiadi,7,7,Briassulis|NonameTZ|Track11John|giannMak|ippotech|nickthegreek5|vythos70
georgefloras,georgefloras,7,6,46spiros|ABCHeckles|AgelisDimitris|Catps66|Torquem21743459|jparthen
manosniflis,ManosNiflis,7,1,46spiros
mslouelladevil,MsLouellaDeVil,7,7,46spiros|AgelisDimitris|EthanAnargyrous|Fotinh5|NonameTZ|nickthegreek5|steiger_st28082
anatheniantoldn,AnAthenianToLDN,6,1,paliakaravana59
hafspokesperson,HAFspokesperson,6,6,46spiros|K_Sav215|Loxagos_Mark|MenoEdo|klikr|nickthegreek5
n_palaiopanou,n_palaiopanou,6,6,46spiros|HFirstpriest|christoskostaki|maus_miny|myga_tse|steiger_st28082
sfamellos,SFamellos,6,6,46spiros|RockRock222555|Track11John|giannMak|johnblandos|paliakaravana59
failosk,failosK,5,2,46spiros|Track11John
hellenicpolice,hellenicpolice,5,4,46spiros|AstyMpekas|AthanasiouCccp|ippotech
serkot65,serkot65,5,4,46spiros|Briassulis|K_Sav215|Track11John
thanosplevris,thanosplevris,5,3,Briassulis|Track11John|vythos70
varoufakis_gr,varoufakis_gr,5,2,46spiros|sinakatsarou
cnbckaren,cnbcKaren,4,2,K_Sav215|Track11John
giotapapapetrou,GiotaPapapetrou,4,1,GiotaPapapetrou
mirsini1946041,Mirsini1946041,4,4,Briassulis|Track11John|chrysib11|paliakaravana59
squawkboxeurope,SquawkBoxEurope,4,2,K_Sav215|Track11John
action24tv,action24tv,3,3,DonConsclavios|John_Fletcher70|K_Sav215
axel_triplo,AxeL_TripLo,3,3,MenoEdo|nickthegreek5|paliakaravana59
ericldaugh,EricLDaugh,3,1,RockRock222555
gazzetta_gr,gazzetta_gr,3,1,Abovelaw13
its_the_dr,its_The_Dr,3,1,paliakaravana59
neademokratia,neademokratia,3,3,46spiros|angelikitsakani|mpantazo
nesgrego,nesgrego,3,3,46spiros|TheMadoula|Track11John
pasok,pasok,3,3,46spiros|angelikitsakani|mpantazo
primeministergr,PrimeministerGR,3,3,Briassulis|GP_74_|K_Sav215
szacharos,SZacharos,3,3,chrysib11|johnblandos|nickthegreek5
tazmanolis,tazmanolis,3,1,46spiros
tinamess,TinaMess,3,3,GiotaPapapetrou|nickthegreek5|vythos70
vythos70,vythos70,3,1,vythos70
youtube,YouTube,3,3,GiotaPapapetrou|greek_paris_13|nikos_aggelakis
a_loverdos,a_loverdos,2,2,giannMak|nickthegreek5
chris_avramidis,chris_avramidis,2,1,Track11John
chrisochoidis,chrisochoidis,2,2,EAdamopoulou|Track11John
dtakis,dtakis,2,2,DonConsclavios|K_Sav215
imtiazmadmood,ImtiazMadmood,2,1,nickthegreek5
jhnystraka,JhnyStraka,2,1,Track11John
johnnyhoston_2,Johnnyhoston_2,2,2,Drifter_1066|RockRock222555
linconosiris2,LinconOsiris2,2,1,MKioulafa
maariaris,maariaris,2,2,46spiros|Mrpresidentgr
makdrou,makdrou,2,2,TheMadoula|Torquem21743459
margschinas,MargSchinas,2,1,Track11John
minagricpress,MinagricPress,2,2,chrysib11|greek_paris_13
mkioulafa,MKioulafa,2,1,MKioulafa
mossadil,MOSSADil,2,2,46spiros|nickthegreek5
mvlazaridis,mvlazaridis,2,2,Anthology2026|nickthegreek5
nasoskook,nasoskook,2,2,chrysib11|nickthegreek5
nickthegreek5,nickthegreek5,2,1,nickthegreek5
nicos1270647,Nicos1270647,2,1,paliakaravana59
okanismetalogo,okanismetalogo,2,2,PitSpencer|chrysib11
onalertfeed,OnAlertfeed,2,2,K_Sav215|MenoEdo
rena73sv,rena73sv,2,2,RockRock222555|nickthegreek5
rothmus,Rothmus,2,1,klikr
simonaki_,Simonaki_,2,1,GiotaPapapetrou
skasselakis,skasselakis,2,2,AstyMpekas|RockRock222555
tzertzis,tzertzis,2,1,Track11John
vandertraap,VanDerTraap,2,2,nikglykos|vythos70
2eateras,2eateras,1,1,jparthen
_rsnl_,_RsnL_,1,1,vythos70
abdbozkurt,abdbozkurt,1,1,Track11John
acpanathinaikos,acpanathinaikos,1,1,Abovelaw13
aekbcgr,aekbcgr,1,1,K_Sav215
agelisdimitris,AgelisDimitris,1,1,AgelisDimitris
amnesty,amnesty,1,1,RockRock222555
androulakisnick,androulakisnick,1,1,hatz_patty
antonioguterres,antonioguterres,1,1,sinakatsarou
arisbcgr,ARISBCgr,1,1,DonConsclavios
balisracing,BalisRacing,1,1,hatz_patty
bananajoereload,BananaJoeReload,1,1,BananaJoeReload
bydanram,bydanram,1,1,madonnamaniac
capitalofficial,CapitalOfficial,1,1,madonnamaniac
chanseneu,CHansenEU,1,1,K_Sav215
christoskostaki,christoskostaki,1,1,n_palaiopanou
costaskadis,CostasKadis,1,1,K_Sav215
dina_dina_g,dina_dina_g,1,1,ZbejVty
documentonews,documentonews,1,1,46spiros
dorazip,DoraZip,1,1,46spiros
dstefanos,dstefanos,1,1,hatz_patty
eliafriatisr,EliAfriatISR,1,1,nickthegreek5
ertnewsofficial,ertnewsofficial,1,1,nickthegreek5
estetikos5,estetikos5,1,1,46spiros
esyrokos,ESyrokos,1,1,dkDurcGYTIpZdKl
flapsani,FLapsani,1,1,sinakatsarou
fxaraktiras,FXaraktiras,1,1,vythos70
gerambturkiye,GerAmbTurkiye,1,1,46spiros
giannis12a,giannis12a,1,1,ZbejVty
ginatzak,GinaTzak,1,1,AgelisDimitris
giorgossahinis,GiorgosSahinis,1,1,Track11John
gkouvaris,gkouvaris,1,1,Abovelaw13
glinner,Glinner,1,1,paliakaravana59
govgr,govgr,1,1,GiotaPapapetrou
greeceintelaviv,GreeceInTelAviv,1,1,46spiros
greek_paris_13,greek_paris_13,1,1,46spiros
gsiadimas,GSiadimas,1,1,nickthegreek5
hatz_patty,hatz_patty,1,1,AgelisDimitris
htheoharis,htheoharis,1,1,RockRock222555
hungarybased,HungaryBased,1,1,nickthegreek5
israelingreece,IsraelinGreece,1,1,46spiros
israelipm,IsraeliPM,1,1,46spiros
israelmfa,IsraelMFA,1,1,46spiros
jk_rowling,jk_rowling,1,1,paliakaravana59
jocoon5,Jocoon5,1,1,vythos70
karditsastakra,Karditsastakra,1,1,Track11John
klara_sjo,klara_sjo,1,1,vythos70
kozari_memi,kozari_memi,1,1,nickthegreek5
kyranakis,kyranakis,1,1,Anthology2026
leonardtroland,LeonardTroland,1,1,nickthegreek5
lolobrijita1,lolobrijita1,1,1,foivos_trikkis_
lotplairlines,LOTPLAirlines,1,1,JSweetGR
m_mantouna,m_mantouna,1,1,MenoEdo
makishellas1,MakisHellas1,1,1,46spiros
mariadecokeke,MariaDecokeke,1,1,sinakatsarou
maus_miny,maus_miny,1,1,n_palaiopanou
megatvofficial,MegaTvOfficial,1,1,giannMak
michaelmthess,MichaelMthess,1,1,ZbejVty
miss_lemon___,Miss_lemon___,1,1,foivos_trikkis_
moscholiougina,MoscholiouGina,1,1,46spiros
newleftgr,NewLeftGR,1,1,46spiros
niallharbison,NiallHarbison,1,1,JSweetGR
nickele120,nickele120,1,1,46spiros
nihatuzman1,NihatUzman1,1,1,MenoEdo
nikos19651972,Nikos19651972,1,1,jparthen
nordicmonitor,nordicmonitor,1,1,Track11John
nyrros,Nyrros,1,1,Track11John
olivervarhelyi,OliverVarhelyi,1,1,K_Sav215
ouinston,Ouinston,1,1,Track11John
paliouriotisk1,Paliouriotisk1,1,1,paliakaravana59
panlabro,panlabro,1,1,dimitris7987
paobcgr,Paobcgr,1,1,Abovelaw13
paofc_,paofc_,1,1,Abovelaw13
paristzina,paristzina,1,1,GiotaPapapetrou
pgpapanikolaou,PGPapanikolaou,1,1,ippotech
quercuslg,QuercusLg,1,1,klikr
rapidresponse47,RapidResponse47,1,1,johnblandos
robschneider,RobSchneider,1,1,johnblandos
rockrock222555,RockRock222555,1,1,RockRock222555
rxrqdegogik2z9p,RXRqdEgogik2Z9P,1,1,AgelisDimitris
seriousthreat98,seriousthreat98,1,1,Anastasia7882
shangguanjiewen,ShangguanJiewen,1,1,michael_exc
sharrond62,sharrond62,1,1,paliakaravana59
sport24,sport24,1,1,Abovelaw13
steiger_st28082,steiger_st28082,1,1,steiger_st28082
stevedeaceshow,SteveDeaceShow,1,1,johnblandos
tyson_ward24,Tyson_Ward24,1,1,aggelikiME25
ubusiko,ubusiko,1,1,hatz_patty
us_sradvisoraf,US_SrAdvisorAF,1,1,46spiros
vickytax1,Vickytax1,1,1,paliakaravana59
yam_goyim,Yam_Goyim,1,1,Agie2a
zackesses,ZacKesses,1,1,AgelisDimitris
zneraida,zneraida,1,1,paliakaravana59
