account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
Track11John,2,41,0.7113,1,9.6926,13.9901,-2.26,70.52,0.9777,215
nickthegreek5,2,41,0.6567,2,6.713,11.8217,-1.4058,79.35,1.0,281
giannMak,2,41,0.6163,3,5.2612,10.479,-1.3367,64.96,0.9744,191
46spiros,2,41,0.6117,4,6.1313,11.1191,-1.857,81.2,1.0,156
K_Sav215,2,41,0.6004,5,8.3896,8.1354,-2.6394,51.78,0.6786,51
GiotaPapapetrou,2,41,0.5928,6,4.4186,8.3764,0.0169,62.1,0.981,17
hatz_patty,2,41,0.5904,7,4.2299,9.2267,-0.5708,67.32,0.9455,77
Agie2a,2,41,0.5793,8,4.2703,5.2918,-0.2423,46.53,0.6818,24
n_palaiopanou,1,156,0.578,9,7.9424,-4.0511,-7.1379,0.0,0.0,0
RockRock222555,2,41,0.5649,10,5.3615,9.4078,-2.4063,54.69,0.7083,90
paliakaravana59,2,41,0.5637,11,3.947,7.6495,-1.2298,77.43,1.0,38
Abovelaw13,1,156,0.5622,12,6.3805,1.0969,-1.0065,25.49,0.4375,0
Briassulis,2,41,0.558,13,4.8865,8.934,-2.229,54.18,0.6909,75
JtfYiannis,1,156,0.5571,14,5.145,1.116,0.7598,55.0,1.0,6
NodarasSpiros,1,156,0.5543,15,5.8275,2.13,0.0115,17.08,0.2143,9
Anthology2026,2,41,0.5529,16,5.5063,2.2935,-2.2185,46.8,0.7895,6
AgelisDimitris,2,41,0.5528,17,4.7064,9.8388,-1.8787,60.42,0.8889,113
Loxagos_Mark,2,41,0.55,18,3.7266,6.0752,0.5593,69.58,1.0,43
vythos70,2,41,0.5488,19,3.3116,8.1349,-0.4368,62.62,0.9434,52
DonConsclavios,2,41,0.5424,20,4.2167,4.2544,-1.3672,61.07,1.0,24
ArisBJJ,2,41,0.5421,21,4.6142,3.6343,-0.3771,42.42,0.7692,11
tasoskar11,1,156,0.5379,22,4.8105,0.9431,-0.5798,48.33,1.0,7
aggelikiME25,2,41,0.5376,23,5.661,2.6673,1.3236,61.05,0.9615,0
mpantazo,2,41,0.5321,24,3.6091,4.1834,-0.2416,46.89,0.9231,28
angelikitsakani,2,41,0.5318,25,3.5317,9.0088,-0.5819,82.12,1.0,107
TheocharousH,1,156,0.5307,26,7.782,-4.4288,-6.8098,0.0,0.0,0
ThanosTzimeros,2,41,0.5307,27,3.6688,4.7719,0.191,45.46,0.7273,10
Drifter_1066,1,156,0.5292,28,7.8266,-4.5045,-6.8232,0.0,0.0,0
Apstolos14616,1,156,0.5274,29,8.2976,-3.3311,-2.5394,0.0,0.0,0
G4Heron,1,156,0.527,30,5.011,1.5557,1.7343,54.89,0.9375,0
