account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
AgelisDimitris,nickthegreek5,44,0.1117,3,18
46spiros,nickthegreek5,43,0.096,5,17
MenoEdo,nickthegreek5,29,0.0803,1,6
46spiros,AgelisDimitris,28,0.0812,1,18
46spiros,angelikitsakani,27,0.0957,4,14
angelikitsakani,nickthegreek5,27,0.0778,1,8
giannMak,nickthegreek5,26,0.0776,6,20
chrysib11,nickthegreek5,26,0.0734,4,16
Briassulis,Track11John,26,0.0897,2,18
Track11John,nickthegreek5,25,0.053,11,20
hatz_patty,nickthegreek5,21,0.0607,3,9
nickthegreek5,sinakatsarou,21,0.0572,3,14
46spiros,chrysib11,21,0.0714,2,15
46spiros,MenoEdo,20,0.0656,0,6
Track11John,giannMak,19,0.0671,4,10
AgelisDimitris,angelikitsakani,19,0.0802,2,5
nickthegreek5,vythos70,18,0.0492,1,5
46spiros,mpantazo,17,0.0683,2,7
Briassulis,nickthegreek5,17,0.0475,0,3
angelikitsakani,giannMak,17,0.1049,0,1
46spiros,Track11John,16,0.0385,0,7
TheMadoula,nickthegreek5,15,0.05,1,7
46spiros,Briassulis,15,0.0508,0,4
mpantazo,nickthegreek5,15,0.0475,0,3
nickthegreek5,paliakaravana59,14,0.0374,3,6
AgelisDimitris,Track11John,14,0.0384,2,5
46spiros,sinakatsarou,14,0.0453,1,9
LGkvas,nickthegreek5,14,0.0488,1,8
johnblandos,nickthegreek5,14,0.044,0,6
TsigkaEfi,nickthegreek5,13,0.0451,1,6
chrysib11,giannMak,13,0.0756,1,6
46spiros,giannMak,13,0.0459,0,5
ABCHeckles,nickthegreek5,13,0.0417,0,0
MariaDecokeke,chrysib11,12,0.0769,5,10
MariaDecokeke,nickthegreek5,12,0.0361,2,9
AgelisDimitris,sinakatsarou,12,0.0465,1,4
RockRock222555,nickthegreek5,12,0.0379,1,10
angelikitsakani,chrysib11,12,0.0645,1,10
Loxagos_Mark,nickthegreek5,12,0.0397,0,1
SenzakiKamo,nickthegreek5,12,0.04,0,3
galex1908,nickthegreek5,12,0.0345,0,2
AgelisDimitris,RockRock222555,11,0.055,2,5
Briassulis,giannMak,11,0.0651,2,6
46spiros,MariaDecokeke,11,0.041,1,8
MenoEdo,Myrtilo01,11,0.0786,1,4
AgelisDimitris,vythos70,11,0.0431,0,3
K_Sav215,nickthegreek5,11,0.0326,0,6
MenoEdo,angelikitsakani,11,0.0558,0,6
angelikitsakani,hatz_patty,11,0.0632,0,7
maus_miny,nickthegreek5,11,0.0378,0,0
46spiros,RockRock222555,10,0.0394,3,7
AgelisDimitris,Briassulis,10,0.0405,2,7
AgelisDimitris,chrysib11,10,0.0397,2,4
AgelisDimitris,paliakaravana59,10,0.0385,2,5
MenoEdo,sinakatsarou,10,0.0472,2,6
Track11John,chrysib11,10,0.0322,2,3
ABCHeckles,AgelisDimitris,10,0.0508,1,3
AgelisDimitris,mpantazo,10,0.0493,1,5
nickthegreek5,xeniakan21,10,0.0342,1,1
46spiros,K_Sav215,10,0.0366,0,1
AgelisDimitris,MenoEdo,10,0.0382,0,5
AgelisDimitris,giannMak,10,0.0429,0,5
Briassulis,chrysib11,10,0.0529,0,3
Catps66,nickthegreek5,10,0.0313,0,0
RockRock222555,giannMak,10,0.0806,0,7
angelikitsakani,mpantazo,10,0.0719,0,6
chrysib11,mpantazo,10,0.069,0,4
